node_id,is_defect,score,degree,x,y,elevation,type
HS1308324,1,0.6596745062079061,4,526569.315,385075.461,17.9,junction
HS1316177,1,0.6478806088613148,3,526549.64,384819.78,18.302,junction
HS1306601,1,0.6313334393446911,4,525856.568,384729.481,18.793,junction
HS1314477,1,0.5989317085757018,3,526422.572,385237.147,17.54,storage
HS1313391,1,0.5742507253777653,3,526050.778,384579.514,18.907,junction
HS1316532,1,0.5642004256836233,3,526721.329,384874.504,18.614,junction
HS1306571,1,0.4873932496123003,3,525609.67,384609.05,19.22,junction
HS2003046,1,0.47998445894009856,3,525687.252,384995.686,18.316,storage
HS1316721,1,0.46399832054942103,3,526866.129,384993.909,20.39,junction
HS1314512,1,0.425303133219731,2,526317.995,385209.223,17.59,storage
HS1313298,1,0.42146410928087186,3,525587.619,384356.394,19.685,junction
HS1308301,1,0.38732120778441526,3,526289.497,384940.498,18.248,junction
HS1316530,1,0.3856954348158132,2,526679.361,384923.0,18.107,junction
HS1316585,1,0.36291959869694707,3,527001.638,384599.072,20.032,junction
HS1313025,1,0.35599883191443255,3,525844.405,384060.973,20.3,junction
HS1313487,1,0.3558158748932965,3,526223.03,384232.386,20.47,junction
MH0201597,1,0.3446186621693484,3,525194.89,384405.245,19.471,junction
HS2003015,1,0.3417744769400579,2,525935.618,385081.008,18.09,storage
HS2003023,1,0.33330562555130255,2,525825.8,385042.156,18.17,storage
HS2003111,1,0.3193247358830464,3,525246.278,384847.449,18.513,junction
HS1313220,1,0.2694108892259546,2,525892.531,384649.103,18.885,junction
HS1313123,1,0.2340651057338871,2,525720.2,384136.51,20.05,junction
HS1313140,1,0.2238459133344549,2,525836.863,384186.434,20.09,junction
MH0201710,1,0.21402350188680558,2,525237.146,384318.811,19.59,junction
1,1,0.17114430852344437,1,526438.522,385291.004,17.5,outfall
HS1313613,1,0.14235723198192013,1,526416.559,384615.833,20.36,junction
HS1313569,1,0.14139545874527476,1,526240.97,384530.05,20.29,junction
HS1344902,1,0.08814276282570896,1,527262.014,384934.412,23.19,junction
HS1313508,1,0.08761290573688338,1,526127.845,384190.069,20.86,junction
HS2003125,1,0.06271356284236211,1,525147.608,384813.069,18.677,junction
HS1306904,0,0.7015901705838018,4,526055.383,384825.789,18.297,storage
HS1313794,0,0.6500089678413993,3,526282.959,384690.066,18.692,junction
HS1316267,0,0.5622466191653304,4,526678.458,384600.662,19.14,junction
HS1316467,0,0.5046620680978486,4,527025.45,384846.1,21.36,junction
HS2003085,0,0.31539850628904464,2,525414.841,384903.538,18.372,junction
HS1316643,0,0.31343298980987994,3,527134.393,384746.899,22.13,junction
HS1316554,0,0.3074083565451436,2,526832.159,384762.882,19.08,junction
HS1306554,0,0.2867251759108331,2,525420.69,384515.696,19.35,junction
HS1311887,0,0.2850971660736103,2,526436.38,384095.571,20.56,junction
MH0242303,0,0.2697214374787049,2,526241.743,385075.4,18.637,junction
HS1330842,0,0.2271513248694801,2,525535.051,384807.811,19.31,junction
HS1344263,0,0.22345105521563255,2,527127.986,384474.107,20.55,junction
HS1311339,0,0.2178119953095658,2,526838.951,384300.26,22.13,junction
MH0200661,0,0.21057584548366293,2,525386.816,383995.636,20.17,junction
HS1313083,0,0.20942451938363718,2,525524.274,384053.723,20.09,junction
MH0242782,0,0.19619241169258808,2,527256.905,384632.546,22.527,junction
HS1314237,0,0.18577502961838524,2,525371.635,384662.133,19.73,junction
VP0232532,0,0.17521469663406575,2,525529.834,383704.82,20.15,junction
HS1311284,0,0.17317772467213383,2,526050.881,383912.51,21.17,junction
MH0100819,0,0.16328179510314828,1,525912.201,385405.111,17.24,outfall
HS1313283,0,0.10438403105767272,1,526202.898,384002.483,21.05,junction
HS1316814,0,0.09267598007065223,1,527100.795,385086.207,22.95,junction
HS1313618,0,0.08885361750720469,1,526554.88,384182.312,22.38,junction
HS1344261,0,0.08081098327165948,1,526828.56,384451.451,21.61,junction
HS1306471,0,0.07957739198048672,1,526922.926,385280.162,23.42,junction
HS1313965,0,0.07864321575770095,1,526696.606,384260.262,22.12,junction
HS1313925,0,0.07649747853187482,1,526491.165,384359.697,21.42,junction
HS1311473,0,0.06692633250780886,1,525750.232,383794.477,22.97,junction
MH0201629,0,0.06678122074996773,1,525051.32,384669.729,19.87,junction
MH0258475,0,0.05349696708718273,1,527367.771,384808.104,23.118,junction
