defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS2003015,,40,10,4,29.6715,255.6,15.24,5.23,74.1787
2,I,HS1311339,,50,21,12,3.0019,165.76,14.4,5.64,6.0037
3,I,HS1344261,,50,15,8,1.2662,159.16,13.42,3.95,2.5324
4,I,HS2003015,,30,13,12,22.2536,123.36,11.72,2.59,74.1787
5,I,HS1344261,,40,7,24,1.013,232.29,16.2,2.29,2.5324
6,I,HS2003046,,50,7,6,37.0986,182.68,15.69,7.45,74.1972
7,I,HS1316415,,30,2,8,1.7035,191.14,12.98,2.19,5.6785
8,I,HS1306554,,40,18,12,13.3522,130.59,18.96,4.27,33.3805
9,I,HS2003111,,30,13,6,8.9164,137.48,14.23,2.88,29.7212
10,I,HS1316814,,30,15,4,1.0478,154.68,12.72,2.79,3.4925
11,I,HS1344902,,40,0,6,1.9548,279.57,9.66,3.97,4.887
12,I,HS1313597,,30,23,6,1.6551,185.05,9.8,1.69,5.517
13,I,MH0201629,,50,17,24,3.4928,200.28,18.3,7.21,6.9856
14,I,MH0242782,,50,8,16,4.4428,303.72,15.1,3.97,8.8856
15,I,HS2003046,,40,7,12,29.6789,275.5,17.14,4.03,74.1972
16,I,HS1313402,,50,7,16,51.4377,271.79,12.29,6.31,102.8754
17,I,HS1311473,,50,9,16,0.925,247.72,11.68,4.31,1.85
18,I,HS1344263,,30,12,6,4.2302,195.36,14.52,1.76,14.1007
19,I,HS1316643,,30,11,16,3.3248,181.9,7.16,2.93,11.0827
20,I,HS1316415,,30,9,12,1.7035,194.69,9.81,2.14,5.6785
21,I,HS1311473,,50,14,16,0.925,292.59,15.98,5.86,1.85
22,I,HS1344261,,40,6,16,1.013,139.36,10.7,3.35,2.5324
23,I,HS1344902,,50,9,8,2.4435,194.04,11.06,5.66,4.887
24,I,VP0232532,,30,10,6,0.4332,98.5,8.14,3.51,1.444
25,I,MH0201710,,50,11,6,7.8563,265.24,13.64,4.86,15.7126
26,I,HS1330842,,30,16,8,2.585,169.08,9.19,2.73,8.6168
27,I,HS1313597,,50,7,16,2.7585,162.12,20.92,6.5,5.517
28,I,HS1313402,,30,12,16,30.8626,154.35,7.26,2.05,102.8754
29,I,HS1311339,,30,13,4,1.8011,186.96,13.7,1.79,6.0037
30,I,HS1311473,,30,1,12,0.555,109.96,10.37,2.14,1.85
31,I,MH0101924,,30,13,8,10.4615,90.26,9.51,4.28,34.8718
32,I,HS1311339,,40,7,6,2.4015,225.9,13.84,2.76,6.0037
33,I,MH0201710,,30,2,6,4.7138,97.31,8.82,1.65,15.7126
34,I,HS1306904,,50,21,8,95.6227,161.38,17.62,6.76,191.2455
35,I,HS1313298,,50,22,24,16.0129,230.76,24.12,5.35,32.0259
36,I,HS1344902,,50,17,8,2.4435,233.84,18.76,5.11,4.887
37,I,HS1316814,,30,9,12,1.0478,118.64,9.56,3.52,3.4925
38,I,HS1344263,,40,6,12,5.6403,121.49,15.45,4.25,14.1007
39,I,HS1313402,,30,15,8,30.8626,150.71,7.19,2.55,102.8754
40,I,HS1313298,,30,11,24,9.6078,108.93,13.5,3.61,32.0259
41,E,HS1316563,HS1316566.1,50,6,24,-14.7166,0.0,0.0,0.0,29.4332
42,E,MH0242782,MH0258475.1,50,12,6,-1.3871,0.0,0.0,0.0,2.7741
43,E,HS1313253,HS1317102.1,30,1,8,-0.0,0.0,0.0,0.0,0.0
44,E,HS1313253,HS1317102.1,30,19,8,-0.0,0.0,0.0,0.0,0.0
45,E,HS1316202,HS1316177.1,40,8,6,-27.6407,0.0,0.0,0.0,69.1016
46,E,HS1313001,20,40,14,4,-0.7403,0.0,0.0,0.0,1.8508
47,E,MH0201629,MH0201597.1,40,9,12,-2.7913,0.0,0.0,0.0,6.9782
48,E,HS1313205,HS1318293.1,50,12,12,-22.3967,0.0,0.0,0.0,44.7933
49,E,HS1306904,13,30,13,4,-33.1924,0.0,0.0,0.0,110.6414
50,E,HS1316721,31,40,7,6,-3.6174,0.0,0.0,0.0,9.0435
51,E,HS1324403,14,50,23,24,-29.4389,0.0,0.0,0.0,58.8778
52,E,HS1314477,33,30,16,6,-62.5719,0.0,0.0,0.0,208.5729
53,E,HS1313025,21,30,20,6,-2.1134,0.0,0.0,0.0,7.0447
54,E,MH0201710,25,50,18,8,-1.7246,0.0,0.0,0.0,3.4491
55,E,HS1306571,HS1306554.2,30,13,24,-10.0048,0.0,0.0,0.0,33.3493
56,E,HS1313597,link_11,30,19,6,-0.5983,0.0,0.0,0.0,1.9944
57,E,HS1314237,HS1314210.1,30,5,12,-1.1554,0.0,0.0,0.0,3.8514
58,E,HS1316585,HS1344263.1,50,7,12,-7.0502,0.0,0.0,0.0,14.1004
59,E,HS1313298,16,30,1,6,-6.4749,0.0,0.0,0.0,21.5829
60,E,HS1313253,HS1317102.1,40,9,12,-0.0,0.0,0.0,0.0,0.0
61,E,HS1316202,HS1316445.1,40,10,8,-2.7006,0.0,0.0,0.0,6.7516
62,E,HS2003111,HS2003125.1,50,8,12,-0.8315,0.0,0.0,0.0,1.6629
63,E,HS1316563,HS1316467.1,30,17,12,-5.1021,0.0,0.0,0.0,17.007
64,E,HS1313835,HS1316417.1,30,10,12,-2.8717,0.0,0.0,0.0,9.5722
65,E,HS1313835,HS1313794.1,40,9,4,-18.6513,0.0,0.0,0.0,46.6284
66,E,HS1313001,22,30,12,16,-0.3927,0.0,0.0,0.0,1.3089
67,E,MH0242782,MH0258475.1,30,6,8,-0.8322,0.0,0.0,0.0,2.7741
68,E,HS1316563,HS1316467.1,30,16,6,-5.1021,0.0,0.0,0.0,17.007
69,E,HS1316585,HS1344263.1,50,4,4,-7.0502,0.0,0.0,0.0,14.1004
70,E,HS1314237,HS1314210.1,50,23,12,-1.9257,0.0,0.0,0.0,3.8514
71,E,HS2003015,HS2003023.1,40,16,12,-29.636,0.0,0.0,0.0,74.0899
72,E,HS1314505,HS1314769.1,30,7,4,-5.6137,0.0,0.0,0.0,18.7122
73,E,HS1316585,HS1344263.1,50,0,12,-7.0502,0.0,0.0,0.0,14.1004
74,E,HS1344263,MH0242782.1,50,17,6,-4.4442,0.0,0.0,0.0,8.8884
75,E,HS1313835,HS1316417.1,50,15,12,-4.7861,0.0,0.0,0.0,9.5722
76,E,HS1306904,13,50,15,6,-55.3207,0.0,0.0,0.0,110.6414
77,E,HS1316643,HS1316671.1,50,16,12,-4.4392,0.0,0.0,0.0,8.8784
78,E,HS1308259,HS1316726.1,40,4,8,-4.4706,0.0,0.0,0.0,11.1764
79,E,HS1316563,HS1316566.1,40,10,24,-11.7733,0.0,0.0,0.0,29.4332
80,E,VP0232532,18,40,6,6,-0.5762,0.0,0.0,0.0,1.4405
81,P,HS1330842,,40,18,8,0.6893,1243.53,150.69,22.64,8.6168
82,P,MH0201629,,50,14,6,0.6986,1615.51,210.19,25.96,6.9856
83,P,HS1311288,,40,9,24,0.0288,1143.91,212.8,22.48,0.3597
84,P,HS1311339,,40,2,16,0.4803,1208.94,247.0,27.36,6.0037
85,P,HS2003046,,50,9,6,7.4197,1515.45,276.59,21.7,74.1972
86,P,MH0258475,,50,9,12,0.2775,1806.56,179.47,15.92,2.7753
87,P,HS1306904,,50,15,16,19.1245,1455.42,327.23,26.51,191.2455
88,P,MH0201629,,40,14,12,0.5588,918.06,230.02,26.28,6.9856
89,P,HS1313402,,40,18,12,8.23,1443.29,231.35,19.43,102.8754
90,P,HS1316415,,30,11,6,0.3407,873.88,186.17,17.01,5.6785
91,P,HS1316415,,50,6,4,0.5678,1612.65,293.85,25.1,5.6785
92,P,HS1316415,,40,15,16,0.4543,1160.06,240.28,25.44,5.6785
93,P,HS1313253,,50,16,24,0.6742,1274.6,165.5,20.71,6.7419
94,P,HS1313253,,40,13,12,0.5393,864.46,144.13,18.13,6.7419
95,P,HS1313835,,50,16,8,6.8177,1414.87,216.18,24.32,68.1766
96,P,HS1313597,,30,12,8,0.331,833.69,182.38,20.35,5.517
97,P,HS1316585,,50,12,12,2.5178,1005.9,220.35,30.07,25.1783
98,P,HS1330842,,50,11,16,0.8617,1799.87,329.56,24.76,8.6168
99,P,HS1313253,,40,0,16,0.5393,1111.09,227.02,24.77,6.7419
100,P,HS2003046,,40,6,12,5.9358,821.57,183.04,21.03,74.1972
