defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1316202,,40,24,17,30.3413,255.6,15.24,5.23,75.8532
2,I,HS1311288,,50,27,18,0.1798,165.76,14.4,5.64,0.3597
3,I,HS1316585,,50,36,8,12.5891,159.16,13.42,3.95,25.1783
4,I,HS1316202,,30,24,18,22.756,123.36,11.72,2.59,75.8532
5,I,HS1316585,,40,38,14,10.0713,232.29,16.2,2.29,25.1783
6,I,HS1311473,,50,105,13,0.925,182.68,15.69,7.45,1.85
7,I,MH0201710,,30,99,16,4.7138,191.14,12.98,2.19,15.7126
8,I,HS1313205,,40,63,14,25.0741,130.59,18.96,4.27,62.6852
9,I,HS1313001,,30,95,21,2.1158,137.48,14.23,2.88,7.0525
10,I,MH0201629,,30,43,23,2.0957,154.68,12.72,2.79,6.9856
11,I,HS1313402,,40,58,13,41.1501,279.57,9.66,3.97,102.8754
12,I,HS1324403,,30,31,11,18.7997,185.05,9.8,1.69,62.6657
13,I,HS1316415,,50,71,22,2.8392,200.28,18.3,7.21,5.6785
14,I,HS1314237,,50,80,14,13.6559,303.72,15.1,3.97,27.3118
15,I,HS1311473,,40,12,14,0.74,275.5,17.14,4.03,1.85
16,I,HS1313471,,50,50,22,2.5367,271.79,12.29,6.31,5.0733
17,I,HS1306601,,50,12,16,71.9998,247.72,11.68,4.31,143.9995
18,I,HS1344263,,30,19,13,4.2302,195.36,14.52,1.76,14.1007
19,I,HS1344261,,30,109,23,0.7597,181.9,7.16,2.93,2.5324
20,I,MH0201710,,30,45,22,4.7138,194.69,9.81,2.14,15.7126
21,I,HS1306601,,50,100,12,71.9998,292.59,15.98,5.86,143.9995
22,I,HS1316585,,40,78,20,10.0713,139.36,10.7,3.35,25.1783
23,I,HS1313402,,50,41,24,51.4377,194.04,11.06,5.66,102.8754
24,I,HS1313597,,30,16,16,1.6551,98.5,8.14,3.51,5.517
25,I,HS2003015,,50,28,24,37.0893,265.24,13.64,4.86,74.1787
26,I,HS1306554,,30,24,9,10.0142,169.08,9.19,2.73,33.3805
27,I,HS1324403,,50,95,9,31.3328,162.12,20.92,6.5,62.6657
28,I,HS1313471,,30,36,12,1.522,154.35,7.26,2.05,5.0733
29,I,HS1311288,,30,21,20,0.1079,186.96,13.7,1.79,0.3597
30,I,HS1306601,,30,23,13,43.1999,109.96,10.37,2.14,143.9995
31,I,HS1308302,,30,33,18,8.3961,90.26,9.51,4.28,27.9871
32,I,HS1311288,,40,66,23,0.1439,225.9,13.84,2.76,0.3597
33,I,HS2003015,,30,86,23,22.2536,97.31,8.82,1.65,74.1787
34,I,HS1313140,,50,79,11,4.5023,161.38,17.62,6.76,9.0045
35,I,HS1316814,,50,20,13,1.7463,230.76,24.12,5.35,3.4925
36,I,HS1313402,,50,17,8,51.4377,233.84,18.76,5.11,102.8754
37,I,MH0201629,,30,97,16,2.0957,118.64,9.56,3.52,6.9856
38,I,HS1344263,,40,52,8,5.6403,121.49,15.45,4.25,14.1007
39,I,HS1313471,,30,80,12,1.522,150.71,7.19,2.55,5.0733
40,I,HS1316814,,30,59,15,1.0478,108.93,13.5,3.61,3.4925
41,E,HS1316563,HS1316566.1,50,79,6,-14.7166,0.0,0.0,0.0,29.4332
42,E,MH0242782,MH0258475.1,50,50,9,-1.3871,0.0,0.0,0.0,2.7741
43,E,HS1313253,HS1317102.1,30,45,9,-0.0,0.0,0.0,0.0,0.0
44,E,HS1313253,HS1317102.1,30,107,23,-0.0,0.0,0.0,0.0,0.0
45,E,HS1316202,HS1316177.1,40,48,12,-27.6407,0.0,0.0,0.0,69.1016
46,E,HS1313001,20,40,38,14,-0.7403,0.0,0.0,0.0,1.8508
47,E,MH0201629,MH0201597.1,40,44,7,-2.7913,0.0,0.0,0.0,6.9782
48,E,HS1313205,HS1318293.1,50,66,14,-22.3967,0.0,0.0,0.0,44.7933
49,E,HS1306904,13,30,54,10,-33.1924,0.0,0.0,0.0,110.6414
50,E,HS1316721,31,40,32,20,-3.6174,0.0,0.0,0.0,9.0435
51,E,HS1324403,14,50,66,23,-29.4389,0.0,0.0,0.0,58.8778
52,E,HS1314477,33,30,21,10,-62.5719,0.0,0.0,0.0,208.5729
53,E,HS1313025,21,30,118,17,-2.1134,0.0,0.0,0.0,7.0447
54,E,MH0201710,25,50,30,19,-1.7246,0.0,0.0,0.0,3.4491
55,E,HS1306571,HS1306554.2,30,51,17,-10.0048,0.0,0.0,0.0,33.3493
56,E,HS1313597,link_11,30,57,12,-0.5983,0.0,0.0,0.0,1.9944
57,E,HS1314237,HS1314210.1,30,97,9,-1.1554,0.0,0.0,0.0,3.8514
58,E,HS1316585,HS1344263.1,50,64,10,-7.0502,0.0,0.0,0.0,14.1004
59,E,HS1313298,16,30,114,11,-6.4749,0.0,0.0,0.0,21.5829
60,E,HS1313253,HS1317102.1,40,15,11,-0.0,0.0,0.0,0.0,0.0
61,E,HS1316202,HS1316445.1,40,112,19,-2.7006,0.0,0.0,0.0,6.7516
62,E,HS2003111,HS2003125.1,50,106,13,-0.8315,0.0,0.0,0.0,1.6629
63,E,HS1316563,HS1316467.1,30,112,9,-5.1021,0.0,0.0,0.0,17.007
64,E,HS1313835,HS1316417.1,30,72,13,-2.8717,0.0,0.0,0.0,9.5722
65,E,HS1313835,HS1313794.1,40,56,15,-18.6513,0.0,0.0,0.0,46.6284
66,E,HS1313001,22,30,40,6,-0.3927,0.0,0.0,0.0,1.3089
67,E,MH0242782,MH0258475.1,30,63,16,-0.8322,0.0,0.0,0.0,2.7741
68,E,HS1316563,HS1316467.1,30,110,14,-5.1021,0.0,0.0,0.0,17.007
69,E,HS1316585,HS1344263.1,50,77,18,-7.0502,0.0,0.0,0.0,14.1004
70,E,HS1314237,HS1314210.1,50,54,6,-1.9257,0.0,0.0,0.0,3.8514
71,E,HS2003015,HS2003023.1,40,34,24,-29.636,0.0,0.0,0.0,74.0899
72,E,HS1314505,HS1314769.1,30,25,19,-5.6137,0.0,0.0,0.0,18.7122
73,E,HS1316585,HS1344263.1,50,112,16,-7.0502,0.0,0.0,0.0,14.1004
74,E,HS1344263,MH0242782.1,50,77,9,-4.4442,0.0,0.0,0.0,8.8884
75,E,HS1313835,HS1316417.1,50,36,14,-4.7861,0.0,0.0,0.0,9.5722
76,E,HS1306904,13,50,67,6,-55.3207,0.0,0.0,0.0,110.6414
77,E,HS1316643,HS1316671.1,50,99,12,-4.4392,0.0,0.0,0.0,8.8784
78,E,HS1308259,HS1316726.1,40,20,16,-4.4706,0.0,0.0,0.0,11.1764
79,E,HS1316563,HS1316566.1,40,96,9,-11.7733,0.0,0.0,0.0,29.4332
80,E,VP0232532,18,40,76,15,-0.5762,0.0,0.0,0.0,1.4405
81,P,HS1306554,,40,63,15,2.6704,1243.53,150.69,22.64,33.3805
82,P,HS1316415,,50,107,11,0.5678,1615.51,210.19,25.96,5.6785
83,P,HS1344920,,40,48,12,0.3395,1143.91,212.8,22.48,4.2436
84,P,HS1311288,,40,68,12,0.0288,1208.94,247.0,27.36,0.3597
85,P,HS1311473,,50,22,15,0.185,1515.45,276.59,21.7,1.85
86,P,MH0101924,,50,51,13,3.4872,1806.56,179.47,15.92,34.8718
87,P,HS1313140,,50,120,8,0.9005,1455.42,327.23,26.51,9.0045
88,P,HS1316415,,40,63,13,0.4543,918.06,230.02,26.28,5.6785
89,P,HS1313471,,40,40,11,0.4059,1443.29,231.35,19.43,5.0733
90,P,MH0201710,,30,120,9,0.9428,873.88,186.17,17.01,15.7126
91,P,MH0201710,,50,52,20,1.5713,1612.65,293.85,25.1,15.7126
92,P,MH0201710,,40,32,21,1.257,1160.06,240.28,25.44,15.7126
93,P,HS1313298,,50,74,13,3.2026,1274.6,165.5,20.71,32.0259
94,P,HS1313298,,40,52,23,2.5621,864.46,144.13,18.13,32.0259
95,P,MH0258475,,50,39,8,0.2775,1414.87,216.18,24.32,2.7753
96,P,HS1324403,,30,118,19,3.7599,833.69,182.38,20.35,62.6657
97,P,HS1313835,,50,60,21,6.8177,1005.9,220.35,30.07,68.1766
98,P,HS1306554,,50,107,23,3.3381,1799.87,329.56,24.76,33.3805
99,P,HS1313298,,40,74,6,2.5621,1111.09,227.02,24.77,32.0259
100,P,HS1311473,,40,28,23,0.148,821.57,183.04,21.03,1.85
