defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1313640,,40,14,12,2.0444,255.6,15.24,5.23,5.111
2,I,VP0232532,,50,22,12,0.722,165.76,14.4,5.64,1.444
3,I,HS1306601,,50,22,24,71.9998,159.16,13.42,3.95,143.9995
4,I,HS1313640,,30,16,8,1.5333,123.36,11.72,2.59,5.111
5,I,HS1306601,,40,0,4,57.5998,232.29,16.2,2.29,143.9995
6,I,HS1316835,,50,22,8,2.8074,242.45,14.05,7.13,5.6147
7,I,HS1314477,,30,23,16,68.1445,117.49,6.29,2.45,227.1484
8,I,HS1306904,,30,19,6,57.3736,115.52,10.49,4.15,191.2455
9,I,VP0232532,,30,14,8,0.4332,119.6,11.05,2.29,1.444
10,I,HS1306571,,40,17,16,43.0303,155.09,19.97,4.04,107.5758
11,I,HS1313640,,30,8,6,1.5333,165.29,13.13,2.77,5.111
12,I,HS1313044,,40,12,8,23.5651,204.66,19.65,5.44,58.9128
13,I,HS1313487,,50,21,6,3.5366,303.72,15.1,3.97,7.0731
14,I,HS1316835,,40,16,12,2.2459,275.5,17.14,4.03,5.6147
15,I,HS1313298,,50,3,8,16.0129,180.57,21.44,5.2,32.0259
16,I,HS1314769,,30,18,6,6.5924,92.34,14.36,4.14,21.9746
17,I,HS1313083,,30,22,4,7.8716,195.36,14.52,1.76,26.2386
18,I,HS1313167,,30,15,16,2.0183,169.17,14.52,2.0,6.7276
19,I,HS1314769,,50,3,6,10.9873,335.78,21.33,5.95,21.9746
20,I,HS1313083,,40,14,16,10.4954,263.94,13.42,2.99,26.2386
21,I,HS1313044,,40,6,12,23.5651,214.15,8.09,4.83,58.9128
22,I,HS1316811,,30,23,12,2.0268,193.16,6.64,2.21,6.7562
23,I,HS1313167,,30,3,8,2.0183,119.16,10.26,2.72,6.7276
24,I,HS1313298,,30,14,16,9.6078,140.83,10.2,3.69,32.0259
25,I,HS1313298,,30,5,8,9.6078,186.07,6.98,2.07,32.0259
26,I,MH0242303,,40,12,16,7.0685,149.36,13.55,5.5,17.6713
27,I,HS1313044,,40,7,6,23.5651,224.34,14.49,2.06,58.9128
28,I,HS1313640,,30,7,8,1.5333,148.28,7.92,2.7,5.111
29,I,HS1316811,,30,23,16,2.0268,208.24,8.39,3.85,6.7562
30,I,VP0232532,,40,19,24,0.5776,144.77,11.56,5.87,1.444
31,I,HS1306571,,50,11,8,53.7879,161.43,18.76,5.01,107.5758
32,I,HS1314769,,30,17,8,6.5924,192.16,6.62,1.7,21.9746
33,I,HS1344159,,40,14,8,21.5528,212.63,8.48,2.33,53.8819
34,I,HS1306571,,50,9,12,53.7879,190.85,20.74,3.69,107.5758
35,I,HS2003111,,30,5,6,8.9164,127.94,12.77,1.72,29.7212
36,I,VP0232532,,50,16,8,0.722,257.53,17.59,3.16,1.444
37,I,HS2003085,,30,18,24,9.4179,124.2,9.94,3.13,31.3929
38,I,HS1313083,,50,23,12,13.1193,336.35,11.55,6.89,26.2386
39,I,MH0200661,,30,8,6,1.0442,122.68,11.44,3.65,3.4808
40,I,HS1308324,,50,6,6,104.3413,200.22,23.62,2.75,208.6826
41,E,HS1313835,HS1316417.1,40,9,6,-3.8289,0.0,0.0,0.0,9.5722
42,E,HS1316532,HS1316786.1,30,7,6,-6.2976,0.0,0.0,0.0,20.9919
43,E,MH0101924,MH0100292.1,50,8,6,-15.1592,0.0,0.0,0.0,30.3184
44,E,HS1308324,HS1308302.1,30,16,16,-8.3927,0.0,0.0,0.0,27.9756
45,E,HS1316530,HS1316207.1,50,12,8,-71.6546,0.0,0.0,0.0,143.3092
46,E,HS1316202,HS1316177.1,30,12,8,-20.7305,0.0,0.0,0.0,69.1016
47,E,HS1306904,13,40,16,8,-44.2566,0.0,0.0,0.0,110.6414
48,E,HS1316532,HS1316554.1,40,20,4,-18.5494,0.0,0.0,0.0,46.3735
49,E,HS1308301,HS1313835.1,30,15,8,-5.4091,0.0,0.0,0.0,18.0302
50,E,HS1308324,32,30,4,6,-47.9388,0.0,0.0,0.0,159.7962
51,E,HS1313298,16,40,14,8,-8.6332,0.0,0.0,0.0,21.5829
52,E,HS1313140,HS1313044.1,30,19,16,-2.6952,0.0,0.0,0.0,8.9841
53,E,HS1313123,HS1313083.1,40,0,8,-10.4819,0.0,0.0,0.0,26.2048
54,E,HS1314268,HS1314237.1,30,7,6,-8.1938,0.0,0.0,0.0,27.3127
55,E,HS1313044,19,40,19,6,-8.8828,0.0,0.0,0.0,22.207
56,E,HS1316554,HS1316563.1,40,4,6,-18.5559,0.0,0.0,0.0,46.3898
57,E,HS1308324,32,30,11,8,-47.9388,0.0,0.0,0.0,159.7962
58,E,HS1316177,HS1316267.1,30,2,6,-4.5806,0.0,0.0,0.0,15.2688
59,E,HS1314477,1,50,1,8,-9.4256,0.0,0.0,0.0,18.8512
60,E,HS1313220,12,30,5,4,-3.9926,0.0,0.0,0.0,13.3086
61,E,YS2003067,39,30,6,8,-2.9489,0.0,0.0,0.0,9.8296
62,E,HS2003111,HS1314268.1,50,4,6,-14.0291,0.0,0.0,0.0,28.0583
63,E,HS1316585,28,30,22,4,-3.3234,0.0,0.0,0.0,11.0779
64,E,HS1306571,HS1306554.2,50,5,8,-16.6747,0.0,0.0,0.0,33.3493
65,E,HS1308259,HS1316726.1,40,12,12,-4.4706,0.0,0.0,0.0,11.1764
66,E,HS1316202,HS1316177.1,30,11,12,-20.7305,0.0,0.0,0.0,69.1016
67,E,HS1316207,HS1316202.1,50,22,16,-37.9081,0.0,0.0,0.0,75.8161
68,E,1,2,40,11,8,-90.4327,0.0,0.0,0.0,226.0818
69,E,HS1316585,28,50,1,4,-5.539,0.0,0.0,0.0,11.0779
70,E,MH0101924,MH0100292.1,40,17,8,-12.1274,0.0,0.0,0.0,30.3184
71,E,HS2003046,HS2003070.1,50,2,4,-20.4706,0.0,0.0,0.0,40.9412
72,E,HS1313220,12,50,4,8,-6.6543,0.0,0.0,0.0,13.3086
73,E,HS1308301,HS1313835.1,50,4,4,-9.0151,0.0,0.0,0.0,18.0302
74,E,HS1313123,HS1313083.1,30,20,12,-7.8614,0.0,0.0,0.0,26.2048
75,E,HS1313298,16,40,9,6,-8.6332,0.0,0.0,0.0,21.5829
76,E,HS1313044,HS1313123.1,50,8,6,-13.85,0.0,0.0,0.0,27.6999
77,E,HS1313415,C_HS1313487_HS1313415,40,11,8,-2.8266,0.0,0.0,0.0,7.0666
78,E,1,2,30,16,8,-67.8245,0.0,0.0,0.0,226.0818
79,E,HS1316207,HS1316202.1,50,1,8,-37.9081,0.0,0.0,0.0,75.8161
80,E,HS1313298,16,30,9,12,-6.4749,0.0,0.0,0.0,21.5829
81,P,VP0232532,,50,1,4,0.1444,1612.65,293.85,25.1,1.444
82,P,HS1314477,,40,14,16,18.1719,1160.06,240.28,25.44,227.1484
