defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1306554,,40,24,17,13.3522,255.6,15.24,5.23,33.3805
2,I,HS1316585,,50,27,18,12.5891,165.76,14.4,5.64,25.1783
3,I,HS1308259,,50,36,8,6.1481,159.16,13.42,3.95,12.2961
4,I,HS1306554,,30,24,18,10.0142,123.36,11.72,2.59,33.3805
5,I,HS1308259,,40,38,14,4.9184,232.29,16.2,2.29,12.2961
6,I,HS1314769,,50,105,13,10.9873,182.68,15.69,7.45,21.9746
7,I,MH0201597,,30,99,16,6.8067,191.14,12.98,2.19,22.6889
8,I,HS1311887,,40,63,14,6.0523,130.59,18.96,4.27,15.1306
9,I,HS1311284,,30,95,21,0.3928,137.48,14.23,2.88,1.3094
10,I,HS1314237,,30,43,23,8.1935,154.68,12.72,2.79,27.3118
11,I,MH0241587,,40,58,13,3.9602,279.57,9.66,3.97,9.9005
12,I,HS2003046,,30,31,11,22.2592,185.05,9.8,1.69,74.1972
13,I,HS1316554,,50,71,22,23.1949,200.28,18.3,7.21,46.3898
14,I,MH0242303,,50,80,14,8.8357,303.72,15.1,3.97,17.6713
15,I,HS1314769,,40,12,14,8.7898,275.5,17.14,4.03,21.9746
16,I,HS1316721,,50,50,22,8.3177,271.79,12.29,6.31,16.6354
17,I,HS1314477,,50,12,16,113.5742,247.72,11.68,4.31,227.1484
18,I,HS1316811,,30,19,13,2.0268,195.36,14.52,1.76,6.7562
19,I,HS2003070,,30,109,23,12.2905,181.9,7.16,2.93,40.9683
20,I,MH0201597,,30,45,22,6.8067,194.69,9.81,2.14,22.6889
21,I,HS1314477,,50,100,12,113.5742,292.59,15.98,5.86,227.1484
22,I,HS1308259,,40,78,20,4.9184,139.36,10.7,3.35,12.2961
23,I,MH0241587,,50,41,24,4.9503,194.04,11.06,5.66,9.9005
24,I,HS1313676,,30,16,16,6.4708,98.5,8.14,3.51,21.5695
25,I,HS1311339,,50,28,24,3.0019,265.24,13.64,4.86,6.0037
26,I,HS1306601,,30,24,9,43.1999,169.08,9.19,2.73,143.9995
27,I,HS2003046,,50,95,9,37.0986,162.12,20.92,6.5,74.1972
28,I,HS1316721,,30,36,12,4.9906,154.35,7.26,2.05,16.6354
29,I,HS1316585,,30,21,20,7.5535,186.96,13.7,1.79,25.1783
30,I,HS1314477,,30,23,13,68.1445,109.96,10.37,2.14,227.1484
31,I,MH0100292,,30,33,18,9.1048,90.26,9.51,4.28,30.3495
32,I,HS1316585,,40,66,23,10.0713,225.9,13.84,2.76,25.1783
33,I,HS1311339,,30,86,23,1.8011,97.31,8.82,1.65,6.0037
34,I,MH0242782,,50,79,11,4.4428,161.38,17.62,6.76,8.8856
35,I,HS1316677,,50,20,13,2.5039,230.76,24.12,5.35,5.0079
36,I,MH0241587,,50,17,8,4.9503,233.84,18.76,5.11,9.9005
37,I,HS1314237,,30,97,16,8.1935,118.64,9.56,3.52,27.3118
38,I,HS1316811,,40,52,8,2.7025,121.49,15.45,4.25,6.7562
39,I,HS1316721,,30,80,12,4.9906,150.71,7.19,2.55,16.6354
40,I,HS1316677,,30,59,15,1.5024,108.93,13.5,3.61,5.0079
41,E,MH0100292,link_4,30,97,23,-0.4169,0.0,0.0,0.0,1.3897
42,E,MH0201597,MH0201710.1,50,25,10,-7.8554,0.0,0.0,0.0,15.7107
43,E,HS1313415,C_HS1313487_HS1313415,30,25,23,-2.12,0.0,0.0,0.0,7.0666
44,E,HS1316554,HS1316563.1,40,48,12,-18.5559,0.0,0.0,0.0,46.3898
45,E,HS1316721,31,30,99,14,-2.713,0.0,0.0,0.0,9.0435
46,E,HS1313487,HS1313508.1,40,44,7,-0.7641,0.0,0.0,0.0,1.9102
47,E,HS1306571,HS1306554.2,50,66,14,-16.6747,0.0,0.0,0.0,33.3493
48,E,HS1306571,HS1318293.2,30,54,10,-18.8129,0.0,0.0,0.0,62.7097
49,E,HS1313415,C_HS1313487_HS1313415,30,106,20,-2.12,0.0,0.0,0.0,7.0666
50,E,HS1311284,HS1311288.1,50,66,23,-0.1795,0.0,0.0,0.0,0.3591
51,E,HS1308324,32,30,21,10,-47.9388,0.0,0.0,0.0,159.7962
52,E,HS1316302,HS1344261.1,30,118,17,-0.7597,0.0,0.0,0.0,2.5323
53,E,HS1311284,HS1311288.1,30,67,10,-0.1077,0.0,0.0,0.0,0.3591
54,E,HS1306571,HS1318293.2,40,58,7,-25.0839,0.0,0.0,0.0,62.7097
55,E,HS1313167,23,30,99,13,-2.0183,0.0,0.0,0.0,6.7276
56,E,HS1313402,MH0101924.1,40,111,23,-13.9428,0.0,0.0,0.0,34.8571
57,E,HS1314237,HS1314210.1,50,107,10,-1.9257,0.0,0.0,0.0,3.8514
58,E,HS1316585,28,30,114,11,-3.3234,0.0,0.0,0.0,11.0779
59,E,HS1314237,HS1314210.1,30,34,16,-1.1554,0.0,0.0,0.0,3.8514
60,E,HS1314237,HS1314210.1,50,106,13,-1.9257,0.0,0.0,0.0,3.8514
61,E,HS2003111,HS1314268.1,30,112,9,-8.4175,0.0,0.0,0.0,28.0583
62,E,HS1311339,HS1311349.2,30,72,13,-0.8593,0.0,0.0,0.0,2.8644
63,E,HS1311887,35,40,56,15,-2.3971,0.0,0.0,0.0,5.9926
