defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1306601,,40,12,24,57.5998,255.6,15.24,5.23,143.9995
2,I,HS1313025,,50,12,24,11.1002,165.76,14.4,5.64,22.2003
3,I,HS2003085,,50,12,24,15.6964,159.16,13.42,3.95,31.3929
4,I,HS1306601,,30,12,24,43.1999,123.36,11.72,2.59,143.9995
5,I,HS2003085,,40,12,24,12.5572,232.29,16.2,2.29,31.3929
6,I,HS1344902,,50,12,24,2.4435,242.45,14.05,7.13,4.887
7,I,HS1316415,,30,12,24,1.7035,117.49,6.29,2.45,5.6785
8,I,HS1324403,,30,12,24,18.7997,115.52,10.49,4.15,62.6657
9,I,HS1313025,,30,12,24,6.6601,119.6,11.05,2.29,22.2003
10,I,HS1313471,,40,12,24,2.0293,155.09,19.97,4.04,5.0733
11,I,HS1306601,,30,12,24,43.1999,165.29,13.13,2.77,143.9995
12,I,HS1316721,,40,12,24,6.6542,204.66,19.65,5.44,16.6354
13,I,HS1314477,,50,12,24,113.5742,303.72,15.1,3.97,227.1484
14,I,HS1344902,,40,12,24,1.9548,275.5,17.14,4.03,4.887
15,I,HS1313205,,50,12,24,31.3426,180.57,21.44,5.2,62.6852
16,I,HS1311473,,30,12,24,0.555,92.34,14.36,4.14,1.85
17,I,HS1344263,,30,12,24,4.2302,195.36,14.52,1.76,14.1007
18,I,HS1316417,,30,12,24,2.8737,169.17,14.52,2.0,9.5789
19,I,HS1311473,,50,12,24,0.925,335.78,21.33,5.95,1.85
20,I,HS1344263,,40,12,24,5.6403,263.94,13.42,2.99,14.1007
21,I,HS1316721,,40,12,24,6.6542,214.15,8.09,4.83,16.6354
22,I,HS1313402,,30,12,24,30.8626,193.16,6.64,2.21,102.8754
23,I,HS1316417,,30,12,24,2.8737,119.16,10.26,2.72,9.5789
24,I,HS1313205,,30,12,24,18.8056,140.83,10.2,3.69,62.6852
25,I,HS1313205,,30,12,24,18.8056,186.07,6.98,2.07,62.6852
26,I,MH0258475,,40,12,24,1.1101,149.36,13.55,5.5,2.7753
27,I,HS1316721,,40,12,24,6.6542,224.34,14.49,2.06,16.6354
28,I,HS1306601,,30,12,24,43.1999,148.28,7.92,2.7,143.9995
29,I,HS1313402,,30,12,24,30.8626,208.24,8.39,3.85,102.8754
30,I,HS1313025,,40,12,24,8.8801,144.77,11.56,5.87,22.2003
31,I,HS1313471,,50,12,24,2.5367,161.43,18.76,5.01,5.0733
32,I,HS1311473,,30,12,24,0.555,192.16,6.62,1.7,1.85
33,I,HS1344920,,40,12,24,1.6974,212.63,8.48,2.33,4.2436
34,I,HS1313471,,50,12,24,2.5367,190.85,20.74,3.69,5.0733
35,I,MH0101924,,30,12,24,10.4615,127.94,12.77,1.72,34.8718
36,I,HS1313025,,50,12,24,11.1002,257.53,17.59,3.16,22.2003
37,I,HS1313618,,30,12,24,1.2342,124.2,9.94,3.13,4.114
38,I,HS1344263,,50,12,24,7.0503,336.35,11.55,6.89,14.1007
39,I,HS1316814,,30,12,24,1.0478,122.68,11.44,3.65,3.4925
40,I,HS1316585,,50,12,24,12.5891,200.22,23.62,2.75,25.1783
41,E,HS1313835,HS1316417.1,40,12,24,-3.8289,0.0,0.0,0.0,9.5722
42,E,HS1316532,HS1316786.1,30,12,24,-6.2976,0.0,0.0,0.0,20.9919
43,E,MH0101924,MH0100292.1,50,12,24,-15.1592,0.0,0.0,0.0,30.3184
44,E,HS1308324,HS1308302.1,30,12,24,-8.3927,0.0,0.0,0.0,27.9756
45,E,HS1316530,HS1316207.1,50,12,24,-71.6546,0.0,0.0,0.0,143.3092
46,E,HS1316202,HS1316177.1,30,12,24,-20.7305,0.0,0.0,0.0,69.1016
47,E,HS1306904,13,40,12,24,-44.2566,0.0,0.0,0.0,110.6414
48,E,HS1316532,HS1316554.1,40,12,24,-18.5494,0.0,0.0,0.0,46.3735
49,E,HS1308301,HS1313835.1,30,12,24,-5.4091,0.0,0.0,0.0,18.0302
50,E,HS1308324,32,30,12,24,-47.9388,0.0,0.0,0.0,159.7962
51,E,HS1313298,16,40,12,24,-8.6332,0.0,0.0,0.0,21.5829
52,E,HS1313140,HS1313044.1,30,12,24,-2.6952,0.0,0.0,0.0,8.9841
53,E,HS1313123,HS1313083.1,40,12,24,-10.4819,0.0,0.0,0.0,26.2048
54,E,HS1314268,HS1314237.1,30,12,24,-8.1938,0.0,0.0,0.0,27.3127
55,E,HS1313044,19,40,12,24,-8.8828,0.0,0.0,0.0,22.207
56,E,HS1316554,HS1316563.1,40,12,24,-18.5559,0.0,0.0,0.0,46.3898
57,E,HS1308324,32,30,12,24,-47.9388,0.0,0.0,0.0,159.7962
58,E,HS1316177,HS1316267.1,30,12,24,-4.5806,0.0,0.0,0.0,15.2688
59,E,HS1314477,1,50,12,24,-9.4256,0.0,0.0,0.0,18.8512
60,E,HS1313220,12,30,12,24,-3.9926,0.0,0.0,0.0,13.3086
61,E,YS2003067,39,30,12,24,-2.9489,0.0,0.0,0.0,9.8296
62,E,HS2003111,HS1314268.1,50,12,24,-14.0291,0.0,0.0,0.0,28.0583
63,E,HS1316585,28,30,12,24,-3.3234,0.0,0.0,0.0,11.0779
64,E,HS1306571,HS1306554.2,50,12,24,-16.6747,0.0,0.0,0.0,33.3493
65,E,HS1308259,HS1316726.1,40,12,24,-4.4706,0.0,0.0,0.0,11.1764
66,E,HS1316202,HS1316177.1,30,12,24,-20.7305,0.0,0.0,0.0,69.1016
67,E,HS1316207,HS1316202.1,50,12,24,-37.9081,0.0,0.0,0.0,75.8161
68,E,1,2,40,12,24,-90.4327,0.0,0.0,0.0,226.0818
69,E,HS1316585,28,50,12,24,-5.539,0.0,0.0,0.0,11.0779
70,E,MH0101924,MH0100292.1,40,12,24,-12.1274,0.0,0.0,0.0,30.3184
71,E,HS2003046,HS2003070.1,50,12,24,-20.4706,0.0,0.0,0.0,40.9412
72,E,HS1313220,12,50,12,24,-6.6543,0.0,0.0,0.0,13.3086
73,E,HS1308301,HS1313835.1,50,12,24,-9.0151,0.0,0.0,0.0,18.0302
74,E,HS1313123,HS1313083.1,30,12,24,-7.8614,0.0,0.0,0.0,26.2048
75,E,HS1313298,16,40,12,24,-8.6332,0.0,0.0,0.0,21.5829
76,E,HS1313044,HS1313123.1,50,12,24,-13.85,0.0,0.0,0.0,27.6999
77,E,HS1313415,C_HS1313487_HS1313415,40,12,24,-2.8266,0.0,0.0,0.0,7.0666
78,E,1,2,30,12,24,-67.8245,0.0,0.0,0.0,226.0818
79,E,HS1316207,HS1316202.1,50,12,24,-37.9081,0.0,0.0,0.0,75.8161
80,E,HS1313298,16,30,12,24,-6.4749,0.0,0.0,0.0,21.5829
81,P,HS1313025,,50,12,24,2.22,1612.65,293.85,25.1,22.2003
82,P,HS1316415,,40,12,24,0.4543,1160.06,240.28,25.44,5.6785
83,P,HS1324403,,50,12,24,6.2666,1274.6,165.5,20.71,62.6657
84,P,HS1324403,,40,12,24,5.0133,910.7,157.0,23.1,62.6657
85,P,HS1316585,,30,12,24,1.5107,798.53,145.91,9.75,25.1783
86,P,HS1316643,,40,12,24,0.8866,1181.58,270.84,16.78,11.0827
87,P,HS1313001,,40,12,24,0.5642,975.54,189.73,12.46,7.0525
88,P,HS1311288,,50,12,24,0.036,1840.51,333.91,34.61,0.3597
89,P,MH0258475,,30,12,24,0.1665,650.37,141.43,19.4,2.7753
90,P,HS1308302,,30,12,24,1.6792,796.41,144.56,13.05,27.9871
91,P,HS1313001,,40,12,24,0.5642,1467.93,195.25,23.98,7.0525
92,P,HS1313402,,40,12,24,8.23,1424.99,224.28,24.07,102.8754
93,P,HS1344920,,30,12,24,0.2546,743.13,146.83,10.37,4.2436
94,P,HS1316585,,40,12,24,2.0143,934.23,217.16,23.97,25.1783
95,P,MH0201710,,30,12,24,0.9428,947.21,201.47,15.91,15.7126
96,P,HS1313001,,40,12,24,0.5642,1273.68,252.89,15.89,7.0525
97,P,HS1344263,,50,12,24,1.4101,1347.2,235.68,22.41,14.1007
98,P,HS1344261,,50,12,24,0.2532,1849.58,314.47,17.11,2.5324
99,P,HS2003085,,50,12,24,3.1393,1435.49,296.76,34.31,31.3929
100,P,HS1324403,,50,12,24,6.2666,1435.57,296.21,20.37,62.6657
