defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO
0,BASELINE,,,0,0,0,0.0,0.0,0.0,0.0
1,I,HS1344902,,10,24,12,0.4878,50.0,3.0,1.0
2,I,HS1344902,,20,24,12,0.9756,100.0,6.0,2.0
3,I,HS1344902,,30,24,12,1.4633,150.0,9.0,3.0
4,I,HS1313025,,10,24,12,2.2246,50.0,3.0,1.0
5,I,HS1313025,,20,24,12,4.4492,100.0,6.0,2.0
6,I,HS1313025,,30,24,12,6.6738,150.0,9.0,3.0
7,I,HS1306601,,10,24,12,14.4541,50.0,3.0,1.0
8,I,HS1306601,,20,24,12,28.9082,100.0,6.0,2.0
9,I,HS1306601,,30,24,12,43.3623,150.0,9.0,3.0
10,E,MH0101923,,10,24,12,-2.2545,0.0,0.0,0.0
11,E,MH0101923,,20,24,12,-4.509,0.0,0.0,0.0
12,E,MH0101923,,30,24,12,-6.7635,0.0,0.0,0.0
13,E,HS1344187,,10,24,12,-0.7706,0.0,0.0,0.0
14,E,HS1344187,,20,24,12,-1.5413,0.0,0.0,0.0
15,E,HS1344187,,30,24,12,-2.3119,0.0,0.0,0.0
16,E,HS1318328,,10,24,12,-0.9362,0.0,0.0,0.0
17,E,HS1318328,,20,24,12,-1.8724,0.0,0.0,0.0
18,E,HS1318328,,30,24,12,-2.8086,0.0,0.0,0.0
19,P,HS1313487,,10,24,12,0.0928,300.0,50.0,5.0
20,P,HS1313487,,20,24,12,0.1855,600.0,100.0,10.0
21,P,HS1313487,,30,24,12,0.2783,900.0,150.0,15.0
22,P,HS1313140,,10,24,12,0.0899,300.0,50.0,5.0
23,P,HS1313140,,20,24,12,0.1798,600.0,100.0,10.0
24,P,HS1313140,,30,24,12,0.2698,900.0,150.0,15.0
25,P,MH0201710,,10,24,12,0.1622,300.0,50.0,5.0
26,P,MH0201710,,20,24,12,0.3244,600.0,100.0,10.0
27,P,MH0201710,,30,24,12,0.4865,900.0,150.0,15.0
