defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1313083,,30,12,24,7.8716,101.13,6.87,4.04,26.2386
2,I,HS1313965,,40,12,24,2.6877,205.8,19.68,3.51,6.7193
3,I,HS2003111,,40,12,24,11.8885,232.73,8.55,2.91,29.7212
4,I,HS1316643,,30,12,24,3.3248,135.62,10.08,4.0,11.0827
5,I,HS1344920,,40,12,24,1.6974,227.23,16.42,4.73,4.2436
6,I,HS1306571,,50,12,24,53.7879,182.68,15.69,7.45,107.5758
7,I,HS2003111,,30,12,24,8.9164,117.49,6.29,2.45,29.7212
8,I,HS1311284,,30,12,24,0.3928,115.52,10.49,4.15,1.3094
9,I,MH0201629,,30,12,24,2.0957,119.6,11.05,2.29,6.9856
10,I,HS1313140,,40,12,24,3.6018,155.09,19.97,4.04,9.0045
11,I,MH0200661,,30,12,24,1.0442,165.29,13.13,2.77,3.4808
12,I,HS1306571,,40,12,24,43.0303,204.66,19.65,5.44,107.5758
13,I,MH0201710,,50,12,24,7.8563,303.72,15.1,3.97,15.7126
14,I,HS1344920,,40,12,24,1.6974,275.5,17.14,4.03,4.2436
15,I,MH0242303,,50,12,24,8.8357,180.57,21.44,5.2,17.6713
16,I,MH0100819,,30,12,24,81.4733,92.34,14.36,4.14,271.5776
17,I,HS1313025,,30,12,24,6.6601,195.36,14.52,1.76,22.2003
18,I,HS1316721,,30,12,24,4.9906,169.17,14.52,2.0,16.6354
19,I,MH0100819,,50,12,24,135.7888,335.78,21.33,5.95,271.5776
20,I,HS1313025,,40,12,24,8.8801,263.94,13.42,2.99,22.2003
21,I,HS1306571,,40,12,24,43.0303,214.15,8.09,4.83,107.5758
22,I,HS1308302,,30,12,24,8.3961,193.16,6.64,2.21,27.9871
23,I,HS1316721,,30,12,24,4.9906,119.16,10.26,2.72,16.6354
24,I,MH0242303,,30,12,24,5.3014,140.83,10.2,3.69,17.6713
25,I,MH0242303,,30,12,24,5.3014,186.07,6.98,2.07,17.6713
26,I,HS2003015,,40,12,24,29.6715,149.36,13.55,5.5,74.1787
27,I,HS1306571,,40,12,24,43.0303,224.34,14.49,2.06,107.5758
28,I,MH0200661,,30,12,24,1.0442,148.28,7.92,2.7,3.4808
29,I,HS1308302,,30,12,24,8.3961,208.24,8.39,3.85,27.9871
30,I,MH0201629,,40,12,24,2.7942,144.77,11.56,5.87,6.9856
31,I,HS1313140,,50,12,24,4.5023,161.43,18.76,5.01,9.0045
32,I,MH0100819,,30,12,24,81.4733,192.16,6.62,1.7,271.5776
33,I,HS1311288,,40,12,24,0.1439,212.63,8.48,2.33,0.3597
34,I,HS1313140,,50,12,24,4.5023,190.85,20.74,3.69,9.0045
35,I,HS1306904,,30,12,24,57.3736,127.94,12.77,1.72,191.2455
36,I,MH0201629,,50,12,24,3.4928,257.53,17.59,3.16,6.9856
37,I,HS1316415,,30,12,24,1.7035,124.2,9.94,3.13,5.6785
38,I,HS1313025,,50,12,24,11.1002,336.35,11.55,6.89,22.2003
39,I,HS1313402,,30,12,24,30.8626,122.68,11.44,3.65,102.8754
40,I,HS1316563,,50,12,24,23.2201,200.22,23.62,2.75,46.4402
41,E,HS1313835,HS1316417.1,40,12,24,-3.8289,0.0,0.0,0.0,9.5722
42,E,HS1316532,HS1316786.1,30,12,24,-6.2976,0.0,0.0,0.0,20.9919
43,E,MH0101924,MH0100292.1,50,12,24,-15.1592,0.0,0.0,0.0,30.3184
44,E,HS1308324,HS1308302.1,30,12,24,-8.3927,0.0,0.0,0.0,27.9756
45,E,HS1316530,HS1316207.1,50,12,24,-71.6546,0.0,0.0,0.0,143.3092
46,E,HS1316202,HS1316177.1,30,12,24,-20.7305,0.0,0.0,0.0,69.1016
47,E,HS1306904,13,40,12,24,-44.2566,0.0,0.0,0.0,110.6414
48,E,HS1316532,HS1316554.1,40,12,24,-18.5494,0.0,0.0,0.0,46.3735
49,E,HS1308301,HS1313835.1,30,12,24,-5.4091,0.0,0.0,0.0,18.0302
50,E,HS1308324,32,30,12,24,-47.9388,0.0,0.0,0.0,159.7962
51,E,HS1313298,16,40,12,24,-8.6332,0.0,0.0,0.0,21.5829
52,E,HS1313140,HS1313044.1,30,12,24,-2.6952,0.0,0.0,0.0,8.9841
53,E,HS1313123,HS1313083.1,40,12,24,-10.4819,0.0,0.0,0.0,26.2048
54,E,HS1314268,HS1314237.1,30,12,24,-8.1938,0.0,0.0,0.0,27.3127
55,E,HS1313044,19,40,12,24,-8.8828,0.0,0.0,0.0,22.207
56,E,HS1316554,HS1316563.1,40,12,24,-18.5559,0.0,0.0,0.0,46.3898
57,E,HS1308324,32,30,12,24,-47.9388,0.0,0.0,0.0,159.7962
58,E,HS1316177,HS1316267.1,30,12,24,-4.5806,0.0,0.0,0.0,15.2688
59,E,HS1314477,1,50,12,24,-9.4256,0.0,0.0,0.0,18.8512
60,E,HS1313220,12,30,12,24,-3.9926,0.0,0.0,0.0,13.3086
61,E,YS2003067,39,30,12,24,-2.9489,0.0,0.0,0.0,9.8296
62,E,HS2003111,HS1314268.1,50,12,24,-14.0291,0.0,0.0,0.0,28.0583
63,E,HS1316585,28,30,12,24,-3.3234,0.0,0.0,0.0,11.0779
64,E,HS1306571,HS1306554.2,50,12,24,-16.6747,0.0,0.0,0.0,33.3493
65,E,HS1308259,HS1316726.1,40,12,24,-4.4706,0.0,0.0,0.0,11.1764
66,E,HS1316202,HS1316177.1,30,12,24,-20.7305,0.0,0.0,0.0,69.1016
67,E,HS1316207,HS1316202.1,50,12,24,-37.9081,0.0,0.0,0.0,75.8161
68,E,1,2,40,12,24,-90.4327,0.0,0.0,0.0,226.0818
69,E,HS1316585,28,50,12,24,-5.539,0.0,0.0,0.0,11.0779
70,E,MH0101924,MH0100292.1,40,12,24,-12.1274,0.0,0.0,0.0,30.3184
71,E,HS2003046,HS2003070.1,50,12,24,-20.4706,0.0,0.0,0.0,40.9412
72,E,HS1313220,12,50,12,24,-6.6543,0.0,0.0,0.0,13.3086
73,E,HS1308301,HS1313835.1,50,12,24,-9.0151,0.0,0.0,0.0,18.0302
74,E,HS1313123,HS1313083.1,30,12,24,-7.8614,0.0,0.0,0.0,26.2048
75,E,HS1313298,16,40,12,24,-8.6332,0.0,0.0,0.0,21.5829
76,E,HS1313044,HS1313123.1,50,12,24,-13.85,0.0,0.0,0.0,27.6999
77,E,HS1313415,C_HS1313487_HS1313415,40,12,24,-2.8266,0.0,0.0,0.0,7.0666
78,E,1,2,30,12,24,-67.8245,0.0,0.0,0.0,226.0818
79,E,HS1316207,HS1316202.1,50,12,24,-37.9081,0.0,0.0,0.0,75.8161
80,E,HS1313298,16,30,12,24,-6.4749,0.0,0.0,0.0,21.5829
81,P,MH0201629,,50,12,24,0.6986,1612.65,293.85,25.1,6.9856
82,P,HS2003111,,40,12,24,2.3777,1160.06,240.28,25.44,29.7212
83,P,HS1311284,,50,12,24,0.1309,1274.6,165.5,20.71,1.3094
84,P,HS1311284,,40,12,24,0.1048,910.7,157.0,23.1,1.3094
85,P,HS1316563,,30,12,24,2.7864,798.53,145.91,9.75,46.4402
86,P,HS1316417,,40,12,24,0.7663,1181.58,270.84,16.78,9.5789
87,P,HS1344261,,40,12,24,0.2026,975.54,189.73,12.46,2.5324
88,P,MH0101924,,50,12,24,3.4872,1840.51,333.91,34.61,34.8718
89,P,HS2003015,,30,12,24,4.4507,650.37,141.43,19.4,74.1787
90,P,HS1311887,,30,12,24,0.9078,796.41,144.56,13.05,15.1306
91,P,HS1344261,,40,12,24,0.2026,1467.93,195.25,23.98,2.5324
92,P,HS1308302,,40,12,24,2.239,1424.99,224.28,24.07,27.9871
93,P,HS1311288,,30,12,24,0.0216,743.13,146.83,10.37,0.3597
94,P,HS1316563,,40,12,24,3.7152,934.23,217.16,23.97,46.4402
95,P,HS1314237,,30,12,24,1.6387,947.21,201.47,15.91,27.3118
96,P,HS1344261,,40,12,24,0.2026,1273.68,252.89,15.89,2.5324
97,P,HS1313025,,50,12,24,2.22,1347.2,235.68,22.41,22.2003
98,P,HS2003070,,50,12,24,4.0968,1849.58,314.47,17.11,40.9683
99,P,HS1316467,,50,12,24,1.7002,1435.49,296.76,34.31,17.0021
