defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1313487,,30,8,24,2.1226,119.39,7.26,1.81,7.0754
2,I,HS1314512,,50,11,6,10.392,156.36,11.41,3.66,20.7841
3,I,HS1313613,,30,6,8,0.865,116.45,11.3,3.93,2.8835
4,I,MH0201710,,30,10,24,4.715,123.34,7.94,3.79,15.7166
5,I,MH0201597,,30,11,24,6.8076,133.08,9.1,2.29,22.6919
6,I,HS1308324,,50,13,6,104.461,344.62,15.68,5.26,208.9219
7,I,HS1313487,,50,20,6,3.5377,290.91,10.69,3.64,7.0754
8,I,HS1313025,,30,19,6,6.6625,135.62,10.08,4.0,22.2082
9,I,HS1306601,,40,15,12,57.6488,227.23,16.42,4.73,144.122
10,I,HS1313140,,50,10,12,4.503,182.68,15.69,7.45,9.006
11,I,HS1313487,,50,18,8,3.5377,318.57,21.64,3.65,7.0754
12,I,HS1308324,,40,10,24,83.5688,130.59,18.96,4.27,208.9219
13,I,HS2003125,,40,23,24,0.6655,183.3,18.97,3.84,1.6638
14,I,HS2003046,,30,6,6,22.2687,179.64,9.86,3.25,74.2289
15,I,HS1313569,,30,15,12,0.1864,100.91,6.42,1.83,0.6213
16,I,HS1313487,,30,9,4,2.1226,136.17,11.36,2.9,7.0754
17,I,HS2003046,,50,6,16,37.1145,286.34,18.05,3.83,74.2289
18,I,HS1313487,,40,7,12,2.8302,189.56,13.44,5.82,7.0754
19,I,HS1314512,,40,21,6,8.3136,259.28,11.58,4.56,20.7841
20,I,HS1313613,,30,10,12,0.865,181.5,10.85,3.84,2.8835
21,E,HS1308324,HS1308259.1,30,14,8,-3.6859,0.0,0.0,0.0,12.2864
22,E,HS1314477,33,30,11,12,-62.6434,0.0,0.0,0.0,208.8115
23,E,HS1308301,HS1313835.1,30,14,12,-5.4253,0.0,0.0,0.0,18.0843
24,E,HS2003023,HS2003046.1,50,10,12,-37.0769,0.0,0.0,0.0,74.1539
25,E,HS1316721,HS1316811.1,30,11,8,-2.0253,0.0,0.0,0.0,6.7509
26,E,HS2003046,HS2003070.1,40,8,8,-16.3778,0.0,0.0,0.0,40.9444
27,E,HS1313391,HS1313205.2,50,6,12,-24.8785,0.0,0.0,0.0,49.7571
28,E,HS1316530,HS1316207.1,40,8,16,-57.3749,0.0,0.0,0.0,143.4374
29,E,HS1313298,16,30,23,8,-6.4772,0.0,0.0,0.0,21.5905
30,E,HS1314477,33,50,5,16,-104.4057,0.0,0.0,0.0,208.8115
31,E,1,2,30,8,12,-67.8839,0.0,0.0,0.0,226.2795
32,E,HS1306571,HS1318293.2,30,9,4,-18.7993,0.0,0.0,0.0,62.6642
33,E,HS1313220,12,30,14,24,-4.0379,0.0,0.0,0.0,13.4596
34,E,HS2003111,38,50,19,12,-14.8461,0.0,0.0,0.0,29.6922
35,E,HS1313298,16,40,20,16,-8.6362,0.0,0.0,0.0,21.5905
36,E,HS2003015,HS2003023.1,30,10,12,-22.2369,0.0,0.0,0.0,74.1231
37,E,HS1316585,28,40,0,12,-4.4316,0.0,0.0,0.0,11.0791
38,E,HS2003015,HS2003023.1,30,16,6,-22.2369,0.0,0.0,0.0,74.1231
39,E,HS1316532,HS1316554.1,30,18,8,-13.9152,0.0,0.0,0.0,46.384
40,E,HS1316721,HS1316811.1,40,6,6,-2.7004,0.0,0.0,0.0,6.7509
41,P,HS1306601,,40,6,24,11.5298,1499.59,132.06,24.93,144.122
42,P,HS1313508,,30,9,24,0.1146,1181.4,201.16,19.18,1.9094
43,P,HS1306601,,40,11,8,11.5298,971.0,184.17,12.94,144.122
44,P,HS1316585,,30,10,16,1.511,1155.91,184.22,12.42,25.184
45,P,HS2003125,,50,7,6,0.1664,1189.9,193.54,16.17,1.6638
46,P,HS1314512,,50,13,6,2.0784,1057.17,266.84,25.06,20.7841
47,P,HS1313123,,30,20,8,1.6647,1110.81,98.22,9.82,27.7457
48,P,HS1344902,,40,16,8,0.3911,1263.14,126.36,13.31,4.8892
49,P,HS1316177,,50,6,12,6.9243,1204.26,293.24,19.77,69.2426
50,P,HS1316585,,30,8,8,1.511,789.71,180.22,9.87,25.184
