defect_id,defect_type,node_id,intensity_pct,start_hour,duration_h,baseline_flow,degree,betweenness,dist2outfall,group
1,I,HS1344159,40,6,24,53.8819,2,0.28910969462150554,2,unknown
2,I,HS1344263,50,19,24,14.1007,2,0.03124609423822022,2,unknown
3,I,HS2003070,50,14,18,40.9683,2,0.1327334083239595,3,both
4,I,HS1344159,30,10,18,53.8819,2,0.28910969462150554,2,unknown
5,I,HS2003070,40,7,18,40.9683,2,0.1327334083239595,3,unknown
6,I,HS1316585,50,20,6,25.1783,3,0.07411573553305836,2,unknown
7,I,HS1313205,30,6,24,62.6852,4,0.13071282756322128,3,unknown
8,I,MH0241587,40,18,18,9.9005,3,0.06186726659167603,1,unknown
9,I,HS1314769,30,22,18,21.9746,2,0.04143232095988001,3,unknown
10,I,HS1308324,30,10,6,208.6826,4,0.17095779694204888,2,unknown
11,I,HS1313001,40,10,18,7.0525,3,0.04674415698037745,1,unknown
12,I,HS1306904,30,23,6,191.2455,4,0.4954172395117275,3,unknown
13,I,HS2003023,50,20,12,74.1602,2,0.00883222930467025,4,unknown
14,I,HS1313044,50,3,18,58.9128,4,0.1496062992125984,1,unknown
15,I,HS1316585,40,7,12,25.1783,3,0.07411573553305836,2,both
16,I,HS1316532,50,23,6,67.5227,3,0.10890305378494346,4,unknown
17,I,HS1314477,50,2,24,227.1484,3,0.03893263342082239,1,unknown
18,I,MH0100292,30,21,18,30.3495,4,0.16372953380827396,1,unknown
19,I,HS1306601,30,20,6,143.9995,4,0.39286755822188896,4,unknown
20,I,HS1313205,30,1,24,62.6852,4,0.13071282756322128,3,unknown
21,I,HS1314477,50,23,24,227.1484,3,0.03893263342082239,1,both
22,I,HS2003070,40,11,12,40.9683,2,0.1327334083239595,3,both
23,I,HS1313001,50,5,6,7.0525,3,0.04674415698037745,1,unknown
24,I,HS1316677,30,1,24,5.0079,2,0.031871016122984624,2,both
25,I,HS1313676,50,20,18,21.5695,2,0.015748031496062992,1,unknown
26,I,HS1316835,30,0,18,5.6147,2,0.015748031496062992,1,unknown
27,I,HS1306904,50,11,12,191.2455,4,0.4954172395117275,3,unknown
28,I,HS1316532,30,21,24,67.5227,3,0.10890305378494346,4,unknown
29,I,HS1344263,30,11,6,14.1007,2,0.03124609423822022,2,unknown
30,I,HS1314477,30,16,18,227.1484,3,0.03893263342082239,1,unknown
31,I,HS1313640,30,9,24,5.111,3,0.031371078615173104,1,unknown
32,I,HS1344263,40,15,24,14.1007,2,0.03124609423822022,2,unknown
33,I,HS1313676,30,14,12,21.5695,2,0.015748031496062992,1,unknown
34,I,HS1313415,50,14,18,9.0415,2,0.04649418822647169,2,unknown
35,I,VP0232532,50,18,18,1.444,2,0.015748031496062992,1,unknown
36,I,HS1313001,50,11,6,7.0525,3,0.04674415698037745,1,unknown
37,I,HS1308324,30,22,18,208.6826,4,0.17095779694204888,2,unknown
38,I,MH0100292,40,19,6,30.3495,4,0.16372953380827396,1,unknown
39,I,HS1316532,30,2,18,67.5227,3,0.10890305378494346,4,unknown
40,I,VP0232532,30,4,12,1.444,2,0.015748031496062992,1,unknown
41,E,MH0100292,30,18,18,1.3897,4,0.16372953380827396,1,unknown
42,E,MH0201597,50,6,6,15.7107,3,0.07674040744906886,1,unknown
43,E,HS1313415,30,20,6,7.0666,2,0.04649418822647169,2,unknown
44,E,HS1316554,40,8,12,46.3898,2,0.02712160979877515,3,unknown
45,E,HS1316721,30,6,18,9.0435,3,0.056659584218639356,2,unknown
46,E,HS1313487,40,17,18,1.9102,3,0.031371078615173104,1,unknown
47,E,HS1306571,50,3,12,33.3493,3,0.2647169103862017,3,unknown
