scenario_id,baseline_id,defect_type,node_id,strength_factor,start_hour,duration_h,note
1,1,BASELINE,,,,,baseline_only
2,1,I,HS1344978,0.1,6,6,轻度渗入_高峰期
3,1,I,HS1344978,0.3,6,6,中度渗入_高峰期
4,1,I,HS1344978,0.6,6,6,重度渗入_高峰期
5,1,I,HS1344978,0.1,2,6,轻度渗入_低谷期
6,1,I,HS1344978,0.3,2,6,中度渗入_低谷期
7,1,I,HS1313123,0.1,6,6,轻度渗入_支管_高峰
8,1,I,HS1313123,0.3,6,6,中度渗入_支管_高峰
9,1,I,HS1311473,0.1,6,6,轻度渗入_干管_高峰
10,1,I,HS1311473,0.3,6,6,中度渗入_干管_高峰
11,1,E,HS1313300,0.1,6,6,轻度渗漏_高峰期
12,1,E,HS1313300,0.3,6,6,中度渗漏_高峰期
13,1,E,HS1313300,0.6,6,6,重度渗漏_高峰期
14,1,E,HS1313300,0.1,2,6,轻度渗漏_低谷期
15,1,E,HS1313300,0.3,2,6,中度渗漏_低谷期
16,1,E,HS1306611,0.1,6,12,轻度渗漏_长时间
17,1,E,HS1306611,0.3,6,12,中度渗漏_长时间
18,1,P,HS1316405,0.1,6,6,轻度污染_高峰期
19,1,P,HS1316405,0.3,6,6,中度污染_高峰期
20,1,P,HS1316405,0.6,6,6,重度污染_高峰期
21,1,P,HS1316405,0.1,2,6,轻度污染_低谷期
22,1,P,HS1316405,0.3,2,6,中度污染_低谷期
23,1,P,HS1313676,0.1,6,6,轻度污染_支管_高峰
24,1,P,HS1313676,0.3,6,6,中度污染_支管_高峰
25,1,P,HS1313881,0.1,6,6,轻度污染_干管_高峰
26,1,P,HS1313881,0.3,6,6,中度污染_干管_高峰
27,2,I,HS1344978,0.3,6,6,中度渗入_baseline2
28,2,E,HS1313300,0.3,6,6,中度渗漏_baseline2
29,2,P,HS1316405,0.3,6,6,中度污染_baseline2
30,3,I,HS1344978,0.3,6,6,中度渗入_baseline3
31,3,E,HS1313300,0.3,6,6,中度渗漏_baseline3
32,3,P,HS1316405,0.3,6,6,中度污染_baseline3
