node_id,in_monitor_S,in_active_D,has_I_scenario,has_E_scenario,min_monitor_hop,observability_tier,nearest_monitors
HS1313402,1,1,1,1,0,direct,HS1313402
MH0258475,0,1,1,0,5,far,HS1316563
VP0232532,0,1,1,1,5,far,HS1306571
MH0201629,0,1,1,1,3,far,HS1306571
HS1308259,0,1,1,1,1,near,HS1308324
HS1311339,0,1,1,1,3,far,MH0100292
HS1311288,0,1,1,0,2,near,HS1313001
HS1313298,1,1,1,1,0,direct,HS1313298
HS2003046,0,1,1,1,1,near,HS1306601
HS1314505,0,1,1,1,2,near,HS2003013
HS1316563,1,1,1,1,0,direct,HS1316563
HS1316814,0,1,1,0,4,far,HS1316467
HS1316417,0,1,1,0,1,near,HS1313835
HS1313025,1,1,1,1,0,direct,HS1313025
MH0201710,0,1,1,1,3,far,HS1306571
HS1344263,0,1,1,1,3,far,HS1316563
HS1313471,0,1,1,0,1,near,HS1313487
MH0200661,0,1,1,1,4,far,HS1306571
HS1314237,0,1,1,1,7,far,HS1306601
HS1306601,1,1,1,1,0,direct,HS1306601
HS1316202,0,1,1,1,2,near,HS1316267
HS1313618,0,1,1,0,1,near,HS1313640
HS1306471,0,1,1,0,4,far,HS1316467
HS2003015,0,1,1,1,1,near,HS2003013
HS1313140,0,1,1,1,1,near,HS1313044
HS1308302,0,1,1,1,1,near,HS1308324;HS1308301
HS2003085,0,1,1,0,4,far,HS1306601
HS1306571,1,1,1,1,0,direct,HS1306571
HS1316643,0,1,1,1,3,far,HS1316467;HS1316563
HS1311473,0,1,1,0,1,near,HS1313001
HS1316721,0,1,1,1,2,near,HS1316467
HS1314477,0,1,1,1,1,near,HS1308324
HS1313835,1,1,1,1,0,direct,HS1313835
HS1313205,1,1,1,1,0,direct,HS1313205
HS1306904,1,1,1,1,0,direct,HS1306904
HS1324403,0,1,1,1,1,near,HS1313044;HS1318293
HS1316415,0,1,1,0,4,far,HS1316267
HS1313925,0,1,1,0,1,near,HS1313959
HS1313001,1,1,1,1,0,direct,HS1313001
MH0101924,0,1,1,1,1,near,HS1313402;MH0100292
HS2003111,0,1,1,1,5,far,HS1306601
MH0242782,0,1,1,1,4,far,HS1316563
HS1344902,0,1,1,0,3,far,HS1316467
HS1306554,0,1,1,0,1,near,HS1306571
HS1330842,0,1,1,0,4,far,HS1306601
HS1316585,0,1,1,1,2,near,HS1316563
HS1313253,1,1,1,1,0,direct,HS1313253
HS1313597,1,1,1,1,0,direct,HS1313597
HS1344261,0,1,1,0,2,near,HS1316267
HS1344920,0,1,1,0,2,near,HS1313298
