experiment,variant,seed,metrics_file,status,audit_errors
depth,deepattn_L1,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
depth,deepattn_L1,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
depth,deepattn_L1,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L1_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
depth,deepattn_L2,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
depth,deepattn_L2,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
depth,deepattn_L2,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L2_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
depth,deepattn_L3,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
depth,deepattn_L3,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
depth,deepattn_L3,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
depth,deepattn_L4,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L4_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
depth,deepattn_L4,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L4_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
depth,deepattn_L4,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L4_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
path_prior,deepattn_L3_distance_only,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_distance_only_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
path_prior,deepattn_L3_content_only,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_content_only_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
path_prior,deepattn_L3_content_only,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_content_only_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
path_prior,deepattn_L3_content_only,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_deepattn_L3_content_only_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
temporal_encoder,hydraulic_inverse_LSTM,7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_hydraulic_inverse_LSTM_normal20_rawres_loc0p5_degree_N25_s7.json,ok,
temporal_encoder,hydraulic_inverse_LSTM,42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_hydraulic_inverse_LSTM_normal20_rawres_loc0p5_degree_N25_s42.json,ok,
temporal_encoder,hydraulic_inverse_LSTM,123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_ablation_hydraulic_inverse_LSTM_normal20_rawres_loc0p5_degree_N25_s123.json,ok,
