model,seed,tag,metrics_file,mrr,top1,top3,top5,active_f1,normal_window_fpr,scene_f1,event_top1,event_top3,event_top5
gru_only,7,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s7.json,0.22139142842694598,0.16517412935323383,0.19303482587064677,0.21791044776119403,0.6662371134020618,0.01697792869269949,0.7692307692307693,0.140625,0.203125,0.265625
gru_only,42,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s42.json,0.20385469866014982,0.13013698630136986,0.18949771689497716,0.2226027397260274,0.8267008985879333,0.020042194092827006,0.8928571428571428,0.09836065573770492,0.19672131147540983,0.19672131147540983
gru_only,123,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s123.json,0.20765461276189007,0.14022988505747128,0.18850574712643678,0.21839080459770116,0.8195679796696315,0.031019978969505785,0.9391304347826086,0.11475409836065574,0.18032786885245902,0.21311475409836064
gru_gcn,7,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s7.json,0.24705375434450844,0.14925373134328357,0.25671641791044775,0.31044776119402984,0.9775336994508238,0.010752688172043012,0.9921259842519685,0.140625,0.265625,0.3125
gru_gcn,42,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s42.json,0.24952584856559765,0.1495433789954338,0.2773972602739726,0.3242009132420091,0.9564705882352941,0.0058016877637130804,0.9917355371900827,0.18032786885245902,0.2786885245901639,0.32786885245901637
gru_gcn,123,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s123.json,0.26827463589865586,0.16091954022988506,0.2885057471264368,0.3632183908045977,0.9690601284296556,0.006834910620399579,1.0,0.13114754098360656,0.2786885245901639,0.36065573770491804
lstm_graphsage_edge,7,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s7.json,0.4609791342113445,0.3641791044776119,0.4845771144278607,0.5402985074626866,0.98,0.008488964346349746,1.0,0.40625,0.515625,0.578125
lstm_graphsage_edge,42,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s42.json,0.4767506991143096,0.3858447488584475,0.4942922374429224,0.5399543378995434,0.985244040862656,0.00949367088607595,1.0,0.4262295081967213,0.5081967213114754,0.5737704918032787
lstm_graphsage_edge,123,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s123.json,0.4614835149340931,0.39080459770114945,0.4528735632183908,0.4885057471264368,0.9901677270098324,0.0015772870662460567,1.0,0.45901639344262296,0.4918032786885246,0.5081967213114754
hydraulic_inverse,7,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s7.json,0.3743073560112151,0.24477611940298508,0.3970149253731343,0.5064676616915423,0.971457185778668,0.01245048104131296,1.0,0.265625,0.4375,0.53125
