model,seed,source,tag,metrics_file,status,audit_errors
gru_only,7,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s7.json,ok,
gru_only,42,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s42.json,ok,
gru_only,123,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_only_s123.json,ok,
gru_gcn,7,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s7.json,ok,
gru_gcn,42,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s42.json,ok,
gru_gcn,123,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_gru_gcn_s123.json,ok,
lstm_graphsage_edge,7,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s7.json,ok,
lstm_graphsage_edge,42,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s42.json,ok,
lstm_graphsage_edge,123,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_lstm_graphsage_edge_s123.json,ok,
hydraulic_inverse,7,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s7.json,ok,
hydraulic_inverse,42,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s42.json,ok,
hydraulic_inverse,123,new_formal_baseline,ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch4_modelcmp_normal20_rawres_loc0p5_degree_N25_hydraulic_inverse_s123.json,ok,
hydraulic_inverse_deepattn,7,existing_formal_main_model,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s7,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s7.json,ok,
hydraulic_inverse_deepattn,42,existing_formal_main_model,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json,ok,
hydraulic_inverse_deepattn,123,existing_formal_main_model,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s123,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s123.json,ok,
