method_key,method,budget,diagnosis_seed,teacher_subdir,split_mode,feature_set,lambda_loc,student_model_type,layout_file,output_tag,metrics_file,status,command
degree,Degree,5,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N5.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N5.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
degree,Degree,10,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N10.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N10_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N10_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N10.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N10_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
degree,Degree,15,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N15.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N15_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N15_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N15.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N15_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
degree,Degree,20,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N20.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N20_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N20_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N20.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N20_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
degree,Degree,25,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N25_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
betweenness,Betweenness,5,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N5.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N5_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N5.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N5_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
betweenness,Betweenness,10,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N10.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N10_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N10_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N10.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N10_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
betweenness,Betweenness,15,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N15.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N15_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N15_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N15.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N15_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
betweenness,Betweenness,20,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N20.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N20_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N20_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N20.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N20_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
betweenness,Betweenness,25,42,ie420_plus_normal20_v1,scenario,raw_plus_residual,0.5,hydraulic_inverse_deepattn,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N25.json,48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42.json,done,D:\conda3\envs\swmm_gpu\python.exe E:\11.16\script2_new\scripts\train_privileged_teacher_student.py --student-monitors E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N25.json --output-tag 48h_control_ie420_normal20_raw_plus_residual_loc0p5_betweenness_N25_s42 --seed 42 --teacher-subdir ie420_plus_normal20_v1 --split-mode scenario --feature-set raw_plus_residual --lambda-loc 0.5 --student-model-type hydraulic_inverse_deepattn --lambda-kd 0 --lambda-active-kd 0
