strategy,budget,coverage_level,variant,target_coverage_rate,layout_file,output_tag,metrics_file,direct,near,far,coverage_rate,direct_rate,far_ratio,mean_hop,max_hop,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard
coverage_rate_controlled,25,low,1,0.35,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\low\monitor_nodes_coverage_rate_N25_low_v1.json,ch5_coverage_rate_controlled_N25_low_v1_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_low_v1_normal20_rawres_loc0p5_s42.json,4,13,33,0.34,0.08,0.66,3.3255813953488373,8.0,6.451612903225806,0.19729244769567353
coverage_rate_controlled,25,low,2,0.35,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\low\monitor_nodes_coverage_rate_N25_low_v2.json,ch5_coverage_rate_controlled_N25_low_v2_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_low_v2_normal20_rawres_loc0p5_s42.json,4,13,33,0.34,0.08,0.66,3.3255813953488373,8.0,6.451612903225806,0.19729244769567347
coverage_rate_controlled,25,low,3,0.35,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\low\monitor_nodes_coverage_rate_N25_low_v3.json,ch5_coverage_rate_controlled_N25_low_v3_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_low_v3_normal20_rawres_loc0p5_s42.json,4,13,33,0.34,0.08,0.66,3.3255813953488373,8.0,6.451612903225806,0.19729244769567353
coverage_rate_controlled,25,mid,1,0.55,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\mid\monitor_nodes_coverage_rate_N25_mid_v1.json,ch5_coverage_rate_controlled_N25_mid_v1_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_mid_v1_normal20_rawres_loc0p5_s42.json,11,17,22,0.56,0.22,0.44,2.4791666666666665,9.0,7.092307692307692,0.1665599784830554
coverage_rate_controlled,25,mid,2,0.55,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\mid\monitor_nodes_coverage_rate_N25_mid_v2.json,ch5_coverage_rate_controlled_N25_mid_v2_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_mid_v2_normal20_rawres_loc0p5_s42.json,12,16,22,0.56,0.24,0.44,2.4791666666666665,9.0,7.255172413793104,0.16644594868732798
coverage_rate_controlled,25,mid,3,0.55,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\mid\monitor_nodes_coverage_rate_N25_mid_v3.json,ch5_coverage_rate_controlled_N25_mid_v3_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_mid_v3_normal20_rawres_loc0p5_s42.json,12,16,22,0.56,0.24,0.44,2.4375,9.0,7.143884892086331,0.16765484715125
coverage_rate_controlled,25,high,1,0.75,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\high\monitor_nodes_coverage_rate_N25_high_v1.json,ch5_coverage_rate_controlled_N25_high_v1_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_high_v1_normal20_rawres_loc0p5_s42.json,21,17,12,0.76,0.42,0.24,1.66,9.0,6.321428571428571,0.18162879778951208
coverage_rate_controlled,25,high,2,0.75,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\high\monitor_nodes_coverage_rate_N25_high_v2.json,ch5_coverage_rate_controlled_N25_high_v2_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_high_v2_normal20_rawres_loc0p5_s42.json,21,17,12,0.76,0.42,0.24,1.7,9.0,6.466165413533835,0.17721577712179218
coverage_rate_controlled,25,high,3,0.75,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\high\monitor_nodes_coverage_rate_N25_high_v3.json,ch5_coverage_rate_controlled_N25_high_v3_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_high_v3_normal20_rawres_loc0p5_s42.json,20,18,12,0.76,0.4,0.24,1.42,8.0,6.131386861313868,0.1853014078379042
coverage_rate_controlled,25,very_high,1,0.9,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\very_high\monitor_nodes_coverage_rate_N25_very_high_v1.json,ch5_coverage_rate_controlled_N25_very_high_v1_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_very_high_v1_normal20_rawres_loc0p5_s42.json,24,21,5,0.9,0.48,0.1,1.02,4.0,6.7407407407407405,0.16645958208458211
coverage_rate_controlled,25,very_high,2,0.9,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\very_high\monitor_nodes_coverage_rate_N25_very_high_v2.json,ch5_coverage_rate_controlled_N25_very_high_v2_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_very_high_v2_normal20_rawres_loc0p5_s42.json,25,20,5,0.9,0.5,0.1,1.04,5.0,6.577981651376147,0.16983565618886717
coverage_rate_controlled,25,very_high,3,0.9,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\coverage_rate_controlled\N25\very_high\monitor_nodes_coverage_rate_N25_very_high_v3.json,ch5_coverage_rate_controlled_N25_very_high_v3_normal20_rawres_loc0p5_s42,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_coverage_rate_controlled_N25_very_high_v3_normal20_rawres_loc0p5_s42.json,25,20,5,0.9,0.5,0.1,1.06,5.0,6.678899082568807,0.16760760900669155
