strategy,n,layout_file,direct,near,far,mean_hop,max_hop,overlap_count,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,signature_mean_nn,signature_min_nn,signature_p10_nn
betweenness,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N5.json,3,10,37,8.12,15.0,3,8.2,0.19158730158730158,0.4063333570957184,0.0,0.0
candidate_observability,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N5.json,3,20,27,5.38,15.0,3,11.9,0.03111111111111111,0.2603333294391632,0.0,0.0
degree,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N5.json,3,13,34,5.78,15.0,3,3.9,0.10277777777777777,0.5090000033378601,0.0,0.0
downstream,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\downstream\monitor_nodes_downstream_N5.json,1,4,45,7.22,15.0,1,2.0,0.2783333333333333,0.2160000056028366,0.0,0.0
identifiability_driven,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\identifiability_driven\monitor_nodes_identifiability_driven_N5.json,3,20,27,5.38,15.0,3,11.9,0.03111111111111111,0.2603333294391632,0.0,0.0
random,5,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\random\monitor_nodes_random_N5.json,2,8,40,10.04,15.0,2,15.0,0.03333333333333333,0.2160000056028366,0.0,0.0
betweenness,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\betweenness\monitor_nodes_betweenness_N10.json,5,12,33,7.38,15.0,5,8.444444444444445,0.16006172839506172,0.997666597366333,0.0,0.0
candidate_observability,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N10.json,6,30,14,2.36,9.0,6,12.488888888888889,0.008641975308641974,0.5323333144187927,0.0,0.0
degree,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N10.json,6,17,27,5.1,15.0,6,9.622222222222222,0.06710758377425044,1.0736666917800903,0.0,0.0
downstream,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\downstream\monitor_nodes_downstream_N10.json,4,4,42,6.46,15.0,4,6.911111111111111,0.23851851851851846,0.8673332929611206,0.0,0.0
identifiability_driven,10,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\identifiability_driven\monitor_nodes_identifiability_driven_N10.json,6,29,15,3.02,15.0,6,11.977777777777778,0.013668430335097003,0.6243333220481873,0.0,0.0
