layout,metrics_file,method,budget,overlap_count,strategy,n,layout_file,direct,near,far,mean_hop,max_hop,overlap_count_static,monitor_dispersion_mean_hop,monitor_redundancy_mean_jaccard,signature_mean_nn,signature_min_nn,signature_p10_nn,weight_preset,representative_pool_file,objective_total,objective_candidate_observability,objective_candidate_separability,objective_global_coverage,objective_key_structure,objective_redundancy_penalty,representative_pool_size,representative_pool_candidate_overlap,key_node_count,core_total,objective_reconstruction,reconstruction_norm_rmse,reconstruction_r2,objective_failure_robustness,robustness_case_count,anneal_steps,sensitivity_mean_selected,objective_noncandidate_backbone,objective_coverage_balance,objective_monitor_dispersion,objective_overlap_penalty,noncandidate_backbone_count,overlap_anchor_target,selected_overlap_count,overlap_cap,fixed_overlap_target,global_mean_hop,node_holdout_mrr,node_holdout_top1,node_holdout_top3,node_holdout_top5,node_holdout_active_period_recall,node_holdout_event_level_top1,node_holdout_event_level_top3,node_holdout_event_level_top5,scenario_mrr,scenario_top1,scenario_top3,scenario_top5,scenario_active_period_recall,scenario_event_level_top1,scenario_event_level_top3,scenario_event_level_top5
candidate_observability,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_candidate_observability_N25_s42.json,candidate_observability,25,15,candidate_observability,25.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\candidate_observability\monitor_nodes_candidate_observability_N25.json,15,34,1,0.94,3.0,15,12.526666666666667,0.0156283068783068,2.523666858673096,0.3333333432674408,0.8000000715255737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2936238245568333,0.0987189148455162,0.3873398643556895,0.5455915599095704,,0.1111111111111111,0.4,0.5333333333333333,0.909694677194887,0.8413068844807468,0.9801633605600932,0.9964994165694282,,0.9206349206349206,1.0,1.0
degree,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_firstcmp_degree_N25_s42.json,degree,25,12,degree,25.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\degree\monitor_nodes_degree_N25.json,12,21,17,3.48,15.0,12,9.78,0.0683955026455026,3.008333206176758,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365491135198884,0.1544837980406933,0.5048982667671439,0.7249434815373021,,0.1777777777777777,0.5222222222222223,0.7222222222222222,0.7932988883734028,0.6721120186697783,0.8926487747957993,0.9544924154025672,,0.7301587301587301,0.9365079365079364,0.984126984126984
identifiability_driven,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_iddrv25_s42.json,identifiability_driven,25,,identifiability_driven,25.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\identifiability_driven\monitor_nodes_identifiability_driven_N25.json,15,34,1,0.98,3.0,15,12.78,0.0193253968253968,2.624333143234253,0.5,0.8333333730697632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1755840985108652,0.0406932931424265,0.2117558402411454,0.3074604370761115,0.9035418236623964,0.0555555555555555,0.2333333333333333,0.3666666666666666,0.8655749460293226,0.7712952158693116,0.9579929988331388,0.9859976662777128,0.9568261376896148,0.8253968253968254,0.984126984126984,1.0
overlap_controlled_balanced,,overlap_controlled_balanced,25,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_probe_ocb_N25_s42.json,overlap_controlled_balanced,25.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_balanced\monitor_nodes_overlap_controlled_balanced_N25.json,12,37,1,1.04,3.0,12,6.417582417582418,0.1639593007724875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.188976377952756,0.2472972094215391,0.0828937452901281,0.2840994724943481,0.4604370761115298,,,,12.0,0.8866311104461777,0.79463243873979,0.9906651108518086,0.998833138856476,,,,12.0
overlap_controlled_candidate_focus,,overlap_controlled_candidate_focus,25,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_probe_occf_N25_s42.json,overlap_controlled_candidate_focus,25.0,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\overlap_controlled_candidate_focus\monitor_nodes_overlap_controlled_candidate_focus_N25.json,12,38,0,0.98,2.0,12,6.532608695652174,0.1605337597185423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.1984126984126984,0.2416112992488628,0.095704596834966,0.2449133383571967,0.4385832705350414,,,,12.0,0.8991257820274059,0.8284714119019837,0.9789964994165694,0.9883313885647608,,,,12.0
,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsbal25_s42.json,two_stage_balanced_layout_v1,25,18.0,two_stage_balanced_layout_v1,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v1\monitor_nodes_two_stage_balanced_layout_v1_N25.json,18,31,1,0.92,4.0,18,13.823333333333334,0.0061150793650793,2.7927401065826416,0.0156729258596897,0.0966190546751022,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\representative_pools\two_stage_balanced_layout_v1\representative_pool_two_stage_balanced_layout_v1_N25.json,0.6860054225099868,0.6924999952316284,0.7939189277955522,0.7056556344032288,0.7118279337882996,0.1963958101620276,35.0,20.0,19.0,,,,,,,,,,,,,,,,,,,0.2488862493362477,0.054257724189902,0.3165033911077619,0.4777694046721929,,,,,0.8848815990509759,0.8133022170361727,0.9521586931155192,0.9836639439906651,,,,
,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsbv25_s42.json,two_stage_balanced_layout_v2,25,,two_stage_balanced_layout_v2,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_balanced_layout_v2\monitor_nodes_two_stage_balanced_layout_v2_N25.json,15,29,6,1.56,15.0,15,13.063333333333333,0.0173703703703703,3.224699020385742,0.0831242576241493,0.248844638466835,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\representative_pools\two_stage_balanced_layout_v2\representative_pool_two_stage_balanced_layout_v2_N25.json,0.7575075002668517,0.6225000023841858,0.848256631251153,0.6215307116508484,0.676693856716156,0.2286876622835794,35.0,19.0,19.0,0.6281444411081184,0.8419410629434115,0.2285945735599911,0.9477445176985156,0.5880139052669692,13.0,120.0,0.1427921056747436,,,,,,,,,,,0.2842643480374567,0.0301431801055011,0.4747550866616428,0.6669178598342125,,,,,0.8751288466025122,0.7852975495915986,0.9673278879813302,0.9918319719953326,,,,
,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsgbalv3_N25_s42.json,two_stage_generalization_balanced_layout_v3,25,13.0,two_stage_generalization_balanced_layout_v3,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_generalization_balanced_layout_v3\monitor_nodes_two_stage_generalization_balanced_layout_v3_N25.json,13,29,8,1.68,15.0,13,13.4,0.0254404761904761,2.7125165462493896,0.1042319014668464,0.1648214757442474,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\representative_pools\two_stage_generalization_balanced_layout_v3\representative_pool_two_stage_generalization_balanced_layout_v3_N25.json,0.7879309721193584,0.6050000190734863,0.791132200310035,0.682489812374115,0.8267519474029541,0.2725996641765038,37.0,21.0,19.0,0.705787317245564,0.754261244990104,0.3348257385001795,0.8878917202255294,0.6845304572816201,13.0,180.0,0.1703216582536697,0.8453526496887207,0.7596473693847656,1.0,0.04,23.0,12.0,13.0,,,,0.1972179087363155,0.0,0.3021853805576488,0.4287867370007536,,,,,0.845105207752319,0.721120186697783,0.970828471411902,0.9894982497082848,,,,
,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsgbalv31_N25_s42.json,two_stage_generalization_balanced_layout_v3_1,25,14.0,two_stage_generalization_balanced_layout_v3_1,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_generalization_balanced_layout_v3_1\monitor_nodes_two_stage_generalization_balanced_layout_v3_1_N25.json,14,30,6,1.36,15.0,14,13.656666666666666,0.0211693121693121,2.8010001182556152,0.1064440160989761,0.1700039952993393,v3_1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\representative_pools\two_stage_generalization_balanced_layout_v3_1\representative_pool_two_stage_generalization_balanced_layout_v3_1_N25.json,0.7041566512292391,0.6299999952316284,0.8015170075593254,0.6869652271270752,0.8108679056167603,0.271468492463231,37.0,21.0,19.0,0.6421764282153843,0.7503179601273141,0.3393599570473999,0.8848348358893852,0.6198022301385475,13.0,180.0,0.1599015891551971,0.8437314629554749,0.7862685322761536,1.0,0.08,23.0,12.0,14.0,14.0,,,0.2446308897803983,0.0452147701582517,0.3187641296156744,0.5146948003014318,,,,,0.8284792164938314,0.7106184364060677,0.9323220536756126,0.9778296382730456,,,,
,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_tsgbalv31a_N25_s42.json,two_stage_generalization_balanced_layout_v3_1a,25,13.0,two_stage_generalization_balanced_layout_v3_1a,,E:\11.16\script2_new\chapter5_layout_optimization\outputs\layouts\two_stage_generalization_balanced_layout_v3_1a\monitor_nodes_two_stage_generalization_balanced_layout_v3_1a_N25.json,13,31,6,1.38,15.0,13,13.596666666666666,0.0212738095238095,2.8142457008361816,0.1063802167773246,0.169948548078537,v3_1,E:\11.16\script2_new\chapter5_layout_optimization\outputs\representative_pools\two_stage_generalization_balanced_layout_v3_1a\representative_pool_two_stage_generalization_balanced_layout_v3_1a_N25.json,0.7003436426063242,0.6225000023841858,0.8029527994210134,0.6836288571357727,0.8267519474029541,0.2726523341834544,37.0,21.0,19.0,0.6384891627741652,0.7029265074418035,0.3924463865368078,0.8459858484097205,0.6185447983215897,13.0,180.0,0.1618745625019073,0.8335040211677551,0.7889959812164307,1.0,0.04,23.0,12.0,13.0,13.0,,,0.2045267831994545,0.0316503391107761,0.2720422004521477,0.3707611152976639,,,,,0.8584087814444561,0.7561260210035006,0.969661610268378,0.9859976662777128,,,,
