node,candidate_flag,in_degree,out_degree,total_degree,betweenness,closeness,downstream_reach,min_hop_to_candidate,mean_hop_to_candidate,within2_count,response_mean,response_std,response_max,sensitivity,target_score,pred_score
HS1313487,0.0,2.0,1.0,3.0,0.031371078615173104,0.11858076563958916,2.0,1.0,13.479999542236328,1.0,0.15294146537780762,0.5236914753913879,4.395477294921875,0.07558520883321762,0.90291286,0.8685
HS1316835,0.0,1.0,1.0,2.0,0.015748031496062992,0.08300653594771241,1.0,1.0,14.359999656677246,1.0,0.002695685951039195,0.014875529333949089,0.15058404207229614,0.02612995356321335,0.9024665,0.8401841
HS1316676,0.0,2.0,1.0,3.0,0.01887264091988501,0.08981612446958982,2.0,1.0,13.859999656677246,3.0,0.14377255737781525,0.6791683435440063,5.721395015716553,0.04435989260673523,0.7997724,0.8138471
HS1316721,1.0,2.0,1.0,3.0,0.056659584218639335,0.10418375717801477,9.0,0.0,14.039999961853027,2.0,0.08708733320236206,0.5762181282043457,5.727453231811523,0.01786864548921585,0.80537933,0.8083297
HS1313044,0.0,2.0,2.0,4.0,0.1496062992125984,0.11737523105360444,8.0,1.0,11.34000015258789,4.0,0.08264707773923874,0.7588451504707336,7.626806735992432,0.2597871720790863,0.79569554,0.79809695
HS1313640,0.0,2.0,1.0,3.0,0.031371078615173104,0.09556057185854025,2.0,1.0,13.539999961853027,1.0,0.0038196484092622995,0.024503016844391823,0.24707938730716705,0.09875081479549408,0.7903211,0.7518955
HS1316585,1.0,2.0,1.0,3.0,0.07411573553305836,0.09687261632341723,8.0,0.0,13.0,5.0,0.0032683778554201126,0.020215339958667755,0.20431940257549286,1.0,0.6981622,0.6922646
HS1313025,1.0,2.0,1.0,3.0,0.07674040744906886,0.10601001669449082,5.0,0.0,11.539999961853027,5.0,0.004622971639037132,0.023909326642751694,0.19403381645679474,0.3430389165878296,0.71491086,0.6578739
HS1306601,1.0,2.0,2.0,4.0,0.3928675582218888,0.16821192052980133,24.0,0.0,10.899999618530273,6.0,0.1674090176820755,0.4994777739048004,3.0350680351257324,0.1406211256980896,0.6133006,0.62134945
HS1313402,1.0,2.0,2.0,4.0,0.28221472315960533,0.16558018252933507,39.0,0.0,10.800000190734863,4.0,0.007555502466857433,0.03978971019387245,0.35280221700668335,0.33542799949645996,0.6133006,0.6079912
HS2003013,0.0,2.0,2.0,4.0,0.09786276715410572,0.1543134872417983,52.0,1.0,10.220000267028809,5.0,0.03570522367954254,0.18544034659862518,1.6765270233154297,0.3256227970123291,0.5929198,0.60173154
MH0242303,0.0,1.0,1.0,2.0,0.015748031496062992,0.11555959963603275,1.0,1.0,14.479999542236328,1.0,0.3063760995864868,0.9134279489517212,5.923702716827393,0.011026281863451004,0.5922589,0.5897719
HS1316563,1.0,3.0,1.0,4.0,0.2033079198433528,0.11672794117647059,21.0,0.0,12.739999771118164,2.0,0.0031933505088090897,0.019261658191680908,0.19474783539772034,0.3546322286128998,0.586927,0.58863616
MH0242782,1.0,1.0,1.0,2.0,0.015748031496062992,0.08156711624919717,1.0,0.0,13.5600004196167,4.0,0.15387965738773346,0.7084847688674927,5.143346786499023,0.14322546124458313,0.5944454,0.57017046
MH0201597,0.0,2.0,1.0,3.0,0.07674040744906886,0.120837297811608,5.0,1.0,13.65999984741211,4.0,0.003473410615697503,0.02235129475593567,0.22578679025173187,0.01217888854444027,0.5918552,0.5654403
HS1316202,1.0,2.0,1.0,3.0,0.05168103987001625,0.13215400624349635,60.0,0.0,11.979999542236328,2.0,0.01725856028497219,0.13324908912181854,1.3256773948669434,0.2762988209724426,0.6013781,0.5375338
HS1316302,0.0,2.0,1.0,3.0,0.031371078615173104,0.11858076563958916,2.0,1.0,14.079999923706055,1.0,0.5229253768920898,0.9216610193252563,7.263603687286377,0.01703346148133278,0.5145121,0.5355144
HS1313959,0.0,2.0,1.0,3.0,0.031371078615173104,0.10663308144416457,2.0,1.0,14.140000343322754,1.0,0.0012304999399930239,0.0005976182292215526,0.002087034285068512,0.054811351001262665,0.5052319,0.5349375
HS1313835,1.0,2.0,2.0,4.0,0.3221888930550348,0.16261203585147246,47.0,0.0,11.4399995803833,4.0,0.0012040779693052173,0.0005845703999511898,0.0020432807505130768,0.2776184678077698,0.51060647,0.52935123
HS1313298,1.0,2.0,1.0,3.0,0.04674415698037745,0.11441441441441441,3.0,0.0,12.34000015258789,2.0,0.0012611758429557085,0.0006123690400272608,0.0021386374719440937,0.16478048264980316,0.6133006,0.52728593
HS1308324,0.0,3.0,1.0,4.0,0.17095779694204896,0.14906103286384975,96.0,1.0,8.619999885559082,3.0,0.11560343950986862,0.2359873503446579,1.1640031337738037,0.4874633848667145,0.5162135,0.5249199
HS1313253,1.0,2.0,1.0,3.0,0.031371078615173104,0.1145175834084761,2.0,0.0,12.760000228881836,2.0,0.10564006119966507,0.39967286586761475,2.50679874420166,0.16830916702747345,0.48423284,0.5230647
HS1314477,1.0,2.0,1.0,3.0,0.03893263342082239,0.13215400624349635,110.0,0.0,8.520000457763672,4.0,0.030075151473283768,0.16301429271697998,1.5586453676223755,0.4996681213378906,0.51468325,0.52203834
HS1311288,1.0,0.0,1.0,1.0,0.0,0.08099489795918367,0.0,0.0,12.65999984741211,2.0,0.39752182364463806,0.8454568982124329,5.972277641296387,0.09132421016693115,0.4893936,0.50832707
HS1318293,0.0,2.0,2.0,4.0,0.2512185976752906,0.14564220183486237,15.0,1.0,10.819999694824219,5.0,0.014663279056549072,0.09177903085947037,0.8875272274017334,0.3104792833328247,0.48423284,0.5007552
HS1316417,1.0,0.0,1.0,1.0,0.0,0.14002205071664828,0.0,0.0,13.760000228881836,2.0,0.297688364982605,0.9079540371894836,6.878556251525879,0.02615765854716301,0.4893936,0.49990574
HS2003111,1.0,3.0,0.0,3.0,0.06186726659167603,0.09702062643239114,5.0,0.0,14.15999984741211,3.0,0.0014384114183485508,0.0013007636880502105,0.00928717665374279,0.004495144821703434,0.51576716,0.49896276
HS1316415,1.0,0.0,1.0,1.0,0.0,0.10487200660611065,0.0,0.0,14.260000228881836,2.0,0.174745574593544,0.9115574955940247,8.919591903686523,0.015005342662334442,0.4893936,0.4982502
HS1316267,0.0,2.0,2.0,4.0,0.27604882722992957,0.13382507903055849,7.0,2.0,13.800000190734863,3.0,0.4851490259170532,0.9886119365692139,7.72607946395874,0.02805843949317932,0.48548788,0.49236774
VP0232532,1.0,1.0,1.0,2.0,0.015748031496062992,0.08962597035991532,1.0,0.0,13.9399995803833,3.0,0.07104070484638214,0.5143572092056274,5.002688407897949,0.002181391464546323,0.4893936,0.48776898
HS1306904,1.0,2.0,2.0,4.0,0.49541723951172745,0.17712691771269176,44.0,0.0,10.5,6.0,0.0014278269372880459,0.0006935216952115297,0.0024198396131396294,0.2826355993747711,0.48423284,0.4760609
MH0201710,1.0,1.0,1.0,2.0,0.04649418822647169,0.10845431255337319,3.0,0.0,13.899999618530273,4.0,0.6550607085227966,1.0487871170043945,6.230504512786865,0.00014235971320886165,0.41307297,0.42834345
HS1311284,0.0,1.0,1.0,2.0,0.015748031496062992,0.08807212205270458,1.0,1.0,12.359999656677246,3.0,0.12899214029312134,0.25796186923980713,1.3155828714370728,0.14683707058429718,0.41307297,0.40863708
HS1330842,1.0,0.0,2.0,2.0,0.015748031496062992,0.10592160133444536,0.0,0.0,14.020000457763672,1.0,0.002829530043527484,0.01596848852932453,0.161603644490242,0.054460491985082626,0.4107153,0.40745258
HS1308259,1.0,1.0,1.0,2.0,0.015748031496062992,0.13012295081967212,1.0,0.0,14.4399995803833,2.0,0.2563712000846863,0.8082918524742126,6.347691059112549,0.01133988332003355,0.38669938,0.4064561
MH0100292,0.0,3.0,1.0,4.0,0.16372953380827396,0.13052415210688592,11.0,1.0,12.880000114440918,2.0,0.03707633912563324,0.321696400642395,3.232861280441284,0.11976794898509979,0.38262257,0.38558158
HS1313794,0.0,2.0,1.0,3.0,0.11113194184060332,0.15282791817087846,45.0,1.0,11.5,3.0,0.0034676718059927225,0.02245492674410343,0.22681459784507751,0.28032562136650085,0.38262257,0.37853315
HS1311339,1.0,1.0,1.0,2.0,0.015748031496062992,0.0948469006721434,1.0,0.0,13.520000457763672,1.0,0.0013361579040065408,0.0019386279163882136,0.019807301461696625,0.09975679218769073,0.30785003,0.32321745
HS2003046,1.0,2.0,1.0,3.0,0.15691788526434194,0.14819136522753792,29.0,0.0,11.199999809265137,4.0,0.001359754242002964,0.0006606696988455951,0.0023089947644621134,0.27699026465415955,0.28508914,0.30220193
HS2003085,1.0,0.0,2.0,2.0,0.07624046994125734,0.10663308144416457,0.0,0.0,13.739999771118164,2.0,0.08376849442720413,0.2526664733886719,1.5128486156463623,0.06512165069580078,0.29310137,0.29035997
HS1313597,1.0,3.0,1.0,4.0,0.04686914135733033,0.13354363827549948,3.0,0.0,13.84000015258789,2.0,0.0011941335396841168,0.000579938932787627,0.0020292147528380156,0.05332297831773758,0.20022763,0.2337672
HS1313205,1.0,2.0,2.0,4.0,0.13071282756322122,0.14648212226066898,20.0,0.0,10.899999618530273,5.0,0.0066511561162769794,0.03270881995558739,0.24564914405345917,0.3058907687664032,0.19462064,0.2060511
HS1311887,0.0,1.0,1.0,2.0,0.03124609423822022,0.10452674897119342,2.0,1.0,13.380000114440918,1.0,0.0017948300810530782,0.006063001696020365,0.06184731423854828,0.09904218465089798,0.20791711,0.19802928
HS2003015,1.0,1.0,1.0,2.0,0.011144440278298544,0.1372972972972973,31.0,0.0,11.680000305175781,2.0,0.02367190085351467,0.10588708519935608,0.8739311695098877,0.5737618803977966,0.20430443,0.19774428
YS2003067,0.0,2.0,1.0,3.0,0.12048493938257716,0.11813953488372093,2.0,1.0,13.680000305175781,3.0,0.0017725967336446047,0.005642621777951717,0.05758501961827278,0.06470292806625366,0.10505184,0.16956897
HS1313001,1.0,2.0,1.0,3.0,0.04674415698037745,0.09635811836115327,3.0,0.0,11.779999732971191,4.0,0.0011830904986709356,0.0005744376685470343,0.0020036958158016205,0.60384601354599,0.09753347,0.16919345
HS1316643,1.0,2.0,1.0,3.0,0.017497812773403322,0.08943661971830986,4.0,0.0,13.800000190734863,3.0,0.0029713460244238377,0.01477664802223444,0.1487630158662796,0.08962514996528625,0.10269418,0.16783112
HS1314505,1.0,2.0,1.0,3.0,0.04449443819522559,0.13025641025641024,56.0,0.0,11.020000457763672,2.0,0.005481179337948561,0.029901700094342232,0.24683961272239685,0.3710656762123108,0.0,0.15140885
HS1306471,1.0,0.0,1.0,1.0,0.0,0.08645336963921035,0.0,0.0,14.300000190734863,2.0,0.15540587902069092,0.6491255760192871,6.017915725708008,0.011604967527091503,0.097087175,0.12796763
HS1306571,1.0,2.0,1.0,3.0,0.2647169103862017,0.15468940316686966,17.0,0.0,11.34000015258789,6.0,0.03489826247096062,0.14699138700962067,1.2015737295150757,0.24004460871219635,0.09753347,0.119797125
HS1313925,1.0,0.0,1.0,1.0,0.0,0.09643128321943811,0.0,0.0,14.180000305175781,1.0,0.10601594299077988,0.31449517607688904,2.200573682785034,0.0568217970430851,0.10806869,0.11877332
HS1313391,0.0,2.0,1.0,3.0,0.14141982252218457,0.15319662243667068,25.0,1.0,11.399999618530273,3.0,0.08554774522781372,0.8106045126914978,8.14761734008789,0.2569449543952942,0.09753347,0.11713307
HS1344263,1.0,1.0,1.0,2.0,0.03124609423822022,0.08862526168876483,2.0,0.0,13.520000457763672,4.0,0.1470954865217209,0.6199914216995239,4.167452812194824,0.12674297392368317,0.0,0.10584312
HS1308301,0.0,2.0,1.0,3.0,0.385201849768779,0.17208672086720866,53.0,1.0,10.279999732971191,6.0,0.42501214146614075,1.020877718925476,6.309535503387451,0.07348517328500748,0.09753347,0.09742582
HS1316467,0.0,2.0,2.0,4.0,0.09919593384160316,0.10681244743481917,2.0,1.0,14.300000190734863,2.0,0.0026141232810914516,0.014287896454334259,0.14466243982315063,0.05059121549129486,0.09753347,0.09507863
