experiment,method,budget,diagnosis_seed,source,metrics_file,status
embedding_source_ablation,Topology-Diversity,25,42,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_embedding_source_topology_diversity_N25_normal20_rawres_loc0p5_s42.json,ok
embedding_source_ablation,Coordinate-Diversity,25,42,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_embedding_source_coordinate_diversity_N25_normal20_rawres_loc0p5_s42.json,ok
low_budget_confirmation,Degree,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s7.json,ok
low_budget_confirmation,Degree,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s123.json,ok
low_budget_confirmation,Two-stage v1,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s7.json,ok
low_budget_confirmation,Two-stage v1,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s123.json,ok
low_budget_confirmation,Embedding-Guided,5,7,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s7.json,ok
low_budget_confirmation,Embedding-Guided,5,123,new_targeted_run,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s123.json,ok
embedding_source_ablation,Embedding-Guided,25,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N25_normal20_rawres_loc0p5_s42.json,ok
low_budget_confirmation,Degree,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_48h_control_ie420_normal20_raw_plus_residual_loc0p5_degree_N5_s42.json,ok
low_budget_confirmation,Two-stage v1,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_two_stage_balanced_layout_v1_N5_normal20_rawres_loc0p5_s42.json,ok
low_budget_confirmation,Embedding-Guided,5,42,existing_formal_result,E:\11.16\script2_new\outputs\reports\last_run_metrics_ch5_fixed_embedding_guided_clean_new_N5_normal20_rawres_loc0p5_s42.json,ok
