defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1306571,,40,6,24,43.0303,255.6,15.24,5.23,107.5758
2,I,HS1306554,,50,19,24,16.6903,165.76,14.4,5.64,33.3805
3,I,MH0200661,,50,14,18,1.7404,159.16,13.42,3.95,3.4808
4,I,HS1306571,,30,10,18,32.2727,123.36,11.72,2.59,107.5758
5,I,MH0200661,,40,7,18,1.3923,232.29,16.2,2.29,3.4808
6,I,HS1313298,,50,20,6,16.0129,182.68,15.69,7.45,32.0259
7,I,MH0201629,,30,6,24,2.0957,191.14,12.98,2.19,6.9856
8,I,HS1313618,,40,18,18,1.6456,130.59,18.96,4.27,4.114
9,I,HS1316721,,30,22,18,4.9906,137.48,14.23,2.88,16.6354
10,I,HS1324403,,30,10,6,18.7997,154.68,12.72,2.79,62.6657
11,I,HS1306471,,40,10,18,0.8566,279.57,9.66,3.97,2.1414
12,I,HS1313205,,30,23,6,18.8056,185.05,9.8,1.69,62.6852
13,I,HS1313001,,50,20,12,3.5263,200.28,18.3,7.21,7.0525
14,I,HS1306904,,50,3,18,95.6227,303.72,15.1,3.97,191.2455
15,I,HS1313298,,40,7,12,12.8103,275.5,17.14,4.03,32.0259
16,I,HS1316585,,50,23,6,12.5891,271.79,12.29,6.31,25.1783
17,I,VP0232532,,50,2,24,0.722,247.72,11.68,4.31,1.444
18,I,HS1316415,,30,21,18,1.7035,195.36,14.52,1.76,5.6785
19,I,HS1344261,,30,20,6,0.7597,181.9,7.16,2.93,2.5324
20,I,MH0201629,,30,1,24,2.0957,194.69,9.81,2.14,6.9856
21,I,VP0232532,,50,23,24,0.722,292.59,15.98,5.86,1.444
22,I,MH0200661,,40,11,12,1.3923,139.36,10.7,3.35,3.4808
23,I,HS1306471,,50,5,6,1.0707,194.04,11.06,5.66,2.1414
24,I,HS1313471,,30,1,24,1.522,98.5,8.14,3.51,5.0733
25,I,HS1313253,,50,20,18,3.3709,265.24,13.64,4.86,6.7419
26,I,HS2003015,,30,0,18,22.2536,169.08,9.19,2.73,74.1787
27,I,HS1313205,,50,11,12,31.3426,162.12,20.92,6.5,62.6852
28,I,HS1316585,,30,21,24,7.5535,154.35,7.26,2.05,25.1783
29,I,HS1306554,,30,11,6,10.0142,186.96,13.7,1.79,33.3805
30,I,VP0232532,,30,16,18,0.4332,109.96,10.37,2.14,1.444
31,I,HS1311473,,30,9,24,0.555,90.26,9.51,4.28,1.85
32,I,HS1306554,,40,15,24,13.3522,225.9,13.84,2.76,33.3805
33,I,HS1313253,,30,14,12,2.0226,97.31,8.82,1.65,6.7419
34,I,HS1308259,,50,14,18,6.1481,161.38,17.62,6.76,12.2961
35,I,HS1316202,,50,18,18,37.9266,230.76,24.12,5.35,75.8532
36,I,HS1306471,,50,11,6,1.0707,233.84,18.76,5.11,2.1414
37,I,HS1324403,,30,22,18,18.7997,118.64,9.56,3.52,62.6657
38,I,HS1316415,,40,19,6,2.2714,121.49,15.45,4.25,5.6785
39,I,HS1316585,,30,2,18,7.5535,150.71,7.19,2.55,25.1783
40,I,HS1316202,,30,4,12,22.756,108.93,13.5,3.61,75.8532
41,E,MH0200661,VP0232532.1,50,18,18,-0.7008,0.0,0.0,0.0,1.4016
42,E,HS1313597,link_11,50,6,6,-0.9972,0.0,0.0,0.0,1.9944
43,E,HS2003111,38,30,20,6,8.9064,0.0,0.0,0.0,-29.6879
44,E,HS2003111,38,30,8,12,8.9064,0.0,0.0,0.0,-29.6879
45,E,HS1313298,HS1313343.1,40,6,18,-4.1772,0.0,0.0,0.0,10.4429
46,E,HS1324403,14,40,17,18,-23.5511,0.0,0.0,0.0,58.8778
47,E,HS2003111,HS2003125.1,40,3,12,-0.6652,0.0,0.0,0.0,1.6629
48,E,HS1313025,HS1313026.1,50,13,18,-7.5778,0.0,0.0,0.0,15.1556
49,E,HS2003046,HS1306601.1,30,17,18,-9.9768,0.0,0.0,0.0,33.256
50,E,HS1314477,1,40,8,6,-7.3199,0.0,0.0,0.0,18.2997
51,E,MH0201629,MH0201597.1,50,20,18,3.4891,0.0,0.0,0.0,-6.9782
52,E,HS1306571,HS1306554.2,30,1,18,-10.0048,0.0,0.0,0.0,33.3493
53,E,HS1313402,MH0101924.1,30,19,12,-10.4571,0.0,0.0,0.0,34.8571
54,E,HS1344263,MH0242782.1,50,14,12,-4.4442,0.0,0.0,0.0,8.8884
55,E,HS1306601,HS1313220.1,30,6,24,-9.6519,0.0,0.0,0.0,32.1729
56,E,HS1313001,22,30,11,6,-0.3927,0.0,0.0,0.0,1.3089
57,E,HS1316563,10,30,7,18,-0.0,0.0,0.0,0.0,0.0
58,E,HS1316643,HS1316671.1,50,14,18,-4.4392,0.0,0.0,0.0,8.8784
59,E,HS2003111,HS1314268.1,30,2,24,-8.4175,0.0,0.0,0.0,28.0583
60,E,HS2003111,38,40,13,18,11.8751,0.0,0.0,0.0,-29.6879
61,E,VP0232532,18,40,16,6,-0.5762,0.0,0.0,0.0,1.4405
62,E,HS1313253,24,50,3,24,-3.3329,0.0,0.0,0.0,6.6658
63,E,HS1316202,HS1316177.1,30,17,6,-20.7305,0.0,0.0,0.0,69.1016
64,E,HS1308259,HS1316726.1,30,7,24,-3.3529,0.0,0.0,0.0,11.1764
65,E,HS1313597,HS1313613.1,40,3,24,-1.1534,0.0,0.0,0.0,2.8834
66,E,MH0201710,25,30,1,12,-1.0347,0.0,0.0,0.0,3.4491
67,E,HS1313597,link_11,30,5,6,-0.5983,0.0,0.0,0.0,1.9944
68,E,HS1316202,HS1316177.1,30,21,18,-20.7305,0.0,0.0,0.0,69.1016
69,E,HS1316643,HS1316671.1,50,9,18,-4.4392,0.0,0.0,0.0,8.8784
70,E,HS1316563,10,50,3,6,-0.0,0.0,0.0,0.0,0.0
