defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1313835,,40,6,18,27.2706,255.6,15.24,5.23,68.1766
2,I,HS1313025,,50,19,24,11.1002,165.76,14.4,5.64,22.2003
3,I,HS1313597,,50,14,6,2.7585,159.16,13.42,3.95,5.517
4,I,HS1313835,,30,10,6,20.453,123.36,11.72,2.59,68.1766
5,I,HS1313597,,40,7,24,2.2068,232.29,16.2,2.29,5.517
6,I,HS1311288,,50,20,6,0.1798,182.68,15.69,7.45,0.3597
7,I,MH0201629,,30,6,24,2.0957,191.14,12.98,2.19,6.9856
8,I,HS1313001,,40,18,6,2.821,130.59,18.96,4.27,7.0525
9,I,HS1316417,,30,22,12,2.8737,137.48,14.23,2.88,9.5789
10,I,MH0101924,,30,10,6,10.4615,154.68,12.72,2.79,34.8718
11,I,HS1306601,,40,10,24,57.5998,279.57,9.66,3.97,143.9995
12,I,HS1308302,,30,23,24,8.3961,185.05,9.8,1.69,27.9871
13,I,HS1316721,,50,20,24,8.3177,200.28,18.3,7.21,16.6354
14,I,HS1316643,,50,3,24,5.5414,303.72,15.1,3.97,11.0827
15,I,HS1311288,,40,7,24,0.1439,275.5,17.14,4.03,0.3597
16,I,HS1313471,,50,23,18,2.5367,271.79,12.29,6.31,5.0733
17,I,HS1316814,,50,2,18,1.7463,247.72,11.68,4.31,3.4925
18,I,HS1311473,,30,21,6,0.555,195.36,14.52,1.76,1.85
19,I,HS1314477,,30,20,24,68.1445,181.9,7.16,2.93,227.1484
20,I,MH0201629,,30,1,6,2.0957,194.69,9.81,2.14,6.9856
21,I,HS1316814,,50,23,24,1.7463,292.59,15.98,5.86,3.4925
22,I,HS1313597,,40,11,24,2.2068,139.36,10.7,3.35,5.517
23,I,HS1306601,,50,5,18,71.9998,194.04,11.06,5.66,143.9995
24,I,HS1313402,,30,1,18,30.8626,98.5,8.14,3.51,102.8754
25,I,HS1344902,,50,20,12,2.4435,265.24,13.64,4.86,4.887
26,I,HS1313253,,30,0,18,2.0226,169.08,9.19,2.73,6.7419
27,I,HS1308302,,50,11,12,13.9935,162.12,20.92,6.5,27.9871
28,I,HS1313471,,30,21,12,1.522,154.35,7.26,2.05,5.0733
29,I,HS1313025,,30,11,12,6.6601,186.96,13.7,1.79,22.2003
30,I,HS1316814,,30,16,12,1.0478,109.96,10.37,2.14,3.4925
31,I,HS1311339,,30,9,12,1.8011,90.26,9.51,4.28,6.0037
32,I,HS1313025,,40,15,6,8.8801,225.9,13.84,2.76,22.2003
33,I,HS1344902,,30,14,18,1.4661,97.31,8.82,1.65,4.887
34,I,HS1316415,,50,14,12,2.8392,161.38,17.62,6.76,5.6785
35,I,HS2003046,,50,18,24,37.0986,230.76,24.12,5.35,74.1972
36,I,HS1306601,,50,11,18,71.9998,233.84,18.76,5.11,143.9995
37,I,MH0101924,,30,22,18,10.4615,118.64,9.56,3.52,34.8718
38,I,HS1311473,,40,19,12,0.74,121.49,15.45,4.25,1.85
39,I,HS1313471,,30,2,6,1.522,150.71,7.19,2.55,5.0733
40,I,HS2003046,,30,4,12,22.2592,108.93,13.5,3.61,74.1972
41,I,VP0232532,,50,18,6,0.722,283.57,18.32,7.16,1.444
42,I,HS1313471,,30,6,24,1.522,196.77,12.68,1.97,5.0733
43,I,HS1316563,,50,20,18,23.2201,190.72,19.51,3.82,46.4402
44,I,HS1314477,,40,8,24,90.8594,134.77,13.08,3.11,227.1484
45,I,HS1306554,,40,6,6,13.3522,221.94,11.14,4.96,33.3805
46,I,MH0201629,,50,17,6,3.4928,151.93,11.13,6.92,6.9856
47,I,MH0258475,,50,3,24,1.3876,266.5,12.22,3.14,2.7753
48,I,HS1311473,,40,13,6,0.74,263.83,10.52,3.0,1.85
49,I,HS1313471,,40,17,24,2.0293,261.46,12.88,4.48,5.0733
50,I,MH0258475,,30,8,18,0.8326,195.77,6.22,3.71,2.7753
51,I,HS1316202,,40,20,24,30.3413,162.69,17.45,2.43,75.8532
52,I,HS1313001,,40,1,18,2.821,250.65,13.52,3.22,7.0525
53,I,HS1313402,,30,19,24,30.8626,137.82,8.51,1.71,102.8754
54,I,HS1313205,,40,14,6,25.0741,183.95,19.77,4.14,62.6852
55,I,MH0242782,,30,6,24,2.6657,159.67,14.85,1.61,8.8856
56,I,HS1313925,,40,11,6,0.8005,189.82,19.81,2.46,2.0012
57,I,HS1344263,,30,7,24,4.2302,175.05,6.02,4.28,14.1007
58,I,HS1316814,,50,14,24,1.7463,222.84,11.05,5.82,3.4925
59,I,HS1316202,,50,2,12,37.9266,293.95,14.5,4.05,75.8532
60,I,HS1313253,,40,13,6,2.6967,208.71,10.3,4.66,6.7419
61,I,HS1316721,,50,16,12,8.3177,273.1,14.51,5.24,16.6354
62,I,HS1306554,,40,3,6,13.3522,188.78,14.96,4.62,33.3805
63,I,HS1313025,,40,17,12,8.8801,201.79,17.52,5.84,22.2003
64,I,HS1311288,,50,7,18,0.1798,253.09,19.49,4.18,0.3597
65,I,HS1306571,,50,3,24,53.7879,311.31,12.21,2.73,107.5758
66,I,HS1316415,,50,1,6,2.8392,241.08,23.29,5.38,5.6785
67,I,HS1316721,,40,5,6,6.6542,143.61,16.25,5.57,16.6354
68,I,HS1313471,,40,21,24,2.0293,248.66,16.35,3.86,5.0733
69,I,MH0201629,,30,9,6,2.0957,144.78,13.21,3.5,6.9856
70,I,MH0201629,,50,3,6,3.4928,272.53,20.79,5.02,6.9856
71,I,MH0201629,,40,21,12,2.7942,192.01,17.02,5.36,6.9856
72,I,HS1313205,,50,17,6,31.3426,204.92,11.16,3.93,62.6852
73,I,HS1313205,,40,11,18,25.0741,132.89,9.81,3.53,62.6852
74,I,MH0258475,,50,1,18,1.3876,232.97,14.96,4.83,2.7753
75,I,HS1308302,,30,9,24,8.3961,136.74,12.93,4.34,27.9871
76,I,MH0242782,,50,3,6,4.4428,151.18,15.28,6.27,8.8856
77,I,HS1313253,,50,13,24,3.3709,309.97,23.47,4.94,6.7419
78,I,HS1313205,,40,15,18,25.0741,182.22,16.03,5.19,62.6852
79,I,HS1311288,,40,14,6,0.1439,124.31,12.73,4.26,0.3597
80,I,MH0242782,,30,7,6,2.6657,106.28,10.16,1.65,8.8856
81,I,HS1316721,,40,13,24,6.6542,172.3,17.13,3.52,16.6354
82,I,HS1313253,,40,22,18,2.6967,195.25,16.99,2.21,6.7419
83,I,HS1324403,,30,7,6,18.7997,183.75,11.87,3.76,62.6657
84,I,HS1306571,,30,20,24,32.2727,164.56,8.15,2.92,107.5758
85,I,HS1316643,,50,15,18,5.5414,289.89,21.5,3.34,11.0827
86,I,HS1313925,,50,12,24,1.0006,305.56,12.46,4.06,2.0012
87,I,HS1306601,,30,17,12,43.1999,171.28,14.62,2.69,143.9995
88,I,HS1306904,,30,14,6,57.3736,102.23,12.95,4.05,191.2455
89,I,HS1313925,,30,20,12,0.6004,183.92,9.12,2.79,2.0012
90,I,HS1313597,,30,23,18,1.6551,91.52,9.78,2.97,5.517
91,I,HS2003111,,40,12,12,11.8885,233.17,13.23,4.94,29.7212
92,I,HS1313205,,50,8,12,31.3426,304.93,16.97,6.63,62.6852
93,I,HS1306601,,40,14,18,57.5998,252.92,9.04,5.53,143.9995
94,I,HS1306571,,40,12,24,43.0303,173.82,13.93,3.3,107.5758
95,I,HS1314477,,30,0,12,68.1445,130.84,13.92,3.6,227.1484
96,I,HS1313205,,50,6,24,31.3426,339.61,11.28,6.1,62.6852
97,I,HS1314477,,50,8,12,113.5742,288.12,19.69,4.95,227.1484
98,I,MH0242782,,30,23,24,2.6657,138.53,8.19,3.49,8.8856
99,I,HS1313597,,40,0,18,2.2068,175.0,19.96,4.2,5.517
100,I,HS1324403,,50,11,12,31.3328,211.32,13.46,6.11,62.6657
101,I,HS1316417,,30,7,18,2.8737,204.11,12.21,2.07,9.5789
102,I,HS1316415,,40,23,12,2.2714,276.26,14.3,3.13,5.6785
103,I,HS1313471,,30,10,18,1.522,133.31,8.72,3.62,5.0733
104,I,HS2003085,,40,18,18,12.5572,208.54,16.37,2.51,31.3929
105,I,HS1314477,,30,16,12,68.1445,124.12,10.31,2.52,227.1484
106,I,HS1308302,,40,7,12,11.1948,251.54,12.81,2.3,27.9871
107,I,HS1308302,,30,2,12,8.3961,203.9,6.77,2.24,27.9871
108,I,MH0201629,,40,2,6,2.7942,244.11,12.56,5.63,6.9856
109,I,HS1311473,,50,0,24,0.925,263.73,10.9,7.3,1.85
110,I,HS1313471,,30,4,6,1.522,121.76,6.73,2.22,5.0733
111,I,MH0201629,,30,9,6,2.0957,139.02,12.2,2.91,6.9856
112,I,HS1313001,,30,6,18,2.1158,174.36,10.09,3.56,7.0525
113,I,MH0101924,,50,8,12,17.4359,235.03,18.17,5.74,34.8718
114,I,HS1313205,,30,6,24,18.8056,109.91,8.77,3.75,62.6852
115,I,HS1344263,,40,8,18,5.6403,194.99,11.65,3.61,14.1007
116,I,HS1313205,,50,7,6,31.3426,237.55,18.97,6.95,62.6852
117,I,HS1316417,,50,11,12,4.7895,168.27,24.43,6.68,9.5789
118,I,HS1344263,,50,1,18,7.0503,265.25,21.45,3.38,14.1007
119,I,HS1330842,,50,0,12,4.3084,186.3,18.78,5.67,8.6168
120,I,HS1314477,,30,15,18,68.1445,139.0,8.89,1.81,227.1484
121,E,HS1313402,HS1313391.1,40,22,12,-23.3318,0.0,0.0,0.0,58.3294
122,E,HS1313835,HS1316417.1,50,22,6,-4.7861,0.0,0.0,0.0,9.5722
123,E,HS2003046,HS1306601.1,40,23,24,-13.3024,0.0,0.0,0.0,33.256
124,E,HS1314505,HS1314769.1,40,4,6,3.0238,0.0,0.0,0.0,-7.5595
125,E,HS1314477,33,50,2,24,-104.2865,0.0,0.0,0.0,208.5729
126,E,HS1313597,link_11,50,11,12,-0.9972,0.0,0.0,0.0,1.9944
127,E,HS1308302,HS1308301.1,30,7,18,-7.0742,0.0,0.0,0.0,23.5807
128,E,MH0200661,VP0232532.1,40,21,6,-0.5606,0.0,0.0,0.0,1.4016
129,E,HS1313001,20,30,2,24,-0.5553,0.0,0.0,0.0,1.8508
130,E,MH0201629,MH0201597.1,30,0,6,2.0935,0.0,0.0,0.0,-6.9782
131,E,HS2003111,38,50,2,24,14.8439,0.0,0.0,0.0,-29.6879
132,E,HS1306601,HS1306571.1,50,4,6,-53.7476,0.0,0.0,0.0,107.4953
133,E,HS1324403,14,30,14,24,-17.6633,0.0,0.0,0.0,58.8778
134,E,HS1306571,HS1306554.2,50,13,24,-16.6747,0.0,0.0,0.0,33.3493
135,E,HS1314237,HS1314210.1,30,2,12,-1.1554,0.0,0.0,0.0,3.8514
136,E,HS1313597,link_9,30,0,24,-0.1864,0.0,0.0,0.0,0.6212
137,E,HS2003111,HS2003125.1,50,4,12,-0.8315,0.0,0.0,0.0,1.6629
138,E,HS1316585,28,40,22,24,-4.4312,0.0,0.0,0.0,11.0779
139,E,HS1316585,HS1344263.1,50,13,18,-7.0502,0.0,0.0,0.0,14.1004
140,E,HS1313597,HS1313613.1,50,6,18,-1.4417,0.0,0.0,0.0,2.8834
141,E,HS1314477,33,30,8,18,-62.5719,0.0,0.0,0.0,208.5729
142,E,HS1316563,HS1316566.1,50,14,24,-14.7166,0.0,0.0,0.0,29.4332
143,E,HS1313835,HS1316417.1,50,14,12,-4.7861,0.0,0.0,0.0,9.5722
144,E,HS1344263,MH0242782.1,50,9,12,-4.4442,0.0,0.0,0.0,8.8884
145,E,HS1306571,HS1318293.2,50,12,24,-31.3549,0.0,0.0,0.0,62.7097
146,E,HS1316563,HS1316566.1,50,18,18,-14.7166,0.0,0.0,0.0,29.4332
147,E,HS1308259,HS1316726.1,40,6,18,-4.4706,0.0,0.0,0.0,11.1764
148,E,HS1306904,13,30,16,12,-33.1924,0.0,0.0,0.0,110.6414
149,E,HS1314237,HS1314210.1,40,19,18,-1.5406,0.0,0.0,0.0,3.8514
150,E,VP0232532,18,40,3,6,-0.5762,0.0,0.0,0.0,1.4405
151,E,HS1308259,HS1316726.1,50,4,12,-5.5882,0.0,0.0,0.0,11.1764
152,E,HS2003046,HS2003070.1,30,22,18,-12.2824,0.0,0.0,0.0,40.9412
153,E,HS1344263,MH0242782.1,40,6,12,-3.5554,0.0,0.0,0.0,8.8884
154,E,HS1313140,HS1313044.1,50,12,6,4.4921,0.0,0.0,0.0,-8.9841
155,E,HS1313298,16,30,14,12,-6.4749,0.0,0.0,0.0,21.5829
156,E,HS1311339,HS1311349.2,40,10,12,-1.1458,0.0,0.0,0.0,2.8644
157,E,HS1316563,HS1316566.1,50,3,12,-14.7166,0.0,0.0,0.0,29.4332
158,E,HS1313597,link_9,30,12,12,-0.1864,0.0,0.0,0.0,0.6212
159,E,HS1308259,HS1316726.1,40,6,6,-4.4706,0.0,0.0,0.0,11.1764
160,E,HS1314477,33,50,18,24,-104.2865,0.0,0.0,0.0,208.5729
161,E,HS2003111,HS1314268.1,50,21,12,-14.0291,0.0,0.0,0.0,28.0583
162,E,HS1314237,HS1314210.1,50,1,12,-1.9257,0.0,0.0,0.0,3.8514
163,E,HS1313140,HS1313044.1,50,9,18,4.4921,0.0,0.0,0.0,-8.9841
164,E,HS1306571,HS1318293.2,30,12,12,-18.8129,0.0,0.0,0.0,62.7097
165,E,HS1306601,HS1306571.1,30,20,18,-32.2486,0.0,0.0,0.0,107.4953
166,E,HS1313835,HS1316417.1,40,5,24,-3.8289,0.0,0.0,0.0,9.5722
167,E,HS1313298,HS1313343.1,30,11,6,-3.1329,0.0,0.0,0.0,10.4429
168,E,HS1314505,MH0242303.1,50,11,6,-8.8383,0.0,0.0,0.0,17.6765
169,E,HS1313402,HS1313391.1,30,19,24,-17.4988,0.0,0.0,0.0,58.3294
170,E,MH0200661,VP0232532.1,50,10,6,-0.7008,0.0,0.0,0.0,1.4016
171,E,HS1344263,MH0242782.1,30,22,24,-2.6665,0.0,0.0,0.0,8.8884
172,E,HS1314477,1,40,6,24,-7.3199,0.0,0.0,0.0,18.2997
173,E,HS1313597,link_11,30,0,24,-0.5983,0.0,0.0,0.0,1.9944
174,E,HS1313835,HS1316417.1,50,0,6,-4.7861,0.0,0.0,0.0,9.5722
175,E,HS1311339,HS1311349.2,40,19,18,-1.1458,0.0,0.0,0.0,2.8644
176,E,HS1316202,HS1316445.1,50,12,24,-3.3758,0.0,0.0,0.0,6.7516
177,E,HS1316585,HS1344263.1,40,8,12,-5.6401,0.0,0.0,0.0,14.1004
178,E,HS1316721,31,40,2,6,-3.6174,0.0,0.0,0.0,9.0435
179,E,HS1308259,HS1316726.1,50,6,24,-5.5882,0.0,0.0,0.0,11.1764
180,E,HS1313835,HS1316417.1,50,5,24,-4.7861,0.0,0.0,0.0,9.5722
181,E,HS1316585,28,50,7,12,-5.539,0.0,0.0,0.0,11.0779
182,E,HS1306571,HS1306554.2,50,8,18,-16.6747,0.0,0.0,0.0,33.3493
183,E,MH0242782,MH0258475.1,50,4,18,-1.3871,0.0,0.0,0.0,2.7741
184,E,HS1313025,21,30,0,18,-2.1134,0.0,0.0,0.0,7.0447
185,E,HS1314237,HS1314210.1,50,18,24,-1.9257,0.0,0.0,0.0,3.8514
186,E,HS1316563,10,50,9,24,-0.0,0.0,0.0,0.0,0.0
187,E,HS1314477,1,30,11,24,-5.4899,0.0,0.0,0.0,18.2997
188,E,HS1316202,HS1316445.1,40,23,6,-2.7006,0.0,0.0,0.0,6.7516
189,E,HS1316643,HS1316676.1,50,14,12,-1.07,0.0,0.0,0.0,2.14
190,E,HS1313835,HS1316417.1,40,21,24,-3.8289,0.0,0.0,0.0,9.5722
191,E,HS1306904,HS1313402.2,30,23,12,-19.2026,0.0,0.0,0.0,64.0085
192,E,HS2003111,38,40,8,12,11.8751,0.0,0.0,0.0,-29.6879
193,E,HS1316202,HS1316177.1,30,19,18,-20.7305,0.0,0.0,0.0,69.1016
194,E,HS1313253,24,40,16,6,-2.6663,0.0,0.0,0.0,6.6658
195,E,HS1313253,24,30,16,24,-1.9997,0.0,0.0,0.0,6.6658
196,E,HS1313298,HS1313343.1,30,19,18,-3.1329,0.0,0.0,0.0,10.4429
197,E,HS1316721,31,50,11,18,-4.5217,0.0,0.0,0.0,9.0435
198,E,HS1313001,22,40,6,24,-0.5236,0.0,0.0,0.0,1.3089
199,E,HS1313402,MH0101924.1,30,1,12,-10.4571,0.0,0.0,0.0,34.8571
200,E,HS1316563,10,50,2,18,-0.0,0.0,0.0,0.0,0.0
201,E,HS1344263,MH0242782.1,40,16,12,-3.5554,0.0,0.0,0.0,8.8884
202,E,HS1313140,HS1313044.1,50,4,6,4.4921,0.0,0.0,0.0,-8.9841
203,E,HS1306601,HS1306571.1,50,16,12,-53.7476,0.0,0.0,0.0,107.4953
204,E,MH0200661,VP0232532.1,30,23,6,-0.4205,0.0,0.0,0.0,1.4016
205,E,HS1314477,1,40,16,12,-7.3199,0.0,0.0,0.0,18.2997
206,E,HS1313597,link_9,40,16,18,-0.2485,0.0,0.0,0.0,0.6212
207,E,HS2003046,HS1306601.1,30,1,18,-9.9768,0.0,0.0,0.0,33.256
208,E,HS1313205,HS1313167.1,30,1,6,-2.0151,0.0,0.0,0.0,6.7169
209,E,HS1306601,HS1313220.1,40,21,24,-12.8692,0.0,0.0,0.0,32.1729
210,E,HS1313597,link_11,50,22,6,-0.9972,0.0,0.0,0.0,1.9944
211,E,HS1313253,HS1317102.1,50,4,6,-0.0,0.0,0.0,0.0,0.0
212,E,HS2003111,38,40,0,12,11.8751,0.0,0.0,0.0,-29.6879
213,E,HS1316585,28,40,0,12,-4.4312,0.0,0.0,0.0,11.0779
214,E,HS1316202,HS1316177.1,30,18,6,-20.7305,0.0,0.0,0.0,69.1016
215,E,HS1313835,HS1313794.1,40,1,18,-18.6513,0.0,0.0,0.0,46.6284
216,E,HS1316721,31,40,20,12,-3.6174,0.0,0.0,0.0,9.0435
217,E,HS1313402,MH0101924.1,50,11,24,-17.4285,0.0,0.0,0.0,34.8571
218,E,HS1316721,HS1316811.1,40,5,12,-2.7005,0.0,0.0,0.0,6.7512
219,E,HS1316721,31,40,22,12,-3.6174,0.0,0.0,0.0,9.0435
220,E,HS1313597,link_9,50,3,24,-0.3106,0.0,0.0,0.0,0.6212
221,E,HS1308302,HS1308301.1,40,22,6,-9.4323,0.0,0.0,0.0,23.5807
222,E,HS1313001,22,50,10,24,-0.6545,0.0,0.0,0.0,1.3089
223,E,HS1316585,28,50,23,6,-5.539,0.0,0.0,0.0,11.0779
224,E,HS1313835,HS1313794.1,30,16,6,-13.9885,0.0,0.0,0.0,46.6284
225,E,HS1313001,22,50,5,6,-0.6545,0.0,0.0,0.0,1.3089
226,E,HS1316721,31,30,23,24,-2.713,0.0,0.0,0.0,9.0435
227,E,HS1314505,HS1314769.1,30,4,6,2.2678,0.0,0.0,0.0,-7.5595
228,E,HS1306601,HS1313220.1,30,19,18,-9.6519,0.0,0.0,0.0,32.1729
229,E,HS1344263,MH0242782.1,40,1,24,-3.5554,0.0,0.0,0.0,8.8884
230,E,HS1314505,HS1314769.1,30,5,18,2.2678,0.0,0.0,0.0,-7.5595
231,E,MH0101924,MH0100292.1,30,21,6,-9.0955,0.0,0.0,0.0,30.3184
232,E,HS2003015,HS2003023.1,40,10,12,-29.636,0.0,0.0,0.0,74.0899
233,E,HS2003111,HS2003125.1,50,15,6,-0.8315,0.0,0.0,0.0,1.6629
234,E,HS2003111,HS2003125.1,30,15,18,-0.4989,0.0,0.0,0.0,1.6629
235,E,HS1313298,16,50,0,18,-10.7915,0.0,0.0,0.0,21.5829
236,E,HS1316585,HS1344263.1,50,8,24,-7.0502,0.0,0.0,0.0,14.1004
237,E,HS2003015,HS2003023.1,40,5,12,-29.636,0.0,0.0,0.0,74.0899
238,E,HS2003046,HS2003070.1,50,15,24,-20.4706,0.0,0.0,0.0,40.9412
239,E,HS1313025,HS1313026.1,40,2,18,-6.0623,0.0,0.0,0.0,15.1556
240,E,HS1311339,HS1311349.2,30,19,6,-0.8593,0.0,0.0,0.0,2.8644
241,P,MH0201629,,50,3,12,0.6986,1994.63,256.11,24.07,6.9856
242,P,HS1313925,,40,18,6,0.1601,1482.23,224.15,24.3,2.0012
243,P,HS1344902,,40,2,6,0.391,1131.05,252.39,18.38,4.887
244,P,HS1313471,,40,18,12,0.4059,1332.09,179.89,14.44,5.0733
245,P,HS1316415,,30,19,24,0.3407,655.94,101.59,17.87,5.6785
246,P,HS2003085,,50,6,6,3.1393,1956.62,262.34,28.4,31.3929
247,P,HS1313253,,40,19,18,0.5393,1494.47,235.37,27.49,6.7419
248,P,HS1313925,,40,8,6,0.1601,1262.33,154.04,22.51,2.0012
249,P,HS1313402,,30,0,12,6.1725,820.54,181.51,15.89,102.8754
250,P,HS2003111,,50,7,12,2.9721,1026.25,335.82,31.59,29.7212
251,P,HS1313205,,30,6,12,3.7611,1021.62,127.08,13.08,62.6852
252,P,HS1306554,,30,17,24,2.0028,994.41,98.35,17.89,33.3805
253,P,MH0242782,,30,7,6,0.5331,729.08,140.38,13.09,8.8856
254,P,HS1313597,,40,0,24,0.4414,1421.47,210.81,13.36,5.517
255,P,HS1308302,,30,10,24,1.6792,1004.38,122.65,16.94,27.9871
256,P,HS1314477,,50,17,12,22.7148,1273.17,300.99,17.28,227.1484
257,P,HS2003111,,30,22,12,1.7833,891.98,170.06,9.55,29.7212
258,P,HS1311339,,50,9,24,0.6004,1204.42,339.06,30.35,6.0037
259,P,MH0101924,,40,2,6,2.7897,806.18,239.52,14.81,34.8718
260,P,HS1316721,,50,6,18,1.6635,1500.26,316.67,31.12,16.6354
261,P,HS2003046,,40,15,24,5.9358,1148.98,193.56,13.25,74.1972
262,P,HS1316417,,50,15,6,0.9579,1404.42,278.03,20.79,9.5789
263,P,HS1311339,,30,19,12,0.3602,1080.79,164.18,18.98,6.0037
264,P,HS1313597,,30,16,12,0.331,745.99,160.66,15.29,5.517
265,P,HS1311339,,40,1,6,0.4803,977.26,244.66,13.22,6.0037
266,P,HS1316643,,50,0,18,1.1083,1905.92,219.88,29.55,11.0827
267,P,MH0258475,,30,15,12,0.1665,753.58,110.82,10.83,2.7753
268,P,HS2003046,,30,11,12,4.4518,878.37,157.65,15.95,74.1972
269,P,HS1344263,,50,4,12,1.4101,1864.25,275.44,18.02,14.1007
270,P,HS2003046,,40,4,6,5.9358,1437.06,214.63,17.63,74.1972
271,P,HS2003046,,40,22,24,5.9358,830.09,179.0,16.59,74.1972
272,P,HS1313835,,50,8,12,6.8177,1384.48,266.07,34.08,68.1766
273,P,HS1313001,,40,8,24,0.5642,1321.47,171.44,19.61,7.0525
274,P,MH0258475,,30,2,18,0.1665,1086.58,190.49,20.79,2.7753
275,P,HS1313835,,50,18,12,6.8177,1039.14,291.52,34.82,68.1766
276,P,HS1330842,,50,15,12,0.8617,1363.9,333.59,22.75,8.6168
277,P,HS1316202,,50,15,18,7.5853,1789.23,279.46,16.32,75.8532
278,P,HS1313471,,50,2,12,0.5073,1284.15,294.75,28.13,5.0733
279,P,HS1313925,,30,19,24,0.1201,949.64,106.97,13.2,2.0012
280,P,HS1311339,,30,23,6,0.3602,785.75,135.2,18.5,6.0037
281,P,HS2003085,,50,21,24,3.1393,1093.45,284.09,25.17,31.3929
282,P,MH0242782,,40,23,6,0.7108,1560.94,174.68,24.26,8.8856
283,P,HS1306904,,30,0,6,11.4747,646.3,191.33,10.21,191.2455
284,P,HS1316814,,50,23,24,0.3493,1661.93,325.28,27.36,3.4925
285,P,HS1313925,,40,19,24,0.1601,944.68,230.86,22.0,2.0012
286,P,HS1311288,,50,10,24,0.036,1410.86,285.27,19.75,0.3597
287,P,HS1314237,,50,16,24,2.7312,1234.0,197.83,34.31,27.3118
288,P,HS1316415,,30,7,18,0.3407,1190.66,145.4,12.38,5.6785
289,P,HS1316721,,50,3,12,1.6635,1966.27,313.38,31.03,16.6354
290,P,HS2003085,,40,5,6,2.5114,1499.29,208.73,13.64,31.3929
291,P,HS1330842,,30,7,24,0.517,1057.87,122.73,19.86,8.6168
292,P,MH0258475,,40,19,24,0.222,1453.36,261.54,26.89,2.7753
