defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1316415,,30,6,18,1.7035,123.38,13.82,3.78,5.6785
2,I,VP0232532,,50,19,24,0.722,205.57,13.23,6.32,1.444
3,I,HS1308302,,30,14,6,8.3961,133.08,9.1,2.29,27.9871
4,I,MH0201710,,50,10,6,7.8563,174.97,23.83,2.89,15.7126
5,I,HS1313597,,50,7,24,2.7585,265.47,20.57,2.73,5.517
6,I,HS1311473,,40,20,6,0.74,258.64,12.56,3.81,1.85
7,I,HS1306904,,30,6,24,57.3736,115.14,8.4,4.31,191.2455
8,I,HS2003046,,30,18,6,22.2592,154.1,8.2,2.89,74.1972
9,I,HS1316643,,50,22,12,5.5414,193.92,14.86,6.34,11.0827
10,I,MH0201710,,30,10,6,4.7138,186.61,9.61,1.7,15.7126
11,I,HS1314237,,50,10,24,13.6559,281.09,15.93,7.07,27.3118
12,I,HS1316814,,30,23,24,1.0478,119.6,11.05,2.29,3.4925
13,I,HS1314237,,40,20,24,10.9247,177.92,19.97,2.55,27.3118
14,I,MH0242782,,30,3,24,2.6657,193.33,7.38,1.98,8.8856
15,I,HS1313140,,40,7,24,3.6018,181.56,15.15,3.87,9.0045
16,I,HS1316643,,50,23,18,5.5414,286.34,18.05,3.83,11.0827
17,I,HS2003046,,40,2,18,29.6789,189.56,13.44,5.82,74.1972
18,I,HS1313618,,40,21,6,1.6456,201.23,9.28,4.5,4.114
19,I,HS2003046,,50,20,24,37.0986,180.57,21.44,5.2,74.1972
20,I,HS1313925,,50,1,6,1.0006,247.72,11.68,4.31,2.0012
21,I,HS1313597,,30,23,24,1.6551,195.36,14.52,1.76,5.517
22,I,MH0242782,,30,11,24,2.6657,181.9,7.16,2.93,8.8856
23,I,MH0101924,,30,5,18,10.4615,194.69,9.81,2.14,34.8718
24,I,MH0101924,,50,1,18,17.4359,292.59,15.98,5.86,34.8718
25,I,HS1306904,,40,20,12,76.4982,139.36,10.7,3.35,191.2455
26,I,HS1314237,,50,0,18,13.6559,194.04,11.06,5.66,27.3118
27,I,HS1311473,,30,11,12,0.555,98.5,8.14,3.51,1.85
28,I,HS1311288,,50,21,12,0.1798,265.24,13.64,4.86,0.3597
29,I,HS1316415,,30,11,12,1.7035,169.08,9.19,2.73,5.6785
30,I,HS1313618,,30,16,12,1.2342,97.27,12.55,3.9,4.114
31,I,HS1308302,,30,9,12,8.3961,154.35,7.26,2.05,27.9871
32,I,HS1316814,,30,15,6,1.0478,186.96,13.7,1.79,3.4925
33,I,HS2003046,,50,14,18,37.0986,343.8,23.9,6.74,74.1972
34,I,VP0232532,,40,14,12,0.5776,154.2,12.81,2.23,1.444
35,I,HS1316417,,30,18,24,2.8737,201.18,13.07,2.36,9.5789
36,I,HS1313471,,50,11,18,2.5367,282.37,17.3,3.45,5.0733
37,I,HS1311288,,30,22,18,0.1079,97.31,8.82,1.65,0.3597
38,I,MH0242782,,50,19,12,4.4428,161.38,17.62,6.76,8.8856
39,I,HS1306471,,50,2,6,1.0707,230.76,24.12,5.35,2.1414
40,I,HS1314237,,50,4,12,13.6559,233.84,18.76,5.11,27.3118
41,I,HS1316643,,30,18,6,3.3248,118.64,9.56,3.52,11.0827
42,I,HS1313597,,40,6,24,2.2068,121.49,15.45,4.25,5.517
43,I,HS1308302,,30,20,18,8.3961,150.71,7.19,2.55,27.9871
44,I,HS1306471,,30,8,24,0.6424,108.93,13.5,3.61,2.1414
45,I,HS1311339,,50,6,6,3.0019,283.57,18.32,7.16,6.0037
