defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,curriculum_difficulty
1,I,HS1306904,,15,6,24,28.6868,228.35,13.51,6.29,191.2455,easy
2,I,HS1306904,,15,18,24,28.6868,217.63,10.75,6.88,191.2455,easy
3,I,HS1306904,,15,10,18,28.6868,226.56,16.29,2.64,191.2455,easy
4,I,HS1306904,,10,6,24,19.1245,183.05,12.97,6.63,191.2455,medium
5,I,HS1306904,,10,14,18,19.1245,210.14,16.58,4.22,191.2455,medium
6,I,HS1306904,,10,10,12,19.1245,151.81,14.44,2.32,191.2455,medium
7,I,HS1306904,,15,22,12,28.6868,235.87,15.05,5.79,191.2455,medium
8,I,HS1306904,,5,18,24,9.5623,169.63,17.77,6.47,191.2455,medium
9,I,HS1306904,,5,10,12,9.5623,228.97,11.56,4.33,191.2455,hard
10,I,HS1306904,,5,14,6,9.5623,126.13,11.23,5.42,191.2455,hard
11,I,HS1306904,,10,18,6,19.1245,224.27,17.74,3.63,191.2455,hard
12,I,HS1306904,,5,22,6,9.5623,171.86,13.76,2.95,191.2455,hard
13,I,HS1311288,,15,6,24,0.054,188.97,12.43,3.34,0.3597,easy
14,I,HS1311288,,15,18,24,0.054,257.92,11.76,2.16,0.3597,easy
15,I,HS1311288,,15,10,18,0.054,239.66,11.37,6.22,0.3597,easy
16,I,HS1311288,,10,6,24,0.036,221.25,10.63,2.52,0.3597,medium
17,I,HS1311288,,10,14,18,0.036,183.41,15.94,2.58,0.3597,medium
18,I,HS1311288,,10,10,12,0.036,145.0,16.18,3.62,0.3597,medium
19,I,HS1311288,,15,22,12,0.054,232.84,10.92,6.71,0.3597,medium
20,I,HS1311288,,5,18,24,0.018,122.17,11.21,2.37,0.3597,medium
21,I,HS1311288,,5,10,12,0.018,214.72,17.13,2.41,0.3597,hard
22,I,HS1311288,,5,14,6,0.018,175.48,16.97,2.3,0.3597,hard
23,I,HS1311288,,10,18,6,0.036,168.27,13.18,3.99,0.3597,hard
24,I,HS1311288,,5,22,6,0.018,249.74,16.6,6.95,0.3597,hard
25,I,HS1313001,,15,6,24,1.0579,237.4,15.54,3.08,7.0525,easy
26,I,HS1313001,,15,18,24,1.0579,137.56,13.0,5.77,7.0525,easy
27,I,HS1313001,,15,10,18,1.0579,222.93,13.3,5.22,7.0525,easy
28,I,HS1313001,,10,6,24,0.7053,235.39,10.53,4.69,7.0525,medium
29,I,HS1313001,,10,14,18,0.7053,225.82,16.6,3.1,7.0525,medium
30,I,HS1313001,,10,10,12,0.7053,187.75,12.93,3.33,7.0525,medium
31,I,HS1313001,,15,22,12,1.0579,231.77,14.48,4.81,7.0525,medium
32,I,HS1313001,,5,18,24,0.3526,157.23,15.58,2.3,7.0525,medium
33,I,HS1313001,,5,10,12,0.3526,256.03,14.0,2.95,7.0525,hard
34,I,HS1313001,,5,14,6,0.3526,184.68,15.71,6.12,7.0525,hard
35,I,HS1313001,,10,18,6,0.7053,241.73,16.12,3.89,7.0525,hard
36,I,HS1313001,,5,22,6,0.3526,161.57,15.58,4.3,7.0525,hard
37,I,HS1313025,,15,6,24,3.33,196.75,12.25,6.5,22.2003,easy
38,I,HS1313025,,15,18,24,3.33,258.2,11.79,2.92,22.2003,easy
39,I,HS1313025,,15,10,18,3.33,247.23,14.03,6.35,22.2003,easy
40,I,HS1313025,,10,6,24,2.22,202.39,14.45,2.82,22.2003,medium
41,I,HS1313025,,10,14,18,2.22,135.45,17.2,3.11,22.2003,medium
42,I,HS1313025,,10,10,12,2.22,168.08,17.82,5.08,22.2003,medium
43,I,HS1313025,,15,22,12,3.33,156.21,15.74,4.41,22.2003,medium
44,I,HS1313025,,5,18,24,1.11,163.8,11.8,5.08,22.2003,medium
45,I,HS1313025,,5,10,12,1.11,218.07,15.67,6.95,22.2003,hard
46,I,HS1313025,,5,14,6,1.11,209.57,12.49,4.1,22.2003,hard
47,I,HS1313025,,10,18,6,2.22,235.76,14.8,6.18,22.2003,hard
48,I,HS1313025,,5,22,6,1.11,161.43,14.48,2.37,22.2003,hard
49,I,HS1313835,,15,6,24,10.2265,220.27,11.36,5.53,68.1766,easy
50,I,HS1313835,,15,18,24,10.2265,152.37,17.54,5.36,68.1766,easy
51,I,HS1313835,,15,10,18,10.2265,180.9,11.19,3.69,68.1766,easy
52,I,HS1313835,,10,6,24,6.8177,251.17,12.7,6.81,68.1766,medium
