defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,curriculum_difficulty
1,I,HS1306904,,60,6,24,114.7473,228.35,13.51,6.29,191.2455,easy
2,I,HS1306904,,60,18,24,114.7473,217.63,10.75,6.88,191.2455,easy
3,I,HS1306904,,60,10,18,114.7473,226.56,16.29,2.64,191.2455,easy
4,I,HS1306904,,50,6,24,95.6227,183.05,12.97,6.63,191.2455,medium
5,I,HS1306904,,50,14,18,95.6227,210.14,16.58,4.22,191.2455,medium
6,I,HS1306904,,50,10,12,95.6227,151.81,14.44,2.32,191.2455,medium
7,I,HS1306904,,60,22,12,114.7473,235.87,15.05,5.79,191.2455,medium
8,I,HS1306904,,40,18,24,76.4982,169.63,17.77,6.47,191.2455,medium
9,I,HS1306904,,40,10,12,76.4982,228.97,11.56,4.33,191.2455,hard
10,I,HS1306904,,40,14,6,76.4982,126.13,11.23,5.42,191.2455,hard
11,I,HS1306904,,50,18,6,95.6227,224.27,17.74,3.63,191.2455,hard
12,I,HS1306904,,40,22,6,76.4982,171.86,13.76,2.95,191.2455,hard
13,I,HS1311288,,60,6,24,0.2158,188.97,12.43,3.34,0.3597,easy
14,I,HS1311288,,60,18,24,0.2158,257.92,11.76,2.16,0.3597,easy
15,I,HS1311288,,60,10,18,0.2158,239.66,11.37,6.22,0.3597,easy
16,I,HS1311288,,50,6,24,0.1799,221.25,10.63,2.52,0.3597,medium
17,I,HS1311288,,50,14,18,0.1799,183.41,15.94,2.58,0.3597,medium
18,I,HS1311288,,50,10,12,0.1799,145.0,16.18,3.62,0.3597,medium
19,I,HS1311288,,60,22,12,0.2158,232.84,10.92,6.71,0.3597,medium
20,I,HS1311288,,40,18,24,0.1439,122.17,11.21,2.37,0.3597,medium
21,I,HS1311288,,40,10,12,0.1439,214.72,17.13,2.41,0.3597,hard
22,I,HS1311288,,40,14,6,0.1439,175.48,16.97,2.3,0.3597,hard
23,I,HS1311288,,50,18,6,0.1799,168.27,13.18,3.99,0.3597,hard
24,I,HS1311288,,40,22,6,0.1439,249.74,16.6,6.95,0.3597,hard
25,I,HS1313001,,60,6,24,4.2315,237.4,15.54,3.08,7.0525,easy
26,I,HS1313001,,60,18,24,4.2315,137.56,13.0,5.77,7.0525,easy
27,I,HS1313001,,60,10,18,4.2315,222.93,13.3,5.22,7.0525,easy
28,I,HS1313001,,50,6,24,3.5263,235.39,10.53,4.69,7.0525,medium
29,I,HS1313001,,50,14,18,3.5263,225.82,16.6,3.1,7.0525,medium
30,I,HS1313001,,50,10,12,3.5263,187.75,12.93,3.33,7.0525,medium
31,I,HS1313001,,60,22,12,4.2315,231.77,14.48,4.81,7.0525,medium
32,I,HS1313001,,40,18,24,2.821,157.23,15.58,2.3,7.0525,medium
33,I,HS1313001,,40,10,12,2.821,256.03,14.0,2.95,7.0525,hard
34,I,HS1313001,,40,14,6,2.821,184.68,15.71,6.12,7.0525,hard
35,I,HS1313001,,50,18,6,3.5263,241.73,16.12,3.89,7.0525,hard
36,I,HS1313001,,40,22,6,2.821,161.57,15.58,4.3,7.0525,hard
37,I,HS1313025,,60,6,24,13.3202,196.75,12.25,6.5,22.2003,easy
38,I,HS1313025,,60,18,24,13.3202,258.2,11.79,2.92,22.2003,easy
39,I,HS1313025,,60,10,18,13.3202,247.23,14.03,6.35,22.2003,easy
40,I,HS1313025,,50,6,24,11.1001,202.39,14.45,2.82,22.2003,medium
41,I,HS1313025,,50,14,18,11.1001,135.45,17.2,3.11,22.2003,medium
42,I,HS1313025,,50,10,12,11.1001,168.08,17.82,5.08,22.2003,medium
43,I,HS1313025,,60,22,12,13.3202,156.21,15.74,4.41,22.2003,medium
44,I,HS1313025,,40,18,24,8.8801,163.8,11.8,5.08,22.2003,medium
45,I,HS1313025,,40,10,12,8.8801,218.07,15.67,6.95,22.2003,hard
46,I,HS1313025,,40,14,6,8.8801,209.57,12.49,4.1,22.2003,hard
47,I,HS1313025,,50,18,6,11.1001,235.76,14.8,6.18,22.2003,hard
48,I,HS1313025,,40,22,6,8.8801,161.43,14.48,2.37,22.2003,hard
49,I,HS1313835,,60,6,24,40.906,220.27,11.36,5.53,68.1766,easy
50,I,HS1313835,,60,18,24,40.906,152.37,17.54,5.36,68.1766,easy
51,I,HS1313835,,60,10,18,40.906,180.9,11.19,3.69,68.1766,easy
52,I,HS1313835,,50,6,24,34.0883,251.17,12.7,6.81,68.1766,medium
53,I,HS1313835,,50,14,18,34.0883,185.9,15.62,6.71,68.1766,medium
54,I,HS1313835,,50,10,12,34.0883,122.58,10.06,4.41,68.1766,medium
55,I,HS1313835,,60,22,12,40.906,221.67,14.93,5.05,68.1766,medium
56,I,HS1313835,,40,18,24,27.2706,185.47,10.7,3.97,68.1766,medium
57,I,HS1313835,,40,10,12,27.2706,153.63,15.5,5.23,68.1766,hard
58,I,HS1313835,,40,14,6,27.2706,211.76,13.14,2.48,68.1766,hard
59,I,HS1313835,,50,18,6,34.0883,236.73,17.25,2.55,68.1766,hard
60,I,HS1313835,,40,22,6,27.2706,157.32,15.89,2.55,68.1766,hard
61,I,HS1314477,,60,6,24,136.289,250.84,16.28,6.0,227.1484,easy
62,I,HS1314477,,60,18,24,136.289,199.97,12.57,6.43,227.1484,easy
63,I,HS1314477,,60,10,18,136.289,257.59,10.18,2.04,227.1484,easy
64,I,HS1314477,,50,6,24,113.5742,137.9,16.83,2.41,227.1484,medium
65,I,HS1314477,,50,14,18,113.5742,125.07,11.77,5.85,227.1484,medium
66,I,HS1314477,,50,10,12,113.5742,212.48,16.37,2.66,227.1484,medium
67,I,HS1314477,,60,22,12,136.289,203.48,14.33,4.81,227.1484,medium
68,I,HS1314477,,40,18,24,90.8594,250.16,15.42,5.96,227.1484,medium
69,I,HS1314477,,40,10,12,90.8594,151.2,12.22,6.41,227.1484,hard
70,I,HS1314477,,40,14,6,90.8594,241.12,16.78,2.21,227.1484,hard
71,I,HS1314477,,50,18,6,113.5742,128.8,18.0,5.36,227.1484,hard
72,I,HS1314477,,40,22,6,90.8594,172.0,17.26,6.47,227.1484,hard
73,I,HS1316563,,60,6,24,27.8641,212.6,13.61,4.5,46.4402,easy
74,I,HS1316563,,60,18,24,27.8641,159.6,15.99,3.59,46.4402,easy
75,I,HS1316563,,60,10,18,27.8641,176.02,17.7,2.54,46.4402,easy
76,I,HS1316563,,50,6,24,23.2201,257.23,14.62,3.98,46.4402,medium
77,I,HS1316563,,50,14,18,23.2201,200.35,10.19,2.38,46.4402,medium
78,I,HS1316563,,50,10,12,23.2201,151.02,15.89,5.34,46.4402,medium
79,I,HS1316563,,60,22,12,27.8641,217.66,17.36,6.62,46.4402,medium
