defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow,source_start_hour,source_duration_h,temporal_protocol
1,I,HS1313402,,60,0.0,48.0,61.7252,0.0,0.0,0.0,102.8754,8,12,fulltime_injection
2,I,HS1313402,,50,0.0,48.0,51.4377,0.0,0.0,0.0,102.8754,20,18,fulltime_injection
3,I,HS1313402,,60,0.0,48.0,61.7252,0.0,0.0,0.0,102.8754,20,12,fulltime_injection
4,I,HS1313402,,60,0.0,48.0,61.7252,0.0,0.0,0.0,102.8754,2,18,fulltime_injection
5,I,HS1313402,,40,0.0,48.0,41.1501,0.0,0.0,0.0,102.8754,8,12,fulltime_injection
6,I,MH0258475,,60,0.0,48.0,1.6652,0.0,0.0,0.0,2.7753,8,24,fulltime_injection
7,I,MH0258475,,40,0.0,48.0,1.1101,0.0,0.0,0.0,2.7753,8,12,fulltime_injection
8,I,MH0258475,,40,0.0,48.0,1.1101,0.0,0.0,0.0,2.7753,2,12,fulltime_injection
9,I,MH0258475,,50,0.0,48.0,1.3876,0.0,0.0,0.0,2.7753,20,24,fulltime_injection
10,I,MH0258475,,50,0.0,48.0,1.3876,0.0,0.0,0.0,2.7753,20,12,fulltime_injection
11,I,VP0232532,,60,0.0,48.0,0.8664,0.0,0.0,0.0,1.444,14,6,fulltime_injection
12,I,VP0232532,,60,0.0,48.0,0.8664,0.0,0.0,0.0,1.444,20,6,fulltime_injection
13,I,VP0232532,,40,0.0,48.0,0.5776,0.0,0.0,0.0,1.444,2,6,fulltime_injection
14,I,VP0232532,,40,0.0,48.0,0.5776,0.0,0.0,0.0,1.444,14,6,fulltime_injection
15,I,VP0232532,,50,0.0,48.0,0.722,0.0,0.0,0.0,1.444,14,24,fulltime_injection
16,I,MH0201629,,60,0.0,48.0,4.1913,0.0,0.0,0.0,6.9856,20,6,fulltime_injection
17,I,MH0201629,,60,0.0,48.0,4.1913,0.0,0.0,0.0,6.9856,14,6,fulltime_injection
18,I,MH0201629,,40,0.0,48.0,2.7942,0.0,0.0,0.0,6.9856,8,18,fulltime_injection
19,I,MH0201629,,60,0.0,48.0,4.1913,0.0,0.0,0.0,6.9856,8,12,fulltime_injection
20,I,MH0201629,,40,0.0,48.0,2.7942,0.0,0.0,0.0,6.9856,20,6,fulltime_injection
21,I,HS1308259,,50,0.0,48.0,6.1481,0.0,0.0,0.0,12.2961,2,24,fulltime_injection
22,I,HS1308259,,60,0.0,48.0,7.3777,0.0,0.0,0.0,12.2961,2,12,fulltime_injection
23,I,HS1308259,,40,0.0,48.0,4.9184,0.0,0.0,0.0,12.2961,14,24,fulltime_injection
24,I,HS1308259,,60,0.0,48.0,7.3777,0.0,0.0,0.0,12.2961,14,18,fulltime_injection
25,I,HS1308259,,60,0.0,48.0,7.3777,0.0,0.0,0.0,12.2961,2,18,fulltime_injection
26,I,HS1311339,,60,0.0,48.0,3.6022,0.0,0.0,0.0,6.0037,2,18,fulltime_injection
27,I,HS1311339,,50,0.0,48.0,3.0019,0.0,0.0,0.0,6.0037,14,6,fulltime_injection
28,I,HS1311339,,40,0.0,48.0,2.4015,0.0,0.0,0.0,6.0037,8,18,fulltime_injection
29,I,HS1311339,,40,0.0,48.0,2.4015,0.0,0.0,0.0,6.0037,2,12,fulltime_injection
30,I,HS1311339,,60,0.0,48.0,3.6022,0.0,0.0,0.0,6.0037,8,6,fulltime_injection
31,I,HS1311288,,60,0.0,48.0,0.2158,0.0,0.0,0.0,0.3597,20,6,fulltime_injection
32,I,HS1311288,,50,0.0,48.0,0.1798,0.0,0.0,0.0,0.3597,14,24,fulltime_injection
33,I,HS1311288,,50,0.0,48.0,0.1798,0.0,0.0,0.0,0.3597,8,6,fulltime_injection
34,I,HS1311288,,60,0.0,48.0,0.2158,0.0,0.0,0.0,0.3597,2,18,fulltime_injection
35,I,HS1311288,,40,0.0,48.0,0.1439,0.0,0.0,0.0,0.3597,14,24,fulltime_injection
36,I,HS1313298,,40,0.0,48.0,12.8103,0.0,0.0,0.0,32.0259,8,12,fulltime_injection
37,I,HS1313298,,40,0.0,48.0,12.8103,0.0,0.0,0.0,32.0259,20,24,fulltime_injection
38,I,HS1313298,,60,0.0,48.0,19.2155,0.0,0.0,0.0,32.0259,8,18,fulltime_injection
39,I,HS1313298,,40,0.0,48.0,12.8103,0.0,0.0,0.0,32.0259,8,24,fulltime_injection
40,I,HS1313298,,60,0.0,48.0,19.2155,0.0,0.0,0.0,32.0259,14,24,fulltime_injection
41,I,HS2003046,,40,0.0,48.0,29.6789,0.0,0.0,0.0,74.1972,20,6,fulltime_injection
42,I,HS2003046,,60,0.0,48.0,44.5183,0.0,0.0,0.0,74.1972,14,12,fulltime_injection
43,I,HS2003046,,60,0.0,48.0,44.5183,0.0,0.0,0.0,74.1972,2,18,fulltime_injection
44,I,HS2003046,,50,0.0,48.0,37.0986,0.0,0.0,0.0,74.1972,14,12,fulltime_injection
45,I,HS2003046,,60,0.0,48.0,44.5183,0.0,0.0,0.0,74.1972,8,6,fulltime_injection
46,I,HS1314505,,60,0.0,48.0,15.0955,0.0,0.0,0.0,25.1591,2,24,fulltime_injection
47,I,HS1314505,,60,0.0,48.0,15.0955,0.0,0.0,0.0,25.1591,2,12,fulltime_injection
48,I,HS1314505,,40,0.0,48.0,10.0636,0.0,0.0,0.0,25.1591,20,6,fulltime_injection
49,I,HS1314505,,50,0.0,48.0,12.5795,0.0,0.0,0.0,25.1591,14,12,fulltime_injection
50,I,HS1314505,,50,0.0,48.0,12.5795,0.0,0.0,0.0,25.1591,2,6,fulltime_injection
51,I,HS1316563,,50,0.0,48.0,23.2201,0.0,0.0,0.0,46.4402,20,6,fulltime_injection
52,I,HS1316563,,60,0.0,48.0,27.8641,0.0,0.0,0.0,46.4402,2,18,fulltime_injection
53,I,HS1316563,,50,0.0,48.0,23.2201,0.0,0.0,0.0,46.4402,14,18,fulltime_injection
54,I,HS1316563,,60,0.0,48.0,27.8641,0.0,0.0,0.0,46.4402,14,12,fulltime_injection
55,I,HS1316563,,60,0.0,48.0,27.8641,0.0,0.0,0.0,46.4402,14,18,fulltime_injection
56,I,HS1316814,,40,0.0,48.0,1.397,0.0,0.0,0.0,3.4925,14,18,fulltime_injection
57,I,HS1316814,,40,0.0,48.0,1.397,0.0,0.0,0.0,3.4925,20,12,fulltime_injection
58,I,HS1316814,,40,0.0,48.0,1.397,0.0,0.0,0.0,3.4925,20,24,fulltime_injection
59,I,HS1316814,,60,0.0,48.0,2.0955,0.0,0.0,0.0,3.4925,2,24,fulltime_injection
60,I,HS1316814,,40,0.0,48.0,1.397,0.0,0.0,0.0,3.4925,8,18,fulltime_injection
61,I,HS1316417,,50,0.0,48.0,4.7895,0.0,0.0,0.0,9.5789,20,6,fulltime_injection
62,I,HS1316417,,50,0.0,48.0,4.7895,0.0,0.0,0.0,9.5789,8,18,fulltime_injection
63,I,HS1316417,,50,0.0,48.0,4.7895,0.0,0.0,0.0,9.5789,2,6,fulltime_injection
64,I,HS1316417,,40,0.0,48.0,3.8316,0.0,0.0,0.0,9.5789,14,6,fulltime_injection
65,I,HS1316417,,50,0.0,48.0,4.7895,0.0,0.0,0.0,9.5789,14,6,fulltime_injection
66,I,HS1313025,,50,0.0,48.0,11.1002,0.0,0.0,0.0,22.2003,2,24,fulltime_injection
67,I,HS1313025,,60,0.0,48.0,13.3202,0.0,0.0,0.0,22.2003,8,6,fulltime_injection
68,I,HS1313025,,60,0.0,48.0,13.3202,0.0,0.0,0.0,22.2003,2,24,fulltime_injection
69,I,HS1313025,,60,0.0,48.0,13.3202,0.0,0.0,0.0,22.2003,20,18,fulltime_injection
70,I,HS1313025,,60,0.0,48.0,13.3202,0.0,0.0,0.0,22.2003,14,18,fulltime_injection
71,I,MH0201710,,60,0.0,48.0,9.4275,0.0,0.0,0.0,15.7126,20,6,fulltime_injection
72,I,MH0201710,,60,0.0,48.0,9.4275,0.0,0.0,0.0,15.7126,20,12,fulltime_injection
73,I,MH0201710,,40,0.0,48.0,6.285,0.0,0.0,0.0,15.7126,20,24,fulltime_injection
74,I,MH0201710,,50,0.0,48.0,7.8563,0.0,0.0,0.0,15.7126,8,24,fulltime_injection
75,I,MH0201710,,40,0.0,48.0,6.285,0.0,0.0,0.0,15.7126,8,24,fulltime_injection
76,I,HS1344263,,40,0.0,48.0,5.6403,0.0,0.0,0.0,14.1007,14,12,fulltime_injection
77,I,HS1344263,,60,0.0,48.0,8.4604,0.0,0.0,0.0,14.1007,8,6,fulltime_injection
