candidate_node,is_monitored,nearest_monitor,nearest_monitor_hop,observability_tier
HS1308259,True,HS1308259,0,direct
HS1313001,True,HS1313001,0,direct
HS1313471,True,HS1313471,0,direct
HS1313597,True,HS1313597,0,direct
HS1313618,True,HS1313618,0,direct
HS1313925,True,HS1313925,0,direct
HS1316814,True,HS1316814,0,direct
HS1344261,True,HS1344261,0,direct
HS1344902,True,HS1344902,0,direct
HS1344920,True,HS1344920,0,direct
MH0242782,True,MH0242782,0,direct
VP0232532,True,VP0232532,0,direct
HS1306471,False,HS1316811,1,near
HS1306554,False,MH0201597,1,near
HS1306904,False,HS1308301,1,near
HS1308302,False,HS1308301,1,near
HS1311473,False,HS1313001,1,near
HS1313025,False,HS1313044,1,near
HS1313140,False,HS1313044,1,near
HS1313205,False,HS1313167,1,near
HS1313253,False,HS1313167,1,near
HS1313298,False,HS1313290,1,near
HS1313835,False,HS1308301,1,near
HS1314237,False,HS1314268,1,near
HS1314477,False,HS1314512,1,near
HS1314505,False,HS1314512,1,near
HS1316202,False,HS1316445,1,near
HS1316415,False,HS1316445,1,near
HS1316563,False,HS1316566,1,near
HS1316585,False,HS1316566,1,near
HS1316721,False,HS1316811,1,near
HS1324403,False,HS1313044,1,near
HS1330842,False,YS2003067,1,near
HS1344263,False,MH0242782,1,near
HS2003015,False,HS2003023,1,near
HS2003046,False,HS2003023,1,near
HS2003085,False,YS2003067,1,near
HS2003111,False,HS1314268,1,near
MH0200661,False,VP0232532,1,near
MH0201629,False,MH0201597,1,near
MH0201710,False,MH0201597,1,near
MH0258475,False,MH0242782,1,near
HS1306571,False,HS1313290,2,near
HS1306601,False,HS1308301,2,near
HS1311288,False,HS1313001,2,near
HS1311339,False,MH0100334,2,near
HS1313402,False,HS1308301,2,near
HS1316417,False,HS1308301,2,near
HS1316643,False,HS1316566,2,near
MH0101924,False,MH0100334,2,near
