model,seed,mrr,top1,top3,top5
gru_gcn,42,0.2822637997961007,0.17184265010351968,0.3022774327122153,0.34368530020703936
hydraulic_inverse,7,0.4850803405699349,0.3539518900343643,0.5051546391752577,0.6391752577319587
hydraulic_inverse,42,0.551630696208519,0.42650103519668736,0.5900621118012422,0.6749482401656315
hydraulic_inverse,123,0.5180193177527852,0.35130718954248363,0.619281045751634,0.6584967320261438
hydraulic_inverse_deepattn,7,0.869000423840436,0.7749140893470791,0.9621993127147767,0.979381443298969
hydraulic_inverse_deepattn,42,0.9403726733742787,0.8861283643892339,0.9937888198757764,1.0
hydraulic_inverse_deepattn,123,0.9294662356766221,0.869281045751634,0.9901960784313726,0.9950980392156863
lstm_graphsage_edge,7,0.4824774969766025,0.3333333333333333,0.5223367697594502,0.5927835051546392
lstm_graphsage_edge,42,0.6059953208789075,0.505175983436853,0.6335403726708074,0.6935817805383023
lstm_graphsage_edge,123,0.5268310565574497,0.4117647058823529,0.545751633986928,0.6486928104575164
