seed,true_node_id,pred_node_id,count,true_nearest_monitor_hop,pred_nearest_monitor_hop,true_pred_hop,pred_in_train_nodes,pred_is_monitor
42,MH0200661,MH0201629,77,4,3,3,1,0
42,HS1311339,HS1313001,74,3,0,12,1,1
42,HS1313298,HS1313140,72,0,1,5,1,0
42,MH0201710,MH0201629,71,3,3,2,1,0
42,HS1311288,HS1316721,70,2,2,17,1,0
42,HS2003046,HS2003015,63,1,1,2,1,0
42,HS1344263,HS1316585,60,3,2,1,1,0
42,HS1313298,HS1324403,60,0,1,3,1,0
42,MH0200661,VP0232532,60,4,5,1,1,0
42,HS1311339,HS1313025,56,3,0,11,1,1
42,HS1344263,HS1316643,56,3,3,2,1,0
42,HS2003111,HS2003015,37,5,1,6,1,0
42,MH0201710,HS1306571,34,3,0,3,1,1
42,HS2003111,HS1330842,31,5,4,3,1,0
42,HS1313298,HS1313205,29,0,0,3,1,1
42,HS1344263,HS1316563,25,3,0,3,1,1
42,MH0201710,HS1306554,24,3,1,2,1,0
42,HS2003111,HS2003046,22,5,1,4,0,0
42,MH0258475,HS1316814,20,5,4,10,1,0
42,MH0258475,MH0242782,17,5,4,1,1,0
42,HS2003111,HS2003085,17,5,4,1,1,0
42,MH0201710,HS1306904,16,3,0,5,0,1
42,HS2003111,HS1316202,14,5,2,11,1,0
42,MH0201710,VP0232532,14,3,5,2,1,0
42,HS2003046,HS1316202,13,1,2,7,1,0
42,HS2003046,HS1306904,12,1,0,2,0,1
42,HS1311339,HS2003111,10,3,5,12,0,0
42,HS1306904,HS1308302,9,0,1,2,1,0
42,HS2003046,HS1314477,7,1,1,6,1,0
42,HS2003111,HS1308259,6,5,1,10,1,0
42,HS1306904,HS2003015,6,0,1,2,1,0
42,MH0258475,HS1306471,5,5,4,10,1,0
42,HS1344263,HS1344902,4,3,3,4,1,0
42,MH0258475,HS1344902,3,5,3,6,1,0
42,HS1311339,HS1313471,2,3,1,9,1,0
42,HS1311288,HS1330842,2,2,4,12,1,0
42,HS1311288,HS1316415,2,2,4,16,1,0
42,HS1311288,MH0258475,2,2,5,21,0,0
42,HS2003046,HS1330842,2,1,4,3,1,0
42,HS1306904,HS1308259,2,0,1,4,1,0
7,MH0201629,MH0201710,102,3,3,2,1,0
7,HS1308302,HS1313835,85,1,0,2,1,1
7,HS1316202,HS2003111,85,2,5,11,1,0
7,HS1314505,HS1330842,75,2,4,8,1,0
7,HS1316202,HS1316563,62,2,0,4,1,1
7,HS1313925,HS1313253,59,1,0,13,1,1
7,HS2003015,HS2003046,56,1,1,2,1,0
7,HS1311288,HS1316721,42,2,2,17,1,0
7,HS1314505,HS2003085,42,2,4,8,1,0
7,HS2003015,HS1306601,40,1,0,3,1,1
7,HS1308259,HS1316585,39,1,2,8,1,0
7,HS1308259,HS1330842,39,1,4,9,1,0
7,MH0242782,HS1306471,37,4,4,9,1,0
7,HS1308259,HS1314477,36,1,1,2,1,0
7,MH0242782,HS1316585,34,4,2,2,1,0
7,MH0242782,HS1316721,28,4,2,7,1,0
7,HS1311288,HS1306471,27,2,4,19,1,0
7,HS2003015,HS2003111,27,1,5,6,1,0
7,HS1308259,HS2003085,25,1,4,9,1,0
7,MH0242782,HS1344263,25,4,3,1,1,0
7,HS1306904,HS1313835,22,0,0,2,1,1
7,MH0201629,MH0200661,17,3,4,3,1,0
7,HS1308302,HS2003111,17,1,5,8,1,0
7,HS1308302,HS1314477,14,1,1,2,1,0
7,HS1316202,HS1314477,11,2,1,4,1,0
7,HS1308302,HS1313597,10,1,0,4,1,1
7,MH0242782,MH0258475,10,4,5,1,1,0
7,HS1308259,HS1344263,8,1,3,9,1,0
7,HS1313925,HS1330842,8,1,4,13,1,0
7,HS1316202,HS1313925,7,2,1,5,0,0
7,HS1308259,HS1316643,6,1,3,9,1,0
7,HS1316202,HS1330842,6,2,4,10,1,0
7,HS1306904,HS1313402,6,0,0,1,1,1
7,MH0242782,HS1344902,6,4,3,5,1,0
7,HS2003015,HS1316563,6,1,0,9,1,1
7,MH0242782,HS1316643,6,4,3,3,1,0
7,HS1311288,HS1311473,5,2,1,3,1,0
7,HS1316202,HS1316585,5,2,2,6,1,0
7,HS2003015,HS2003085,5,1,4,5,1,0
7,MH0201629,VP0232532,4,3,5,4,1,0
123,MH0200661,MH0201710,125,4,3,1,1,0
123,MH0201629,MH0201710,117,3,3,2,1,0
123,HS1313140,HS1344920,88,1,2,7,1,0
123,HS1311339,HS1313001,83,3,0,12,1,1
123,HS1324403,HS1313298,80,1,0,3,1,1
123,HS1344261,HS1344263,64,2,3,7,1,0
123,HS1311288,HS1306471,59,2,4,19,1,0
123,HS1311339,HS1313025,58,3,0,11,1,1
123,HS1324403,HS1306571,58,1,0,2,1,1
123,VP0232532,HS1306904,47,5,0,7,0,1
123,VP0232532,MH0201710,43,5,3,2,1,0
123,HS2003085,HS2003015,30,4,1,5,1,0
123,HS1306904,HS1308302,25,0,1,2,1,0
123,HS1344261,HS1313925,24,2,1,5,1,0
123,HS2003085,HS2003111,22,4,5,1,1,0
123,HS1306904,HS1313597,19,0,0,4,1,1
123,HS1306904,HS1313835,15,0,0,2,1,1
123,HS1324403,MH0101924,13,1,1,5,1,0
123,HS1311288,HS1316721,11,2,2,17,1,0
123,HS2003085,HS1330842,11,4,4,2,1,0
123,VP0232532,HS1313298,9,5,0,8,1,1
123,HS1306904,HS1316417,8,0,1,3,1,0
123,MH0201629,HS1344920,6,3,2,8,1,0
123,HS1324403,HS1306554,6,1,1,3,1,0
123,HS1311288,HS1316814,5,2,4,21,1,0
123,HS1306904,HS2003015,5,0,1,2,1,0
123,HS1313140,HS1313205,4,1,0,4,1,1
123,HS2003085,HS2003046,4,4,1,3,1,0
123,HS1306904,HS1306571,4,0,0,2,1,1
123,HS1306904,HS1313402,4,0,0,1,1,1
123,MH0200661,MH0258475,4,4,5,18,1,0
123,MH0200661,HS1306904,3,4,0,6,0,1
123,HS1313140,HS1313298,3,1,0,5,1,1
