seed,true_node_id,pred_node_id,count
42,HS1313471,HS1316202,24
42,HS1344902,HS1316202,17
42,HS1313140,HS1316202,17
42,HS2003111,HS1316202,17
42,HS1313471,HS2003046,14
42,HS1313140,HS2003046,14
42,HS1344902,HS2003046,12
42,HS1313618,HS1316202,11
42,HS2003111,HS2003046,11
42,HS1316415,HS1316202,10
42,HS1316563,HS1306601,9
42,HS2003085,HS1316202,9
42,HS1316814,HS1316202,9
42,HS1324403,HS1316202,9
42,HS1311288,HS1316202,9
42,HS1313140,HS1313471,9
42,MH0201629,HS1316202,9
42,HS1316585,HS1316202,9
42,HS1316643,HS1316202,9
42,HS1313471,HS1316585,8
42,HS1311288,HS2003046,8
42,HS1313140,HS1313618,7
42,HS2003111,HS1313471,7
42,HS1344261,HS1316202,7
42,HS2003085,HS2003046,6
42,HS1316202,HS2003046,6
42,HS1344902,HS1316585,6
42,HS1344902,HS1313471,6
42,HS1344902,HS1313618,6
42,HS1316814,HS2003046,6
