candidate_node,is_monitored,nearest_monitor,nearest_monitor_hop,observability_tier
HS1306471,True,HS1306471,0,direct
HS1306554,True,HS1306554,0,direct
HS1306601,True,HS1306601,0,direct
HS1311288,True,HS1311288,0,direct
HS1311339,True,HS1311339,0,direct
HS1313025,True,HS1313025,0,direct
HS1313205,True,HS1313205,0,direct
HS1313298,True,HS1313298,0,direct
HS1313402,True,HS1313402,0,direct
HS1313471,True,HS1313471,0,direct
HS1313618,True,HS1313618,0,direct
HS1313835,True,HS1313835,0,direct
HS1313925,True,HS1313925,0,direct
HS1314477,True,HS1314477,0,direct
HS1316202,True,HS1316202,0,direct
HS1316585,True,HS1316585,0,direct
HS1316721,True,HS1316721,0,direct
HS1316814,True,HS1316814,0,direct
HS1330842,True,HS1330842,0,direct
HS1344261,True,HS1344261,0,direct
HS1344902,True,HS1344902,0,direct
HS2003015,True,HS2003015,0,direct
HS2003111,True,HS2003111,0,direct
MH0201710,True,MH0201710,0,direct
MH0242782,True,MH0242782,0,direct
HS1306571,False,HS1306601,1,near
HS1306904,False,HS1306601,1,near
HS1313001,False,HS1313025,1,near
HS1316417,False,HS1313835,1,near
HS1316643,False,HS1316585,1,near
HS1344263,False,HS1316585,1,near
HS2003046,False,HS1306601,1,near
HS2003085,False,HS2003111,1,near
MH0101924,False,HS1313402,1,near
MH0200661,False,MH0201710,1,near
MH0258475,False,MH0242782,1,near
HS1308259,False,HS1314477,2,near
HS1308302,False,HS1313835,2,near
HS1311473,False,HS1313025,2,near
HS1313140,False,HS1313025,2,near
HS1313253,False,HS1313205,2,near
HS1313597,False,HS1313835,2,near
HS1314237,False,HS2003111,2,near
HS1314505,False,HS1314477,2,near
HS1316415,False,HS1316202,2,near
HS1316563,False,HS1316585,2,near
HS1324403,False,HS1313025,2,near
HS1344920,False,HS1313298,2,near
MH0201629,False,MH0201710,2,near
VP0232532,False,MH0201710,2,near
