true_node,defect_type,true_rank,observability_tier,nearest_monitor_hop,in_top1,in_top3,in_top5,in_top10,in_top20
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,6,near,2,0,0,0,1,1
HS1314505,E,8,near,2,0,0,0,1,1
HS1314505,E,8,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1314477,I,1,near,1,1,1,1,1,1
HS1311288,I,26,near,2,0,0,0,0,0
HS1311288,I,27,near,2,0,0,0,0,0
HS1311288,I,28,near,2,0,0,0,0,0
HS1311288,I,29,near,2,0,0,0,0,0
HS1311288,I,29,near,2,0,0,0,0,0
HS1311288,I,30,near,2,0,0,0,0,0
HS1311288,I,30,near,2,0,0,0,0,0
HS1311288,I,30,near,2,0,0,0,0,0
HS1311288,I,29,near,2,0,0,0,0,0
HS1311288,I,28,near,2,0,0,0,0,0
HS1311288,I,27,near,2,0,0,0,0,0
HS1311288,I,26,near,2,0,0,0,0,0
HS1311288,I,24,near,2,0,0,0,0,0
HS1311288,I,24,near,2,0,0,0,0,0
HS1311288,I,20,near,2,0,0,0,0,1
HS1311288,I,18,near,2,0,0,0,0,1
HS1311288,I,13,near,2,0,0,0,0,1
HS1311288,I,12,near,2,0,0,0,0,1
HS1311288,I,12,near,2,0,0,0,0,1
HS1311288,I,13,near,2,0,0,0,0,1
HS1311288,I,17,near,2,0,0,0,0,1
HS1311288,I,19,near,2,0,0,0,0,1
HS1311288,I,24,near,2,0,0,0,0,0
HS1311288,I,24,near,2,0,0,0,0,0
HS1306904,I,1,direct,0,1,1,1,1,1
HS1306904,I,1,direct,0,1,1,1,1,1
HS1306904,I,1,direct,0,1,1,1,1,1
HS1306904,I,1,direct,0,1,1,1,1,1
HS1306904,I,1,direct,0,1,1,1,1,1
HS1306904,I,1,direct,0,1,1,1,1,1
HS1308302,E,2,near,1,0,1,1,1,1
HS1308302,E,2,near,1,0,1,1,1,1
HS1308302,E,2,near,1,0,1,1,1,1
HS1308302,E,2,near,1,0,1,1,1,1
HS1308302,E,2,near,1,0,1,1,1,1
HS1308302,E,3,near,1,0,1,1,1,1
HS1330842,I,7,far,6,0,0,0,1,1
HS1330842,I,7,far,6,0,0,0,1,1
HS1330842,I,7,far,6,0,0,0,1,1
HS1330842,I,5,far,6,0,0,1,1,1
HS1330842,I,3,far,6,0,1,1,1,1
HS1330842,I,3,far,6,0,1,1,1,1
HS1330842,I,3,far,6,0,1,1,1,1
HS1330842,I,4,far,6,0,0,1,1,1
HS1330842,I,4,far,6,0,0,1,1,1
HS1330842,I,5,far,6,0,0,1,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS1330842,I,9,far,6,0,0,0,1,1
HS2003085,I,8,far,6,0,0,0,1,1
HS2003085,I,8,far,6,0,0,0,1,1
HS2003085,I,8,far,6,0,0,0,1,1
HS2003085,I,9,far,6,0,0,0,1,1
HS2003085,I,9,far,6,0,0,0,1,1
HS2003085,I,9,far,6,0,0,0,1,1
HS2003085,I,9,far,6,0,0,0,1,1
HS2003085,I,8,far,6,0,0,0,1,1
HS2003085,I,8,far,6,0,0,0,1,1
HS2003085,I,6,far,6,0,0,0,1,1
HS2003085,I,5,far,6,0,0,1,1,1
HS2003085,I,2,far,6,0,1,1,1,1
HS2003085,I,2,far,6,0,1,1,1,1
HS2003085,I,2,far,6,0,1,1,1,1
HS2003085,I,2,far,6,0,1,1,1,1
HS2003085,I,2,far,6,0,1,1,1,1
HS2003085,I,3,far,6,0,1,1,1,1
HS2003085,I,3,far,6,0,1,1,1,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,13,far,15,0,0,0,0,1
HS2003111,I,14,far,15,0,0,0,0,1
HS2003111,I,14,far,15,0,0,0,0,1
HS2003111,I,14,far,15,0,0,0,0,1
HS2003111,I,14,far,15,0,0,0,0,1
HS2003111,I,14,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,12,far,15,0,0,0,0,1
HS2003111,I,11,far,15,0,0,0,0,1
HS2003111,I,10,far,15,0,0,0,1,1
HS2003111,I,10,far,15,0,0,0,1,1
HS2003111,I,9,far,15,0,0,0,1,1
HS2003111,I,10,far,15,0,0,0,1,1
HS2003111,I,10,far,15,0,0,0,1,1
HS2003111,I,11,far,15,0,0,0,0,1
HS2003111,I,11,far,15,0,0,0,0,1
HS2003111,I,11,far,15,0,0,0,0,1
HS1308259,E,5,near,1,0,0,1,1,1
HS1308259,E,5,near,1,0,0,1,1,1
HS1308259,E,5,near,1,0,0,1,1,1
HS1308259,E,5,near,1,0,0,1,1,1
HS1308259,E,4,near,1,0,0,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,2,near,1,0,1,1,1,1
HS1308259,E,2,near,1,0,1,1,1,1
HS1308259,E,2,near,1,0,1,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,4,near,1,0,0,1,1,1
HS1308259,E,4,near,1,0,0,1,1,1
HS1308259,E,4,near,1,0,0,1,1,1
HS1308259,E,3,near,1,0,1,1,1,1
HS1308259,E,4,near,1,0,0,1,1,1
HS1316721,E,7,near,2,0,0,0,1,1
HS1316721,E,7,near,2,0,0,0,1,1
HS1316721,E,7,near,2,0,0,0,1,1
HS1316721,E,7,near,2,0,0,0,1,1
HS1316721,E,8,near,2,0,0,0,1,1
HS1316721,E,9,near,2,0,0,0,1,1
HS2003015,E,9,near,1,0,0,0,1,1
HS2003015,E,8,near,1,0,0,0,1,1
HS2003015,E,7,near,1,0,0,0,1,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,13,near,1,0,0,0,0,1
HS2003046,I,13,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,12,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS2003046,I,11,near,1,0,0,0,0,1
HS1314505,E,6,near,2,0,0,0,1,1
HS1314505,E,8,near,2,0,0,0,1,1
HS1314505,E,8,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,5,near,2,0,0,1,1,1
HS1314505,E,6,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1314505,E,7,near,2,0,0,0,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
HS1313597,E,1,direct,0,1,1,1,1,1
