n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,train_shortlist_samples,val_shortlist_samples
740,0.3261084831432085,0.23378378378378378,0.30945945945945946,0.3837837837837838,0.5364864864864864,0.6648648648648648,2.0,5,0.1,True,16,1491,284
740,0.3198922669269923,0.22567567567567567,0.30405405405405406,0.3837837837837838,0.5364864864864864,0.6648648648648648,2.0,5,1.0,True,16,1491,284
740,0.31935172638645176,0.22432432432432434,0.30405405405405406,0.3837837837837838,0.5364864864864864,0.6648648648648648,2.0,5,10.0,True,16,1491,284
740,0.3293914089261343,0.22702702702702704,0.3310810810810811,0.4283783783783784,0.5364864864864864,0.6648648648648648,2.0,10,0.1,True,16,1902,397
740,0.3319584402431656,0.22972972972972974,0.3364864864864865,0.422972972972973,0.5364864864864864,0.6648648648648648,2.0,10,1.0,True,16,1902,397
740,0.3353421811269065,0.23513513513513515,0.34864864864864864,0.42702702702702705,0.5364864864864864,0.6648648648648648,2.0,10,10.0,True,16,1902,397
740,0.3308054297132201,0.23243243243243245,0.32837837837837835,0.4081081081081081,0.5324324324324324,0.6648648648648648,2.0,20,0.1,True,16,2411,492
740,0.33204070915476885,0.23378378378378378,0.33378378378378376,0.41486486486486485,0.5297297297297298,0.6648648648648648,2.0,20,1.0,True,16,2411,492
740,0.3342546483907669,0.2391891891891892,0.33513513513513515,0.41486486486486485,0.5297297297297298,0.6648648648648648,2.0,20,10.0,True,16,2411,492
740,0.32745983449455984,0.23648648648648649,0.30945945945945946,0.3837837837837838,0.5364864864864864,0.6648648648648648,5.0,5,0.1,True,16,1491,284
740,0.3207706453053707,0.22702702702702704,0.30405405405405406,0.3837837837837838,0.5364864864864864,0.6648648648648648,5.0,5,1.0,True,16,1491,284
740,0.31782019485492025,0.22162162162162163,0.3027027027027027,0.3837837837837838,0.5364864864864864,0.6648648648648648,5.0,5,10.0,True,16,1491,284
740,0.32932384135856674,0.22702702702702704,0.3310810810810811,0.42567567567567566,0.5364864864864864,0.6648648648648648,5.0,10,0.1,True,16,1902,397
740,0.3320002677849932,0.22972972972972974,0.33918918918918917,0.422972972972973,0.5364864864864864,0.6648648648648648,5.0,10,1.0,True,16,1902,397
740,0.33369160197632736,0.23243243243243245,0.34864864864864864,0.42702702702702705,0.5364864864864864,0.6648648648648648,5.0,10,10.0,True,16,1902,397
740,0.330769712111713,0.23243243243243245,0.32837837837837835,0.40945945945945944,0.5337837837837838,0.6648648648648648,5.0,20,0.1,True,16,2411,492
740,0.33179808258861293,0.23378378378378378,0.3310810810810811,0.41486486486486485,0.5351351351351351,0.6648648648648648,5.0,20,1.0,True,16,2411,492
740,0.33275539876651733,0.23783783783783785,0.32972972972972975,0.4175675675675676,0.5256756756756756,0.6648648648648648,5.0,20,10.0,True,16,2411,492
740,0.32745983449455984,0.23648648648648649,0.30945945945945946,0.3837837837837838,0.5364864864864864,0.6648648648648648,8.0,5,0.1,True,16,1491,284
740,0.31995983449455984,0.22567567567567567,0.30405405405405406,0.3837837837837838,0.5364864864864864,0.6648648648648648,8.0,5,1.0,True,16,1491,284
740,0.31782019485492025,0.22162162162162163,0.3027027027027027,0.3837837837837838,0.5364864864864864,0.6648648648648648,8.0,5,10.0,True,16,1491,284
740,0.3291645749493003,0.22702702702702704,0.3310810810810811,0.4243243243243243,0.5364864864864864,0.6648648648648648,8.0,10,0.1,True,16,1902,397
740,0.3319809627656881,0.22972972972972974,0.33918918918918917,0.422972972972973,0.5364864864864864,0.6648648648648648,8.0,10,1.0,True,16,1902,397
740,0.3328003535850789,0.23108108108108108,0.34864864864864864,0.42567567567567566,0.5364864864864864,0.6648648648648648,8.0,10,10.0,True,16,1902,397
740,0.33079884964085055,0.23243243243243245,0.32837837837837835,0.40945945945945944,0.5337837837837838,0.6648648648648648,8.0,20,0.1,True,16,2411,492
740,0.3326370853761451,0.23513513513513515,0.3310810810810811,0.41486486486486485,0.5351351351351351,0.6648648648648648,8.0,20,1.0,True,16,2411,492
740,0.3319946944028718,0.23648648648648649,0.3310810810810811,0.41621621621621624,0.5283783783783784,0.6648648648648648,8.0,20,10.0,True,16,2411,492
