n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,use_type_probs,type_aware_ie,use_candidate_tier_features,reranker_kind,mlp_hidden,mlp_alpha,train_shortlist_samples,val_shortlist_samples
648,0.7256540441725627,0.6666666666666666,0.6882716049382716,0.8148148148148148,0.9737654320987654,1.0,2.0,5,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7256540441725627,0.6666666666666666,0.6882716049382716,0.8148148148148148,0.9737654320987654,1.0,2.0,5,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7256540441725627,0.6666666666666666,0.6882716049382716,0.8148148148148148,0.9737654320987654,1.0,2.0,5,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7273430016485573,0.6666666666666666,0.7037037037037037,0.7932098765432098,0.9737654320987654,1.0,2.0,10,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7273430016485573,0.6666666666666666,0.7037037037037037,0.7932098765432098,0.9737654320987654,1.0,2.0,10,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7273430016485573,0.6666666666666666,0.7037037037037037,0.7932098765432098,0.9737654320987654,1.0,2.0,10,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7177371154223007,0.6527777777777778,0.6728395061728395,0.8009259259259259,1.0,1.0,2.0,20,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7177371154223007,0.6527777777777778,0.6728395061728395,0.8009259259259259,1.0,1.0,2.0,20,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7177371154223007,0.6527777777777778,0.6728395061728395,0.8009259259259259,1.0,1.0,2.0,20,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,5.0,5,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,5.0,5,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,5.0,5,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7279241548917474,0.6666666666666666,0.7021604938271605,0.7916666666666666,0.9737654320987654,1.0,5.0,10,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7279241548917474,0.6666666666666666,0.7021604938271605,0.7916666666666666,0.9737654320987654,1.0,5.0,10,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7279241548917474,0.6666666666666666,0.7021604938271605,0.7916666666666666,0.9737654320987654,1.0,5.0,10,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7175570742700373,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,5.0,20,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7175570742700373,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,5.0,20,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7175570742700373,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,5.0,20,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,8.0,5,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,8.0,5,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7227219454071306,0.6574074074074074,0.7006172839506173,0.8148148148148148,0.9737654320987654,1.0,8.0,5,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2360,528
648,0.7281660469160469,0.6666666666666666,0.7067901234567902,0.7901234567901234,0.9737654320987654,1.0,8.0,10,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7281660469160469,0.6666666666666666,0.7067901234567902,0.7901234567901234,0.9737654320987654,1.0,8.0,10,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7281660469160469,0.6666666666666666,0.7067901234567902,0.7901234567901234,0.9737654320987654,1.0,8.0,10,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2794,631
648,0.7176838379384676,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,8.0,20,0.1,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7176838379384676,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,8.0,20,1.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
648,0.7176838379384676,0.6527777777777778,0.6728395061728395,0.8024691358024691,1.0,1.0,8.0,20,10.0,True,16,False,False,False,mlp,"64,32",0.0001,2829,648
