n_samples,mrr,top1,top3,top5,top10,top20,tau,topk,c_value,candidate_onehot,embedding_dim,reranker_kind,mlp_hidden,mlp_alpha,train_shortlist_samples,val_shortlist_samples
648,0.4153961508427381,0.2839506172839506,0.41358024691358025,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,0.1,True,16,mlp,"64,32",0.0001,1738,352
648,0.4153961508427381,0.2839506172839506,0.41358024691358025,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,1.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.4153961508427381,0.2839506172839506,0.41358024691358025,0.5432098765432098,0.8240740740740741,0.9861111111111112,2.0,5,10.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.41627676028816235,0.29475308641975306,0.4027777777777778,0.5108024691358025,0.8240740740740741,0.9861111111111112,2.0,10,0.1,True,16,mlp,"64,32",0.0001,2303,534
648,0.41627676028816235,0.29475308641975306,0.4027777777777778,0.5108024691358025,0.8240740740740741,0.9861111111111112,2.0,10,1.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.41627676028816235,0.29475308641975306,0.4027777777777778,0.5108024691358025,0.8240740740740741,0.9861111111111112,2.0,10,10.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.39644982075537627,0.27469135802469136,0.38117283950617287,0.4799382716049383,0.7932098765432098,0.9861111111111112,2.0,20,0.1,True,16,mlp,"64,32",0.0001,2782,639
648,0.39644982075537627,0.27469135802469136,0.38117283950617287,0.4799382716049383,0.7932098765432098,0.9861111111111112,2.0,20,1.0,True,16,mlp,"64,32",0.0001,2782,639
648,0.39644982075537627,0.27469135802469136,0.38117283950617287,0.4799382716049383,0.7932098765432098,0.9861111111111112,2.0,20,10.0,True,16,mlp,"64,32",0.0001,2782,639
648,0.41619347594561873,0.2839506172839506,0.41975308641975306,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,0.1,True,16,mlp,"64,32",0.0001,1738,352
648,0.41619347594561873,0.2839506172839506,0.41975308641975306,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,1.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.41619347594561873,0.2839506172839506,0.41975308641975306,0.5432098765432098,0.8240740740740741,0.9861111111111112,5.0,5,10.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.41301213653742747,0.2916666666666667,0.3950617283950617,0.5046296296296297,0.8240740740740741,0.9861111111111112,5.0,10,0.1,True,16,mlp,"64,32",0.0001,2303,534
648,0.41301213653742747,0.2916666666666667,0.3950617283950617,0.5046296296296297,0.8240740740740741,0.9861111111111112,5.0,10,1.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.41301213653742747,0.2916666666666667,0.3950617283950617,0.5046296296296297,0.8240740740740741,0.9861111111111112,5.0,10,10.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.3959735737513515,0.27469135802469136,0.37037037037037035,0.48919753086419754,0.7932098765432098,0.9861111111111112,5.0,20,0.1,True,16,mlp,"64,32",0.0001,2782,639
648,0.3959735737513515,0.27469135802469136,0.37037037037037035,0.48919753086419754,0.7932098765432098,0.9861111111111112,5.0,20,1.0,True,16,mlp,"64,32",0.0001,2782,639
648,0.3959735737513515,0.27469135802469136,0.37037037037037035,0.48919753086419754,0.7932098765432098,0.9861111111111112,5.0,20,10.0,True,16,mlp,"64,32",0.0001,2782,639
648,0.41619347594561873,0.2839506172839506,0.4166666666666667,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,0.1,True,16,mlp,"64,32",0.0001,1738,352
648,0.41619347594561873,0.2839506172839506,0.4166666666666667,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,1.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.41619347594561873,0.2839506172839506,0.4166666666666667,0.5432098765432098,0.8240740740740741,0.9861111111111112,8.0,5,10.0,True,16,mlp,"64,32",0.0001,1738,352
648,0.4150342313835964,0.2932098765432099,0.4027777777777778,0.5123456790123457,0.8240740740740741,0.9861111111111112,8.0,10,0.1,True,16,mlp,"64,32",0.0001,2303,534
648,0.4150342313835964,0.2932098765432099,0.4027777777777778,0.5123456790123457,0.8240740740740741,0.9861111111111112,8.0,10,1.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.4150342313835964,0.2932098765432099,0.4027777777777778,0.5123456790123457,0.8240740740740741,0.9861111111111112,8.0,10,10.0,True,16,mlp,"64,32",0.0001,2303,534
648,0.39617430323448843,0.27469135802469136,0.375,0.4876543209876543,0.7932098765432098,0.9861111111111112,8.0,20,0.1,True,16,mlp,"64,32",0.0001,2782,639
648,0.39617430323448843,0.27469135802469136,0.375,0.4876543209876543,0.7932098765432098,0.9861111111111112,8.0,20,1.0,True,16,mlp,"64,32",0.0001,2782,639
648,0.39617430323448843,0.27469135802469136,0.375,0.4876543209876543,0.7932098765432098,0.9861111111111112,8.0,20,10.0,True,16,mlp,"64,32",0.0001,2782,639
