n_samples,mrr,top1,top3,top5,top10,top20,n_clusters,cluster_topm,score_mode,tau,c_value,candidate_onehot,embedding_dim,use_type_probs,reranker_kind,mlp_hidden,mlp_alpha,train_cluster_samples,cluster_sizes
648,0.399726746191295,0.28703703703703703,0.404320987654321,0.5324074074074074,0.7222222222222222,0.7222222222222222,6,1,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.38507496201339075,0.279320987654321,0.36419753086419754,0.49382716049382713,0.7731481481481481,0.7731481481481481,6,2,sum,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.4265150281074486,0.3117283950617284,0.3888888888888889,0.5123456790123457,0.8009259259259259,0.9861111111111112,6,1,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.4261009438039511,0.3256172839506173,0.41203703703703703,0.48302469135802467,0.7592592592592593,0.8966049382716049,6,2,max,2.0,0.1,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.399726746191295,0.28703703703703703,0.404320987654321,0.5324074074074074,0.7222222222222222,0.7222222222222222,6,1,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.38507496201339075,0.279320987654321,0.36419753086419754,0.49382716049382713,0.7731481481481481,0.7731481481481481,6,2,sum,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.4265150281074486,0.3117283950617284,0.3888888888888889,0.5123456790123457,0.8009259259259259,0.9861111111111112,6,1,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.4261009438039511,0.3256172839506173,0.41203703703703703,0.48302469135802467,0.7592592592592593,0.8966049382716049,6,2,max,2.0,1.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.399726746191295,0.28703703703703703,0.404320987654321,0.5324074074074074,0.7222222222222222,0.7222222222222222,6,1,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
648,0.38507496201339075,0.279320987654321,0.36419753086419754,0.49382716049382713,0.7731481481481481,0.7731481481481481,6,2,sum,2.0,10.0,True,16,True,mlp,"64,32",0.0001,2718,"[32, 7, 3, 4, 3, 1]"
