defect_type,node_id,is_monitored,nearest_monitor,nearest_monitor_hop,n_scenarios,mean_windows,top1_mean,top3_mean,mrr_mean,intensity_mean,duration_mean
E,HS1313597,True,HS1313597,0,2,10.5,1.0,1.0,1.0,35.0,12.0
I,HS1313001,True,HS1313001,0,2,18.0,1.0,1.0,1.0,45.0,18.0
I,HS1316563,True,HS1316563,0,2,15.0,1.0,1.0,1.0,45.0,15.0
I,HS1313025,True,HS1313025,0,1,18.0,1.0,1.0,1.0,60.0,18.0
E,HS1306601,True,HS1306601,0,3,12.0,0.9722222222222222,1.0,0.9861111111111112,40.0,12.0
I,HS1306904,True,HS1306904,0,1,24.0,0.9583333333333334,1.0,0.9791666666666666,50.0,24.0
I,HS1313835,True,HS1313835,0,1,18.0,0.9444444444444444,1.0,0.9722222222222222,60.0,18.0
E,HS1308259,False,HS1308324,1,2,10.5,0.6,0.9666666666666666,0.7305555555555555,45.0,12.0
E,HS1316721,False,HS1316467,2,1,6.0,0.0,1.0,0.5,50.0,6.0
I,HS2003085,False,HS2003013,6,1,6.0,0.0,0.6666666666666666,0.3055555555555555,50.0,6.0
I,HS1314477,False,HS1308324,1,1,24.0,0.0,0.3333333333333333,0.291468253968254,40.0,24.0
I,HS1330842,False,HS2003013,6,3,16.0,0.0,0.25925925925925924,0.24584435626102294,50.0,16.0
E,HS1314505,False,HS2003013,2,1,24.0,0.0,0.0,0.1847222222222222,50.0,24.0
E,HS1316202,False,HS1316267,2,1,6.0,0.0,0.0,0.1666666666666666,30.0,6.0
E,HS1308302,False,HS1308324,1,2,9.0,0.0,0.0,0.11666666666666664,40.0,12.0
E,HS2003015,False,HS2003013,1,2,15.0,0.0,0.0,0.11014660493827155,30.0,15.0
E,HS1316585,False,HS1316563,2,3,15.0,0.0,0.0,0.10694912083800971,40.0,16.0
I,HS2003046,False,HS1306601,1,2,12.0,0.0,0.0,0.0919191919191919,55.0,12.0
I,HS1311288,False,HS1313001,2,2,9.0,0.0,0.0,0.0686988698937228,45.0,9.0
I,MH0201710,False,HS1306601,15,3,10.0,0.0,0.0,0.05045579635362913,46.666666666666664,10.0
