nearest_monitor,nearest_monitor_hop,n_scenarios,unique_defect_nodes,top1_mean,top3_mean,mrr_mean,monitored_share
HS1313001,0,2,1,1.0,1.0,1.0,1.0
HS1313025,0,1,1,1.0,1.0,1.0,1.0
HS1313597,0,2,1,1.0,1.0,1.0,1.0
HS1316563,0,2,1,1.0,1.0,1.0,1.0
HS1306601,0,3,1,0.9722222222222222,1.0,0.9861111111111112,1.0
HS1306904,0,1,1,0.9583333333333334,1.0,0.9791666666666666,1.0
HS1313835,0,1,1,0.9444444444444444,1.0,0.9722222222222222,1.0
HS1308324,1,5,3,0.24,0.4533333333333333,0.39718253968253964,0.0
HS1316467,2,1,1,0.0,1.0,0.5,0.0
HS2003013,6,4,2,0.0,0.3611111111111111,0.2607721560846561,0.0
HS2003013,2,1,1,0.0,0.0,0.1847222222222222,0.0
HS1316267,2,1,1,0.0,0.0,0.1666666666666666,0.0
HS2003013,1,2,1,0.0,0.0,0.11014660493827155,0.0
HS1316563,2,3,1,0.0,0.0,0.10694912083800971,0.0
HS1306601,1,2,1,0.0,0.0,0.0919191919191919,0.0
HS1313001,2,2,1,0.0,0.0,0.0686988698937228,0.0
HS1306601,15,3,1,0.0,0.0,0.05045579635362913,0.0
