defect_id,n_windows,top1,top3,mrr,defect_type,node_id,intensity_pct,start_hour,duration_h,is_monitored,nearest_monitor,nearest_monitor_hop
59,18,0.0,0.4444444444444444,0.321957671957672,I,HS1330842,40,18,18,False,HS2003013,6
49,6,0.0,0.6666666666666666,0.3055555555555555,I,HS2003085,50,10,6,False,HS2003013,6
89,6,0.0,0.0,0.0635106315253374,I,HS1311288,50,10,6,False,HS1313001,2
22,24,1.0,1.0,1.0,I,HS1316563,40,6,24,True,HS1316563,0
58,24,0.0,0.3333333333333333,0.2756944444444445,I,HS1330842,60,14,24,False,HS2003013,6
204,3,0.0,0.0,0.1157407407407407,E,HS1308302,40,0,6,False,HS1308324,1
161,12,0.0,0.0,0.1065806878306878,E,HS2003015,30,4,12,False,HS2003013,1
234,24,0.0,0.0,0.1847222222222222,E,HS1314505,50,4,24,False,HS2003013,2
188,15,0.0,0.0,0.1111111111111111,E,HS1316585,40,0,18,False,HS1316563,2
192,12,0.0,0.0,0.1031144781144781,E,HS1316585,40,8,12,False,HS1316563,2
130,12,0.9166666666666666,1.0,0.9583333333333334,E,HS1306601,30,4,12,True,HS1306601,0
38,24,0.0,0.3333333333333333,0.291468253968254,I,HS1314477,40,6,24,False,HS1308324,1
158,18,0.0,0.0,0.1137125220458553,E,HS2003015,30,4,18,False,HS2003013,1
227,6,0.0,1.0,0.5,E,HS1316721,50,8,6,False,HS1316467,2
2,24,0.9583333333333334,1.0,0.9791666666666666,I,HS1306904,50,6,24,True,HS1306904,0
53,6,0.0,0.0,0.1398809523809523,I,HS1330842,50,10,6,False,HS2003013,6
150,15,1.0,1.0,1.0,E,HS1313597,40,0,18,True,HS1313597,0
131,18,1.0,1.0,1.0,E,HS1306601,40,8,18,True,HS1306601,0
152,6,1.0,1.0,1.0,E,HS1313597,30,12,6,True,HS1313597,0
104,18,0.0,0.0,0.052516094156961,I,MH0201710,40,18,18,False,HS1306601,15
100,12,1.0,1.0,1.0,I,HS1313001,40,18,12,True,HS1313001,0
117,18,1.0,1.0,1.0,I,HS1313025,60,10,18,True,HS1313025,0
88,12,0.0,0.0,0.0738871082621082,I,HS1311288,40,18,12,False,HS1313001,2
203,15,0.0,0.0,0.1175925925925926,E,HS1308302,40,0,18,False,HS1308324,1
75,18,0.0,0.0,0.0929292929292929,I,HS2003046,60,10,18,False,HS1306601,1
215,15,0.5333333333333333,0.9333333333333332,0.6833333333333333,E,HS1308259,40,0,18,False,HS1308324,1
211,6,0.6666666666666666,1.0,0.7777777777777777,E,HS1308259,50,8,6,False,HS1308324,1
122,6,1.0,1.0,1.0,E,HS1306601,50,8,6,True,HS1306601,0
21,6,1.0,1.0,1.0,I,HS1316563,50,6,6,True,HS1316563,0
189,18,0.0,0.0,0.1066217732884399,E,HS1316585,40,4,18,False,HS1316563,2
72,6,0.0,0.0,0.0909090909090909,I,HS2003046,50,6,6,False,HS1306601,1
107,6,0.0,0.0,0.0484126984126984,I,MH0201710,50,10,6,False,HS1306601,15
15,18,0.9444444444444444,1.0,0.9722222222222222,I,HS1313835,60,10,18,True,HS1313835,0
93,24,1.0,1.0,1.0,I,HS1313001,50,6,24,True,HS1313001,0
180,6,0.0,0.0,0.1666666666666666,E,HS1316202,30,12,6,False,HS1316267,2
103,6,0.0,0.0,0.050438596491228,I,MH0201710,50,6,6,False,HS1306601,15
