defect_id,defect_type,node_id,link_id,intensity_pct,start_hour,duration_h,flow,BODf,NH4,DO,baseline_flow
1,I,HS1308302,,40,6,18,11.1948,255.6,15.24,5.23,27.9871
2,I,HS2003085,,50,19,24,15.6964,165.76,14.4,5.64,31.3929
3,I,HS1316563,,50,14,6,23.2201,159.16,13.42,3.95,46.4402
4,I,HS1308302,,30,10,6,8.3961,123.36,11.72,2.59,27.9871
5,I,HS1316563,,40,7,24,18.5761,232.29,16.2,2.29,46.4402
6,I,HS1306471,,50,20,6,1.0707,182.68,15.69,7.45,2.1414
7,I,HS1330842,,30,6,24,2.585,191.14,12.98,2.19,8.6168
8,I,HS1314237,,40,18,6,10.9247,130.59,18.96,4.27,27.3118
9,I,HS1314477,,30,22,12,68.1445,137.48,14.23,2.88,227.1484
10,I,HS1313925,,30,10,6,0.6004,154.68,12.72,2.79,2.0012
11,I,HS1316585,,40,10,24,10.0713,279.57,9.66,3.97,25.1783
12,I,HS1306571,,30,23,24,32.2727,185.05,9.8,1.69,107.5758
13,I,HS1313001,,50,20,24,3.5263,200.28,18.3,7.21,7.0525
14,I,HS1324403,,50,3,24,31.3328,303.72,15.1,3.97,62.6657
15,I,HS1306471,,40,7,24,0.8566,275.5,17.14,4.03,2.1414
16,I,HS1313471,,50,23,18,2.5367,271.79,12.29,6.31,5.0733
17,I,HS1344261,,50,2,18,1.2662,247.72,11.68,4.31,2.5324
18,I,HS1314505,,30,21,6,7.5477,195.36,14.52,1.76,25.1591
19,I,MH0200661,,30,20,24,1.0442,181.9,7.16,2.93,3.4808
20,I,HS1330842,,30,1,6,2.585,194.69,9.81,2.14,8.6168
21,I,HS1344261,,50,23,24,1.2662,292.59,15.98,5.86,2.5324
22,I,HS1316563,,40,11,24,18.5761,139.36,10.7,3.35,46.4402
23,I,HS1316585,,50,5,18,12.5891,194.04,11.06,5.66,25.1783
24,I,HS1316814,,30,1,18,1.0478,98.5,8.14,3.51,3.4925
25,I,HS2003015,,50,20,12,37.0893,265.24,13.64,4.86,74.1787
26,I,HS1313253,,30,0,18,2.0226,169.08,9.19,2.73,6.7419
27,I,HS1306571,,50,11,12,53.7879,162.12,20.92,6.5,107.5758
28,I,HS1313471,,30,21,12,1.522,154.35,7.26,2.05,5.0733
29,I,HS2003085,,30,11,12,9.4179,186.96,13.7,1.79,31.3929
30,I,HS1344261,,30,16,12,0.7597,109.96,10.37,2.14,2.5324
31,I,HS1313298,,30,9,12,9.6078,90.26,9.51,4.28,32.0259
32,I,HS2003085,,40,15,6,12.5572,225.9,13.84,2.76,31.3929
33,I,HS2003015,,30,14,18,22.2536,97.31,8.82,1.65,74.1787
34,I,HS1316417,,50,14,12,4.7895,161.38,17.62,6.76,9.5789
35,I,HS1344902,,50,18,24,2.4435,230.76,24.12,5.35,4.887
36,I,HS1316585,,50,11,18,12.5891,233.84,18.76,5.11,25.1783
37,I,HS1313925,,30,22,18,0.6004,118.64,9.56,3.52,2.0012
