segment_id,segment_idx,link_id,from_node,to_node,length,diameter,slope,shape,material,baseline_mean_flow
seg_0000,0,HS1306554.1,HS1306554,MH0201597,256.870199,0.5,-0.00047105503274048015,CIRCULAR,UNKNOWN,-22.599971215315005
seg_0001,1,HS1306554.2,HS1306554,HS1306571,210.786979,0.5,0.0006167363876874129,CIRCULAR,UNKNOWN,33.34932771075622
seg_0002,2,HS1306571.1,HS1306571,HS1306601,274.704733,0.6,0.0015543962251280165,RECT_CLOSED,UNKNOWN,107.49527015093098
seg_0003,3,HS1306601.1,HS1306601,HS2003046,321.608402,0.5,0.0014831702064798677,CIRCULAR,UNKNOWN,33.255974204178955
seg_0004,4,HS1306904.1,HS1306904,HS1308301,260.719392,0.5,0.0001879415245030929,CIRCULAR,UNKNOWN,5.575141915906998
seg_0005,5,HS1306904.2,HS1306904,HS2003013,281.634858,0.8,0.0016013642743044276,RECT_CLOSED,UNKNOWN,185.4776691666862
seg_0006,6,HS1308259.1,HS1308259,HS1308324,138.031704,0.5,0.014054742090266461,CIRCULAR,UNKNOWN,12.285664104439828
seg_0007,7,HS1308301.1,HS1308301,HS1308302,53.211163,0.5,0.0010148246524888404,CIRCULAR,UNKNOWN,23.580703819368452
seg_0008,8,HS1308302.1,HS1308302,HS1308324,257.465687,0.5,0.0011418997359442327,CIRCULAR,UNKNOWN,27.975642669871693
seg_0009,9,HS1311288.1,HS1311288,HS1311284,67.769231,0.5,0.0013280363178386936,CIRCULAR,UNKNOWN,0.35906618706781407
seg_0010,10,HS1311349.2,HS1311349,HS1311339,265.772484,0.5,0.00041388784250516854,CIRCULAR,UNKNOWN,2.864380413880274
seg_0011,11,HS1311887.1,HS1311887,MH0100334,220.600658,0.6,0.002941967652698467,RECT_CLOSED,UNKNOWN,15.123603641723612
seg_0012,12,HS1313026.1,HS1313026,HS1313025,20.0,0.5,0.019999999999999928,CIRCULAR,UNKNOWN,15.155638602436385
seg_0013,13,HS1313044.1,HS1313044,HS1313140,300.0,0.5,4.0000000000001514e-05,CIRCULAR,UNKNOWN,-8.984130480978855
seg_0014,14,HS1313083.1,HS1313083,HS1313123,212.711921,0.5,0.0001880477587337437,CIRCULAR,UNKNOWN,26.20481764215642
seg_0015,15,HS1313083.2,HS1313083,HS1344166,150.27772,0.5,-0.00046580424563268786,CIRCULAR,UNKNOWN,-1.925147078095607
seg_0016,16,HS1313123.1,HS1313123,HS1313044,84.941327,0.5,-0.0006121872807567463,CIRCULAR,UNKNOWN,27.696344257265324
seg_0017,17,HS1313167.1,HS1313167,HS1313205,253.250437,0.6,0.003072057877633602,RECT_CLOSED,UNKNOWN,6.716946197567676
seg_0018,18,HS1313205.2,HS1313205,HS1313391,112.857058,0.6,0.0027734198068498192,RECT_CLOSED,UNKNOWN,49.32914555220479
seg_0019,19,HS1313220.1,HS1313220,HS1306601,92.422206,0.5,0.0009954317688543627,CIRCULAR,UNKNOWN,32.17290297406654
seg_0020,20,HS1313290.1,HS1313290,HS1318293,54.020172,0.6,0.0009626033771237002,RECT_CLOSED,UNKNOWN,38.6039473435158
seg_0021,21,HS1313298.1,HS1313298,HS1313290,66.498135,0.6,0.0012782313368637677,RECT_CLOSED,UNKNOWN,31.994555617007773
seg_0022,22,HS1313343.1,HS1313343,HS1313298,289.166806,0.6,0.0006397691441804087,RECT_CLOSED,UNKNOWN,10.442936124284268
seg_0023,23,HS1313391.1,HS1313391,HS1313402,109.940915,0.6,0.0006094182497935383,RECT_CLOSED,UNKNOWN,58.329440887058134
seg_0024,24,HS1313402.1,HS1313402,HS1313803,52.472086,0.6,0.0010100608540701207,RECT_CLOSED,UNKNOWN,38.81242596095056
seg_0025,25,HS1313402.2,HS1313402,HS1306904,222.315517,0.6,0.0024424745844438705,RECT_CLOSED,UNKNOWN,64.00851727336483
seg_0026,26,HS1313471.1,HS1313471,HS1313487,87.119865,0.5,0.0037878846575347866,CIRCULAR,UNKNOWN,5.0744529291015175
seg_0027,27,HS1313508.1,HS1313508,HS1313487,104.188451,0.5,0.0037432171824879185,CIRCULAR,UNKNOWN,1.9102001285182018
seg_0028,28,HS1313613.1,HS1313613,HS1313597,83.723124,0.5,0.005255417846089901,CIRCULAR,UNKNOWN,2.8834373874380685
seg_0029,29,HS1313618.1,HS1313618,HS1313640,119.541045,0.5,0.006173611749838723,CIRCULAR,UNKNOWN,4.113967821223286
seg_0030,30,HS1313794.1,HS1313794,HS1313835,129.59384,0.6,0.0017130443854430218,RECT_CLOSED,UNKNOWN,46.628351603870264
seg_0031,31,HS1313803.1,HS1313803,HS1313794,94.785129,0.6,0.0010022669273362372,RECT_CLOSED,UNKNOWN,41.139427995192925
seg_0032,32,HS1313835.1,HS1313835,HS1308301,222.309909,0.5,0.0009986059595750983,CIRCULAR,UNKNOWN,18.030248474871247
seg_0033,33,HS1313835.2,HS1313835,HS1344159,55.675621,0.6,0.0010058262304788192,RECT_CLOSED,UNKNOWN,50.107854432400764
seg_0034,34,HS1313839.1,HS1313839,MH0241587,109.348329,0.5,0.001005959588097587,CIRCULAR,UNKNOWN,3.6906254496836843
seg_0035,35,HS1313965.1,HS1313965,HS1313959,183.095697,0.5,0.01021323838101996,CIRCULAR,UNKNOWN,6.719730312725957
seg_0036,36,HS1314210.1,HS1314210,HS1314237,134.560773,0.5,0.0021551600331546784,CIRCULAR,UNKNOWN,3.8514342566013027
seg_0037,37,HS1314237.1,HS1314237,HS1314268,165.708059,0.5,0.003982908278468219,CIRCULAR,UNKNOWN,27.312684712185643
seg_0038,38,HS1314268.1,HS1314268,HS2003111,61.433549,0.5,0.009066707183073513,CIRCULAR,UNKNOWN,28.05828547723712
seg_0039,39,HS1314505.1,HS1314505,HS1314512,147.204783,2.0,0.0004959077994089391,RECT_CLOSED,UNKNOWN,9.875652702617188
seg_0040,40,HS1314769.1,HS1314769,HS1314505,200.680546,1.5,0.0005879991974907152,RECT_CLOSED,UNKNOWN,-7.559477827628056
seg_0041,41,HS1316177.1,HS1316177,HS1316202,99.993535,0.8,0.0009900640076380958,RECT_CLOSED,UNKNOWN,69.10163151154022
seg_0042,42,HS1316202.1,HS1316202,HS1316207,76.902839,0.8,0.0010012634253983546,RECT_CLOSED,UNKNOWN,75.81611673371034
seg_0043,43,HS1316207.1,HS1316207,HS1316530,18.817958,0.8,0.0010096738445266964,RECT_CLOSED,UNKNOWN,143.30211549544663
seg_0044,44,HS1316267.1,HS1316267,HS1316177,256.523104,0.5,0.0032667622796268714,CIRCULAR,UNKNOWN,15.268828123016682
seg_0045,45,HS1316302.1,HS1316302,HS1316267,205.677601,0.5,0.011620127755185167,CIRCULAR,UNKNOWN,2.6726619489736763
seg_0046,46,HS1316415.1,HS1316415,HS1316445,187.421762,0.5,0.0024543574614350324,CIRCULAR,UNKNOWN,5.678409751419467
seg_0047,47,HS1316417.1,HS1316417,HS1313835,232.319558,0.5,0.0030991794500573318,CIRCULAR,UNKNOWN,9.572224111141649
seg_0048,48,HS1316445.1,HS1316445,HS1316202,46.886485,0.5,0.03278130147738733,CIRCULAR,UNKNOWN,6.751575877452249
seg_0049,49,HS1316467.1,HS1316467,HS1316563,194.09987,0.6,0.011695010408816861,CIRCULAR,UNKNOWN,17.006974928517405
seg_0050,50,HS1316467.2,HS1316467,HS1316707,108.499904,0.5,-0.0029493113652893214,CIRCULAR,UNKNOWN,-0.7438974376354623
seg_0051,51,HS1316532.1,HS1316532,HS1316207,10.0,0.6,0.048799999999999955,RECT_CLOSED,UNKNOWN,67.51974332810242
seg_0052,52,HS1316554.1,HS1316554,HS1316532,163.838206,0.5,0.002844269425166908,CIRCULAR,UNKNOWN,46.37347750165161
seg_0053,53,HS1316563.1,HS1316563,HS1316554,82.421616,0.5,0.0001213273954735559,CIRCULAR,UNKNOWN,46.38979436782284
seg_0054,54,HS1316566.1,HS1316566,HS1316563,40.580973,0.5,0.006899785276218023,CIRCULAR,UNKNOWN,29.433217926601152
seg_0055,55,HS1316585.1,HS1316585,HS1316566,112.703542,0.5,0.005873817168940432,CIRCULAR,UNKNOWN,25.161320544299283
seg_0056,56,HS1316671.1,HS1316671,HS1316643,162.699096,0.5,0.005224368302574966,CIRCULAR,UNKNOWN,8.878398386675094
seg_0057,57,HS1316676.1,HS1316676,HS1316643,32.806216,0.5,0.007315686758875269,CIRCULAR,UNKNOWN,2.1399814778519923
seg_0058,58,HS1316677.1,HS1316677,HS1316676,10.0,0.5,-0.013000000000000256,CIRCULAR,UNKNOWN,-2.8527435281144315
seg_0059,59,HS1316721.1,HS1316721,HS1316786,49.91195,0.5,0.0034059979624118416,CIRCULAR,UNKNOWN,16.616292789491315
seg_0060,60,HS1316726.1,HS1316726,HS1308259,213.172669,0.5,0.0020640544684459583,CIRCULAR,UNKNOWN,11.176375312883689
seg_0061,61,HS1316786.1,HS1316786,HS1316532,141.325734,0.5,0.011363818566829435,CIRCULAR,UNKNOWN,20.991928984694447
seg_0062,62,HS1316811.1,HS1316811,HS1316721,249.849013,0.5,0.006335826509748903,CIRCULAR,UNKNOWN,6.7512471087670916
seg_0063,63,HS1316814.1,HS1316814,HS1316835,84.431712,0.5,0.006395701179196735,CIRCULAR,UNKNOWN,3.492985246220466
seg_0064,64,HS1316835.1,HS1316835,HS1316849,60.34503,0.5,0.004805698166029566,CIRCULAR,UNKNOWN,5.615920851901687
seg_0065,65,HS1316849.1,HS1316849,HS1316707,82.595464,0.5,0.0053271690561602905,CIRCULAR,UNKNOWN,7.188074308193695
seg_0066,66,HS1317102.1,HS1317102,HS1313253,50.865402,0.5,0.006880905020666138,CIRCULAR,UNKNOWN,0.0
seg_0067,67,HS1318293.1,HS1318293,HS1313205,280.800741,0.6,0.0011680880856364954,RECT_CLOSED,UNKNOWN,44.7933193559336
seg_0068,68,HS1318293.2,HS1318293,HS1306571,217.954587,0.6,0.001504900651620603,RECT_CLOSED,UNKNOWN,62.70973096818204
seg_0069,69,HS1344159.1,HS1344159,HS1316177,111.504787,0.6,0.001004441181525255,RECT_CLOSED,UNKNOWN,53.85950132770139
seg_0070,70,HS1344261.1,HS1344261,HS1316302,13.527624,0.5,0.005913824925944002,CIRCULAR,UNKNOWN,2.53234740746612
seg_0071,71,HS1344263.1,HS1344263,HS1316585,177.719201,0.5,0.0029147103806751906,CIRCULAR,UNKNOWN,14.100359036600157
seg_0072,72,HS1344902.1,HS1344902,HS1316676,224.265839,0.5,0.0036563749684587507,CIRCULAR,UNKNOWN,4.889901711208191
seg_0073,73,HS2003013.1,HS2003013,HS1314769,44.841583,2.0,0.0014495473988953796,RECT_CLOSED,UNKNOWN,-11.635544212095212
seg_0074,74,HS2003015.1,HS2003015,HS2003013,40.463476,1.0,0.006030129492582391,RECT_CLOSED,UNKNOWN,74.16048929468512
seg_0075,75,HS2003023.1,HS2003023,HS2003015,116.489897,0.6,0.000686754835056656,RECT_CLOSED,UNKNOWN,74.08987739376117
seg_0076,76,HS2003046.1,HS2003046,HS2003023,146.137421,0.6,0.0009990596453730851,RECT_CLOSED,UNKNOWN,74.11977130812258
seg_0077,77,HS2003070.1,HS2003070,HS2003046,145.104715,0.6,0.0005788922847889514,RECT_CLOSED,UNKNOWN,40.94121840772862
seg_0078,78,HS2003085.1,HS2003085,YS2003067,126.081542,0.6,0.0014990298897200993,RECT_CLOSED,UNKNOWN,21.348482004398345
seg_0079,79,HS2003125.1,HS2003125,HS2003111,104.543037,0.6,0.001568731928076644,RECT_CLOSED,UNKNOWN,1.6629462797896415
seg_0080,80,MH0100292.1,MH0100292,MH0101924,72.446242,0.6,0.0007729869549340791,RECT_CLOSED,UNKNOWN,30.318422180334256
seg_0081,81,MH0101924.1,MH0101924,HS1313402,183.753367,0.6,0.004691070504302661,RECT_CLOSED,UNKNOWN,34.85708739821132
seg_0082,82,MH0201597.1,MH0201597,MH0201629,217.074803,0.6,-0.0018380760663410617,RECT_CLOSED,UNKNOWN,-6.978215434849629
seg_0083,83,MH0201710.1,MH0201710,MH0201597,96.210811,0.6,0.0012368672373003879,RECT_CLOSED,UNKNOWN,15.710718155145681
seg_0084,84,MH0241587.1,MH0241587,HS1313865,53.492281,0.8,0.0022433143204344005,CIRCULAR,UNKNOWN,9.891310110410393
seg_0085,85,MH0242298.1,MH0242298,MH0242303,75.400657,0.5,0.003315620976618281,CIRCULAR,UNKNOWN,11.874826396746519
seg_0086,86,MH0242303.1,MH0242303,HS1314505,101.763137,0.5,0.009571245823524487,CIRCULAR,UNKNOWN,17.676540928520403
seg_0087,87,MH0242782.1,MH0242782,HS1344263,208.035749,0.5,0.009503174379899487,CIRCULAR,UNKNOWN,8.888432734577309
seg_0088,88,MH0258475.1,MH0258475,MH0242782,207.854217,0.5,0.0028433389927325723,CIRCULAR,UNKNOWN,2.774129450841625
seg_0089,89,VP0232532.1,VP0232532,MH0200661,324.097853,0.6,-6.170975776258268e-05,RECT_CLOSED,UNKNOWN,1.4015714828684298
seg_0090,90,YS2003067.1,YS2003067,HS2003070,10.0,0.6,-0.021699999999999876,RECT_CLOSED,UNKNOWN,39.86980996580594
seg_0091,91,HS2003014.2,HS2003013,HS2003014,21.479264,1.0,0.009497532131454812,RECT_CLOSED,UNKNOWN,271.19650866901617
seg_0092,92,HS2003014.1,HS2003014,MH0100819,19.105481,0.6,0.021041082399338756,RECT_CLOSED,UNKNOWN,271.5776062480048
seg_0093,93,1,HS1314512,HS1314477,150.0,1.5,0.0003333333333333381,RECT_CLOSED,UNKNOWN,18.299657451550395
